Wavelength (µm) raw,SynOl_Fo50 raw,Wavelength (µm) bin avg,SynOl_Fo50 bin avg,Wavelength (µm) cubic spline of bin avg,SynOl_Fo50 cubic spline of bin avg
1.11,0.27705,2.06294,0.7716941666666668,2.0629388235294117,0.771694068911448
1.115,0.27993,2.07292,0.7724850000000001,2.0729198039215686,0.7724849848228456
1.12,0.2823,2.0829,0.7732908333333333,2.0829007843137255,0.7732909017689967
1.125,0.28447,2.09288,0.7741908333333334,2.0928817647058824,0.7741909857180658
1.13,0.28794,2.10286,0.7750190909090908,2.1028627450980393,0.7750193293257024
1.135,0.29197,2.11284,0.7759416666666666,2.112843725490196,0.7759420114701088
1.14,0.29325,2.12282,0.7767841666666667,2.122824705882353,0.776784512599382
1.145,0.29696,2.13281,0.7774854545454545,2.13280568627451,0.7774851213681022
1.15,0.29914,2.14279,0.7783209090909092,2.142786666666667,0.778320644875294
1.155,0.30145,2.15277,0.7789545454545455,2.1527676470588237,0.7789544340848695
1.16,0.30422,2.16275,0.779400909090909,2.16274862745098,0.7794008321273744
1.165,0.3071,2.17273,0.7800754545454545,2.172729607843137,0.7800754289331431
1.17,0.30931,2.18271,0.7806436363636364,2.182710588235294,0.7806436694493794
1.175,0.31173,2.19269,0.7812818181818183,2.192691568627451,0.7812819316620154
1.18,0.31314,2.20267,0.7820027272727273,2.2026725490196077,0.782002887671056
1.185,0.31564,2.21265,0.7825069999999998,2.2126535294117646,0.7825071560987021
1.19,0.31666,2.22263,0.78296,2.2226345098039215,0.782960216095018
1.195,0.31867,2.23262,0.783453,2.2326154901960784,0.783452782040418
1.2,0.32041,2.2426,0.7839029999999998,2.2425964705882353,0.7839028514586157
1.205,0.32238,2.25258,0.7842963636363636,2.252577450980392,0.7842962697172977
1.21,0.32536,2.26256,0.784635,2.262558431372549,0.7846349520364426
1.215,0.32521,2.27254,0.7849499999999999,2.272539411764706,0.7849499780388057
1.22,0.32675,2.28252,0.785355,2.282520392156863,0.7853550143206426
1.225,0.32814,2.2925,0.785616,2.2925013725490198,0.7856160230481981
1.23,0.32969,2.30248,0.7857733333333333,2.3024823529411766,0.7857733852462742
1.235,0.33097,2.31246,0.7861560000000001,2.3124633333333335,0.786156190997678
1.24,0.33218,2.32244,0.7867629999999999,2.32244431372549,0.7867631995216654
1.245,0.33359,2.33242,0.7870022222222224,2.332425294117647,0.7870022858313324
1.25,0.33458,2.34241,0.7871249999999999,2.3424062745098038,0.7871249461655254
1.255,0.33589,2.35239,0.7873466666666666,2.3523872549019607,0.7873465742112892
1.26,0.33741,2.36237,0.7877266666666668,2.3623682352941175,0.7877266107686431
1.265,0.33907,2.37235,0.7879388888888889,2.3723492156862744,0.7879388750472507
1.27,0.34048,2.38233,0.788151111111111,2.3823301960784313,0.7881511160763541
1.275,0.34145,2.39231,0.788403,2.392311176470588,0.788403024202733
1.28,0.34288,2.40229,0.7885512499999999,2.402292156862745,0.7885512773192902
1.285,0.34463,2.41227,0.7886722222222222,2.412273137254902,0.7886722526223712
1.29,0.3468,2.42225,0.7887422222222222,2.422254117647059,0.7887422468259243
1.295,0.34854,2.43223,0.7888333333333333,2.432235098039216,0.7888334090048567
1.3,0.35037,2.44222,0.7889577777777776,2.4422160784313727,0.7889577800180555
1.305,0.35279,2.4522,0.7888037499999999,2.452197058823529,0.7888038131515525
1.31,0.35528,2.46218,0.7886533333333332,2.462178039215686,0.788653343246347
1.315,0.3575,2.47216,0.78868375,2.472159019607843,0.7886837444993258
1.32,0.35983,2.48214,0.7886977777777777,2.48214,0.7886977777777777
1.325,0.36222,2.49212,0.7886549999999999,2.4921209803921567,0.7886550018263105
1.33,0.36553,2.5021,0.7886762499999999,2.5021019607843136,0.7886762306002065
1.335,0.36848,2.51208,0.7884775,2.5120829411764705,0.7884774539518346
1.34,0.37132,2.52206,0.78841,2.5220639215686274,0.7884099705777411
1.345,0.37428,2.53204,0.7882775000000001,2.5320449019607842,0.788277429106259
1.35,0.37831,2.54203,0.78811625,2.542025882352941,0.788116344281909
1.355,0.38126,2.55201,0.7878862500000001,2.552006862745098,0.7878862861072947
1.36,0.38472,2.56199,0.7878542857142856,2.561987843137255,0.7878543069218766
1.365,0.38798,2.57197,0.78765375,2.571968823529412,0.7876537724003004
1.37,0.39182,2.58195,0.78749875,2.5819498039215687,0.7874987540944552
1.375,0.39478,2.59193,0.7872212499999999,2.5919307843137256,0.7872212284763794
1.38,0.3989,2.60191,0.7869485714285712,2.601911764705882,0.7869485101366107
1.385,0.40342,2.61189,0.7865500000000001,2.611892745098039,0.7865499027863604
1.39,0.40846,2.62187,0.7862471428571428,2.621873725490196,0.7862470144919298
