Wavelength (µm),BKR1KW003D anorthite Kierra <45µm,Wavelength (µm) target,BKR1KW003D anorthite Kierra <45µm target
3.0270900000000003,0.718663,,
3.0288600000000003,0.718755,,
3.03063,0.718889,,
3.03241,0.718943,,
3.0341799999999997,0.719038,,
3.03596,0.719294,,
3.03773,0.71945,,
3.03952,0.7195,,
3.0413,0.719603,,
3.04308,0.719733,,
3.04487,0.719853,,
3.0466599999999997,0.719917,,
3.04845,0.719965,,
3.0502399999999996,0.720159,,
3.05204,0.720264,,
3.05383,0.720244,,
3.0556300000000003,0.720299,,
3.05744,0.720439,,
3.05924,0.720544,,
3.0610500000000003,0.720729,,
3.06285,0.720896,,
3.06466,0.720915,,
3.06648,0.720966,,
3.06829,0.721143,,
3.07011,0.721385,,
3.07193,0.72151,,
3.07375,0.721582,,
3.0755700000000004,0.721683,,
3.0774,0.721757,,
3.07922,0.721939,,
3.0810500000000003,0.722076,,
3.0828800000000003,0.722106,,
3.08472,0.722264,,
3.0865500000000003,0.722415,,
3.08839,0.722538,,
3.09023,0.72274,,
3.0920799999999997,0.722948,,
3.0939200000000002,0.723043,,
3.09577,0.723141,,
3.09762,0.723352,,
3.0994699999999997,0.723642,,
3.1013200000000003,0.723832,,
3.10318,0.723979,,
3.10504,0.724245,,
3.1069,0.724514,,
3.10876,0.724751,,
3.11062,0.724977,,
3.1124899999999998,0.725264,,
3.11436,0.725609,,
3.11623,0.725861,,
3.11811,0.726052,,
3.11998,0.726319,,
3.1218600000000003,0.726631,,
3.1237399999999997,0.726943,,
3.12562,0.727225,,
3.12751,0.727519,,
3.1294,0.727851,,
3.13129,0.728195,,
3.13318,0.7285,,
3.1350700000000002,0.72891,,
3.13697,0.729344,,
3.13887,0.729724,,
3.14077,0.730061,,
3.14267,0.730404,,
3.14458,0.730823,,
3.1464899999999996,0.731287,,
3.1484,0.731614,,
3.15031,0.731919,,
3.15223,0.732419,,
3.15414,0.732891,,
3.15606,0.733312,,
3.1579800000000002,0.733726,,
3.15991,0.734091,,
3.16184,0.734488,,
3.1637600000000003,0.734977,,
3.1656999999999997,0.735545,,
3.16763,0.735948,,
3.16957,0.73631,,
3.1715,0.736852,,
3.17345,0.73731,,
3.1753899999999997,0.737694,,
3.17733,0.738146,,
3.1792800000000003,0.738604,,
3.1812300000000002,0.739083,,
3.18319,0.739648,,
3.18514,0.74023,,
3.1871,0.740688,,
3.18906,0.741169,,
3.19102,0.741671,,
3.19299,0.74207,,
3.19495,0.742563,,
3.19692,0.743167,,
3.1989,0.7438,,
3.20087,0.744356,,
3.2028499999999998,0.744847,,
3.20483,0.745422,,
3.20681,0.745957,,
3.20879,0.746426,,
3.21078,0.747003,,
3.21277,0.747613,,
3.21476,0.748113,,
3.2167600000000003,0.748626,,
3.21875,0.749229,,
3.22075,0.749778,,
3.22275,0.750372,,
3.2247600000000003,0.751034,,
3.22676,0.751626,,
3.22877,0.752166,,
3.23078,0.752785,,
3.2328,0.753489,,
3.23481,0.753962,,
3.23683,0.754392,,
3.2388600000000003,0.754871,,
3.24088,0.755357,,
3.2429099999999997,0.755943,,
3.24494,0.756557,,
3.2469699999999997,0.757202,,
3.249,0.757731,,
3.25104,0.758263,,
3.2530799999999997,0.758838,,
3.25512,0.75936,,
3.25717,0.759908,,
3.25921,0.760461,,
3.26126,0.761051,,
3.26332,0.761681,,
3.26537,0.762199,,
3.26743,0.762764,,
3.26949,0.763407,,
3.2715500000000004,0.76406,,
