Wavelength (µm) raw,Microcline hs108.13749 raw,Wavelength (µm) bin avg,Microcline hs108.13749 bin avg,Wavelength (µm) cubic spline of bin avg,Microcline hs108.13749 cubic spline of bin avg
1.1235,0.776592,,,,
1.1285,0.778569,,,,
1.1335,0.778206,,,,
1.1385,0.775512,,,,
1.1435,0.775899,,,,
1.1485,0.778435,,,,
1.1535,0.776476,,,,
1.1585,0.779175,,,,
1.1635,0.77594,,,,
1.1685,0.775397,,,,
1.1735,0.777832,,,,
1.1785,0.777917,,,,
1.1835,0.779301,,,,
1.1885,0.775957,,,,
1.1935,0.778413,,,,
1.1985,0.775458,,,,
1.2035,0.776949,,,,
1.2085,0.776658,,,,
1.2135,0.779834,,,,
1.2185,0.774466,,,,
1.2235,0.776265,,,,
1.2285,0.779116,,,,
1.2335,0.77806,,,,
1.2385,0.777477,,,,
1.2435,0.783947,,,,
1.2485,0.781864,,,,
1.2535,0.779866,,,,
1.2585,0.779333,,,,
1.2635,0.778919,,,,
1.2685,0.780388,,,,
1.2735,0.780135,,,,
1.2785,0.781579,,,,
1.2835,0.777658,,,,
1.2885,0.779214,,,,
1.2935,0.779837,,,,
1.2985,0.779734,,,,
1.3035,0.782588,,,,
1.3085,0.780556,,,,
1.3135,0.780869,,,,
1.3185,0.780817,,,,
1.3235,0.782876,,,,
1.3285,0.783355,,,,
1.3335,0.780744,,,,
1.3385,0.777785,,,,
1.3435,0.784399,,,,
1.3485,0.779994,,,,
1.3535,0.781502,,,,
1.3585,0.778457,,,,
1.3635,0.777677,,,,
1.3685,0.780257,,,,
1.3735,0.783219,,,,
1.3785,0.785325,,,,
1.3835,0.782506,,,,
1.3885,0.776624,,,,
1.3935,0.777252,,,,
1.3985,0.777935,,,,
1.4035,0.773303,,,,
1.4085,0.77311,,,,
1.4135,0.769443,,,,
1.4185,0.771692,,,,
1.4235,0.771082,,,,
1.4285,0.772868,,,,
1.4335,0.769508,,,,
1.4385,0.770526,,,,
1.4435,0.772378,,,,
1.4485,0.773277,,,,
1.4535,0.773093,,,,
1.4585,0.775127,,,,
1.4635,0.772269,,,,
1.4685,0.77038,,,,
1.4735,0.778512,,,,
1.4785,0.77323,,,,
1.4835,0.778468,,,,
1.4885,0.781713,,,,
1.4935,0.779769,,,,
1.4985,0.778251,,,,
1.5035,0.782118,,,,
1.5085,0.779726,,,,
1.5135,0.777811,,,,
1.5185,0.778957,,,,
1.5235,0.785578,,,,
1.5285,0.783029,,,,
1.534,0.785642,,,,
1.54,0.786494,,,,
1.546,0.788691,,,,
1.552,0.784963,,,,
1.558,0.788301,,,,
1.564,0.788466,,,,
1.5705,0.789319,,,,
1.5775,0.78778,,,,
1.5845,0.788945,,,,
1.5915,0.790611,,,,
1.5985,0.789341,,,,
1.6055,0.79078,,,,
1.6125,0.790324,,,,
1.6195,0.792449,,,,
1.6265,0.790386,,,,
1.6335,0.792768,,,,
1.6405,0.794097,,,,
1.6475,0.791871,,,,
1.6545,0.792841,,,,
1.6615,0.796109,,,,
1.6685,0.793092,,,,
1.676,0.79678,,,,
1.684,0.791019,,,,
1.692,0.790228,,,,
1.7,0.79658,,,,
1.708,0.793069,,,,
