Wavelength (nm),BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum
2968.18,0.816165
2969.88,0.816178
2971.58,0.816137
2973.29,0.816124
2974.99,0.816176
2976.7,0.816173
2978.41,0.816135
2980.12,0.816197
2981.84,0.81632
2983.55,0.816344
2985.27,0.816372
2986.99,0.816435
2988.71,0.816441
2990.43,0.816435
2992.16,0.81646
2993.89,0.816518
2995.62,0.816547
2997.35,0.816611
2999.08,0.816773
3000.82,0.816872
3002.55,0.816944
3004.29,0.817017
3006.04,0.817073
3007.78,0.817165
3009.53,0.817248
3011.27,0.817304
3013.02,0.817386
3014.77,0.817524
3016.53,0.817634
3018.28,0.81772
3020.04,0.817741
3021.8,0.817765
3023.56,0.81777
3025.33,0.817903
3027.09,0.81797
3028.86,0.817974
3030.63,0.81797
3032.41,0.818015
3034.18,0.818156
3035.96,0.818272
3037.73,0.818362
3039.52,0.818431
3041.3,0.81849
3043.08,0.818526
3044.87,0.818563
3046.66,0.818669
3048.45,0.818777
3050.24,0.818872
3052.04,0.818893
3053.83,0.818828
3055.63,0.818837
3057.44,0.818811
3059.24,0.818856
3061.05,0.818927
3062.85,0.818906
3064.66,0.818835
3066.48,0.8189
3068.29,0.818986
3070.11,0.818992
3071.93,0.819055
3073.75,0.819122
3075.57,0.819163
3077.4,0.819171
3079.22,0.819143
3081.05,0.819107
3082.88,0.81907
3084.72,0.819048
3086.55,0.819109
3088.39,0.819133
3090.23,0.81924
3092.08,0.819316
3093.92,0.819378
3095.77,0.819471
3097.62,0.819531
3099.47,0.819605
3101.32,0.8196
3103.18,0.819613
3105.04,0.819723
3106.9,0.819816
3108.76,0.819989
3110.62,0.820176
3112.49,0.820332
3114.36,0.820487
3116.23,0.820648
3118.11,0.820696
3119.98,0.8208
3121.86,0.821
3123.74,0.821179
3125.62,0.821358
3127.51,0.821584
3129.4,0.821796
3131.29,0.821994
3133.18,0.822188
3135.07,0.822378
3136.97,0.822596
3138.87,0.822825
3140.77,0.822999
3142.67,0.823206
3144.58,0.823441
3146.49,0.823709
3148.4,0.823979
3150.31,0.824142
3152.23,0.824371
3154.14,0.824628
3156.06,0.824835
3157.98,0.825132
3159.91,0.825365
3161.84,0.825559
3163.76,0.825866
3165.7,0.826308
3167.63,0.826579
3169.57,0.826851
3171.5,0.827239
3173.45,0.827459
3175.39,0.82769
3177.33,0.828068
3179.28,0.828339
3181.23,0.828585
3183.19,0.828945
3185.14,0.829335
3187.1,0.829694
3189.06,0.83
3191.02,0.830304
3192.99,0.830546
3194.95,0.830843
3196.92,0.831234
3198.9,0.831691
3200.87,0.832027
3202.85,0.832251
3204.83,0.832555
3206.81,0.832879
3208.79,0.833246
3210.78,0.833604
3212.77,0.833942
3214.76,0.834212
3216.76,0.83458
3218.75,0.834992
3220.75,0.835314
3222.75,0.835676
3224.76,0.836135
3226.76,0.836528
3228.77,0.836823
3230.78,0.837141
3232.8,0.837606
3234.81,0.837988
3236.83,0.838301
3238.86,0.838558
3240.88,0.838829
3242.91,0.839205
3244.94,0.839595
3246.97,0.839862
3249.0,0.840052
3251.04,0.84035
3253.08,0.840753
3255.12,0.841098
3257.17,0.841413
3259.21,0.841818
3261.26,0.842321
3263.32,0.842739
3265.37,0.842931
3267.43,0.843224
3269.49,0.843679
3271.55,0.844066
3273.62,0.844467
3275.68,0.844874
3277.76,0.845157
3279.83,0.845422
3281.9,0.845776
3283.98,0.846216
3286.06,0.846507
3288.15,0.846681
3290.23,0.846983
3292.32,0.847333
3294.41,0.847644
3296.51,0.847954
3298.6,0.848265
3300.7,0.848517
3302.81,0.848881
3304.91,0.849242
3307.02,0.849459
3309.13,0.849636
3311.24,0.849839
3313.36,0.850115
3315.48,0.850536
3317.6,0.850855
3319.72,0.851038
3321.85,0.851293
3323.98,0.851612
3326.11,0.85184
3328.25,0.852036
3330.38,0.852218
3332.52,0.852349
3334.67,0.852578
3336.81,0.852824
3338.96,0.852964
3341.11,0.853082
3343.27,0.853214
3345.42,0.853221
3347.58,0.853234
3349.75,0.853175
3351.91,0.853009
3354.08,0.852942
3356.25,0.852811
3358.42,0.852729
3360.6,0.852854
3362.78,0.852733
3364.96,0.852388
3367.15,0.852162
3369.33,0.852086
3371.53,0.852103
3373.72,0.85206
3375.92,0.852078
3378.11,0.852399
3380.32,0.852763
3382.52,0.853208
3384.73,0.853712
3386.94,0.854085
3389.15,0.854361
3391.37,0.854454
3393.59,0.854303
3395.81,0.854018
3398.04,0.853656
3400.27,0.853238
3402.5,0.852774
3404.73,0.852403
3406.97,0.852101
3409.21,0.851747
3411.45,0.851476
3413.7,0.851351
3415.95,0.851452
3418.2,0.851898
3420.45,0.852733
3422.71,0.853842
3424.97,0.854996
3427.23,0.856013
3429.5,0.856958
3431.77,0.857709
3434.04,0.85839
3436.32,0.859112
3438.6,0.859801
3440.88,0.860296
3443.16,0.860806
3445.45,0.861286
3447.74,0.861696
3450.04,0.862259
3452.33,0.862871
3454.63,0.863284
3456.94,0.863698
3459.24,0.864114
3461.55,0.864381
3463.86,0.86467
3466.18,0.864802
3468.5,0.864866
3470.82,0.864922
3473.15,0.865026
3475.47,0.865216
3477.8,0.865498
3480.14,0.865708
3482.47,0.865826
3484.81,0.865848
3487.16,0.865792
3489.5,0.865611
3491.85,0.865408
3494.21,0.865102
3496.56,0.864821
3498.92,0.864875
3501.29,0.865181
3503.65,0.865803
3506.02,0.86676
3508.39,0.867767
3510.77,0.868643
3513.15,0.869447
3515.53,0.870178
3517.91,0.87083
3520.3,0.871421
3522.69,0.871996
3525.09,0.87252
3527.49,0.872891
3529.89,0.873249
3532.29,0.873666
3534.7,0.874045
3537.11,0.874177
3539.53,0.874289
3541.94,0.874638
3544.36,0.875011
3546.79,0.8753
3549.22,0.875529
3551.65,0.875695
3554.08,0.875943
3556.52,0.87617
3558.96,0.876342
3561.4,0.876607
3563.85,0.876776
3566.3,0.877021
3568.76,0.877241
3571.21,0.877377
3573.67,0.877543
3576.14,0.877802
3578.61,0.877973
3581.08,0.878009
3583.55,0.878124
3586.03,0.878257
3588.51,0.878443
3591.0,0.878792
3593.49,0.878993
3595.98,0.878967
3598.48,0.879105
3600.99,0.879275
3603.49,0.879424
3605.99,0.879588
3608.5,0.879737
3611.02,0.879875
3613.53,0.880026
3616.05,0.880205
3618.58,0.880368
3621.1,0.880496
3623.63,0.880673
3626.17,0.880854
3628.71,0.880992
3631.25,0.881126
3633.79,0.881298
3636.34,0.881481
3638.89,0.88166
3641.45,0.881814
3644.01,0.881943
3646.57,0.88212
3649.13,0.882241
3651.7,0.882379
3654.28,0.882555
3656.85,0.882717
3659.44,0.882842
3662.02,0.882997
3664.61,0.883118
3667.2,0.883218
3669.8,0.88333
3672.39,0.883509
3675.0,0.883651
3677.6,0.883774
3680.21,0.883974
3682.83,0.884153
3685.44,0.884287
3688.06,0.884445
3690.69,0.884604
3693.32,0.884781
3695.95,0.884915
3698.59,0.885046
3701.23,0.885279
3703.87,0.885471
3706.52,0.88562
3709.17,0.885803
3711.82,0.885978
3714.48,0.886166
3717.15,0.886379
3719.81,0.886608
3722.48,0.886757
3725.16,0.88688
3727.84,0.88705
3730.52,0.88722
3733.2,0.887367
3735.89,0.887514
3738.59,0.887729
3741.28,0.887852
3743.98,0.887956
3746.69,0.888133
3749.4,0.888344
3752.11,0.888519
3754.83,0.888624
3757.55,0.888738
3760.28,0.888853
3763.0,0.888904
3765.74,0.889004
3768.47,0.889163
3771.21,0.889234
3773.96,0.889297
3776.71,0.889375
3779.46,0.889431
3782.22,0.889435
3784.98,0.889448
3787.74,0.889536
3790.51,0.889578
3793.28,0.889543
3796.06,0.889502
3798.84,0.889482
3801.63,0.889517
3804.42,0.889476
3807.21,0.889439
3810.01,0.889426
3812.81,0.889379
3815.61,0.889325
3818.42,0.889325
3821.24,0.889312
3824.05,0.889232
3826.88,0.88909
3829.7,0.888993
3832.53,0.888933
3835.37,0.888859
3838.21,0.888756
3841.05,0.888642
3843.9,0.88857
3846.75,0.888534
3849.6,0.888402
3852.46,0.88827
3855.33,0.888182
3858.2,0.888042
3861.07,0.887854
3863.95,0.887738
3866.83,0.887621
3869.71,0.887499
3872.6,0.887399
3875.5,0.887309
3878.4,0.887201
3881.3,0.887046
3884.21,0.886907
3887.12,0.8868
3890.04,0.886591
3892.96,0.886431
3895.88,0.886323
3898.81,0.886142
3901.74,0.885989
3904.68,0.885823
3907.62,0.885646
3910.57,0.885549
3913.52,0.885419
3916.48,0.885284
3919.44,0.885159
3922.4,0.88496
3925.37,0.884805
3928.35,0.884701
3931.32,0.884595
3934.31,0.884464
3937.29,0.884257
3940.29,0.884085
3943.28,0.883948
3946.28,0.883759
3949.29,0.88358
3952.3,0.883412
3955.31,0.883261
3958.33,0.883103
3961.36,0.882924
3964.38,0.882782
3967.42,0.88259
3970.46,0.882394
3973.5,0.882206
3976.55,0.882001
3979.6,0.88177
3982.65,0.881589
3985.72,0.881356
3988.78,0.881108
3991.85,0.880934
3994.93,0.880755
3998.01,0.880504
