Wavelength (nm),BKR1KW003D anorthite Kierra <45µm
2783.37,0.776122
2784.86,0.774758
2786.36,0.773499
2787.86,0.772281
2789.36,0.770989
2790.86,0.769684
2792.36,0.768493
2793.87,0.767285
2795.37,0.766144
2796.88,0.765081
2798.39,0.764026
2799.9,0.762968
2801.41,0.761951
2802.93,0.761012
2804.44,0.76009
2805.96,0.759073
2807.48,0.758046
2809.0,0.757095
2810.52,0.756143
2812.05,0.755212
2813.57,0.75427
2815.1,0.75337
2816.63,0.752537
2818.16,0.751774
2819.69,0.750946
2821.23,0.750074
2822.76,0.749389
2824.3,0.748668
2825.84,0.747823
2827.38,0.747018
2828.92,0.746224
2830.47,0.745476
2832.01,0.744831
2833.56,0.744145
2835.11,0.743329
2836.66,0.742605
2838.21,0.741985
2839.77,0.741293
2841.32,0.740587
2842.88,0.739914
2844.44,0.739295
2846.0,0.738646
2847.57,0.737968
2849.13,0.737368
2850.7,0.736773
2852.26,0.736247
2853.83,0.735637
2855.4,0.734957
2856.98,0.734347
2858.55,0.733832
2860.13,0.73322
2861.71,0.73259
2863.29,0.732033
2864.87,0.731483
2866.45,0.73089
2868.04,0.730307
2869.63,0.729768
2871.22,0.729294
2872.81,0.728838
2874.4,0.728338
2875.99,0.727862
2877.59,0.727414
2879.19,0.726921
2880.79,0.72642
2882.39,0.72601
2883.99,0.725539
2885.6,0.725083
2887.2,0.724705
2888.81,0.724295
2890.42,0.723859
2892.03,0.723402
2893.65,0.723047
2895.26,0.722742
2896.88,0.722387
2898.5,0.722058
2900.12,0.721755
2901.74,0.721433
2903.37,0.721044
2904.99,0.720652
2906.62,0.720375
2908.25,0.720108
2909.88,0.719854
2911.52,0.71954
2913.15,0.71918
2914.79,0.718891
2916.43,0.71866
2918.07,0.718503
2919.72,0.718253
2921.36,0.717991
2923.01,0.717776
2924.66,0.717577
2926.31,0.717421
2927.96,0.717193
2929.61,0.716998
2931.27,0.716822
2932.93,0.716653
2934.59,0.716401
2936.25,0.716167
2937.91,0.71609
2939.58,0.716053
2941.24,0.715945
2942.91,0.715831
2944.59,0.715675
2946.26,0.715598
2947.93,0.71552
2949.61,0.715495
2951.29,0.715447
2952.97,0.715359
2954.65,0.715291
2956.34,0.715193
2958.02,0.715123
2959.71,0.715037
2961.4,0.714969
2963.09,0.714973
2964.79,0.715032
2966.48,0.715048
2968.18,0.715061
2969.88,0.715079
2971.58,0.715068
2973.29,0.715041
2974.99,0.715061
2976.7,0.715074
2978.41,0.715123
2980.12,0.715296
2981.84,0.715429
2983.55,0.715447
2985.27,0.715462
2986.99,0.715655
2988.71,0.715813
2990.43,0.715813
2992.16,0.715881
2993.89,0.716109
2995.62,0.71627
2997.35,0.716342
2999.08,0.716467
3000.82,0.716575
3002.55,0.716715
3004.29,0.716853
3006.04,0.716958
3007.78,0.71714
3009.53,0.717391
3011.27,0.717482
3013.02,0.717641
3014.77,0.717833
3016.53,0.717906
3018.28,0.718051
3020.04,0.718206
3021.8,0.718318
3023.56,0.718402
3025.33,0.718535
3027.09,0.718663
3028.86,0.718755
3030.63,0.718889
3032.41,0.718943
