Wavelength (µm) raw,Augite ws592 spliced raw,Wavelength (µm) bin avg,Augite ws592 spliced bin avg,Wavelength (µm) global,Augite ws592 global
0.894,0.342254,2.7117,0.1987638571428571,,
0.904,0.328396,2.72168,0.191623,,
0.914,0.323247,2.73166,0.1849737142857142,,
0.924,0.309228,2.74164,0.1751361428571428,,
0.933,0.302725,2.75163,0.169654,,
0.941,0.289307,2.76161,0.1690672857142857,,
0.949,0.279171,2.77159,0.1706988333333333,,
0.957,0.271928,2.78157,0.1724122857142857,,
0.964,0.265323,2.79155,0.1739687142857142,,
0.97,0.259981,2.80153,0.1753181666666666,,
0.976,0.256649,2.81151,0.1776008571428571,,
0.982,0.252348,2.82149,0.1798421666666666,,
0.988,0.24968,2.83147,0.1825978571428571,,
0.994,0.248187,2.84145,0.1850193333333333,,
1.0,0.24202,2.85144,0.1869398571428571,,
1.006,0.242471,2.86142,0.1882688333333333,,
1.012,0.239114,2.8714,0.1891368333333333,,
1.018,0.240097,2.88138,0.1895033333333333,,
1.0235,0.239855,2.89136,0.1898754285714285,,
1.0285,0.236998,2.90134,0.1907695,,
1.0335,0.241641,2.91132,0.1919485,,
1.0385,0.242228,2.9213,0.1931433333333333,,
1.0435,0.244289,2.93128,0.1947201666666666,,
1.0485,0.247132,2.94126,0.1962333333333333,,
1.0535,0.249736,2.95125,0.1980016666666666,,
1.0585,0.252345,2.96123,0.1998016666666666,,
1.0635,0.256958,2.97121,0.2018008333333333,,
1.0685,0.260555,2.98119,0.203816,,
1.0735,0.263763,2.99117,0.2059823333333333,,
