Wavelength (µm) raw,<125 µm (357) raw,Wavelength (µm) bin avg,<125 µm (357) bin avg,Wavelength (µm) cubic spline of bin avg,<125 µm (357) cubic spline of bin avg
1.16,0.33067,2.16275,0.58563,2.16274862745098,0.5856299316350011
1.165,0.33325,2.17273,0.5863333333333333,2.172729607843137,0.5863333042293098
1.17,0.3365,2.18271,0.58692,2.182710588235294,0.5869200241773267
1.175,0.33905,2.19269,0.5872700000000001,2.192691568627451,0.587270067358877
1.18,0.34172,2.20267,0.5877533333333335,2.2026725490196077,0.5877534292784546
1.185,0.34376,2.21265,0.587995,2.2126535294117646,0.5879950861713618
1.19,0.34556,2.22263,0.58837,2.2226345098039215,0.5883702258863903
1.195,0.34809,2.23262,0.58894,2.2326154901960784,0.5889397332645424
1.2,0.35049,2.2426,0.58946,2.2425964705882353,0.5894598559072318
1.205,0.35277,2.25258,0.5897433333333333,2.252577450980392,0.5897432847567722
1.21,0.35519,2.26256,0.5899099999999999,2.262558431372549,0.5899099714079417
1.215,0.35712,2.27254,0.5901033333333334,2.272539411764706,0.5901033237754786
1.22,0.35929,2.28252,0.5903,2.282520392156863,0.5903000133394118
1.225,0.3615,2.2925,0.5907633333333333,2.2925013725490198,0.5907633965927884
1.23,0.3631,2.30248,0.5911500000000001,2.3024823529411766,0.5911500873744964
1.235,0.36544,2.31246,0.591635,2.3124633333333335,0.5916352246973174
1.24,0.3679,2.32244,0.5924066666666666,2.32244431372549,0.5924069729874603
1.245,0.37014,2.33242,0.5930500000000001,2.332425294117647,0.5930503911391785
1.25,0.37302,2.34241,0.5939166666666668,2.3424062745098038,0.5939163420568255
1.255,0.37537,2.35239,0.5946549999999999,2.3523872549019607,0.5946548357953085
1.26,0.37738,2.36237,0.5951500000000001,2.3623682352941175,0.5951499217159572
1.265,0.38034,2.37235,0.595605,2.3723492156862744,0.5956049621067283
1.27,0.38256,2.38233,0.5961566666666668,2.3823301960784313,0.5961566794093204
1.275,0.38538,2.39231,0.5967849999999999,2.392311176470588,0.5967850546380684
1.28,0.38815,2.40229,0.597155,2.402292156862745,0.5971551064113794
1.285,0.3905,2.41227,0.597775,2.412273137254902,0.5977751688611471
1.29,0.39369,2.42225,0.5981466666666667,2.422254117647059,0.5981468043448634
1.295,0.39709,2.43223,0.598425,2.432235098039216,0.598425039813987
1.3,0.40055,2.44222,0.598355,2.4422160784313727,0.598355008119518
1.305,0.40301,2.4522,0.5984149999999999,2.452197058823529,0.5984150074617872
