Wavelength (µm),ALH-271 spot f,Wavelength (µm) target,ALH-271 spot f target
2.5252,0.1415,,
2.5264,0.14089,,
2.5276,0.14096,,
2.5288000000000004,0.14173,,
2.5301,0.1423,,
2.5313000000000003,0.14273,,
2.5326,0.14348,,
2.5338000000000003,0.14315,,
2.535,0.14246,,
2.5363,0.14198,,
2.5375,0.14279,,
2.5388,0.14352,,
2.54,0.14195,,
2.5412,0.1416,,
2.5425,0.14247,,
2.5437,0.14269,,
2.545,0.14285,,
2.5462,0.14345,,
2.5475,0.14336,,
2.5486999999999997,0.14331,,
2.55,0.14314,,
2.5511999999999997,0.14226,,
2.5525,0.14153,,
2.5538000000000003,0.14162,,
2.555,0.14234,,
2.5563000000000002,0.14252,,
2.5575,0.14258,,
2.5588,0.14313,,
2.5601,0.14287,,
2.5613,0.14193,,
2.5625999999999998,0.14355,,
2.5639000000000003,0.14485,,
2.5650999999999997,0.14434,,
2.5664000000000002,0.14447,,
2.5677,0.14408,,
2.5689,0.14313,,
2.5702,0.14276,,
2.5715,0.14398,,
2.5728,0.14525,,
2.574,0.14393,,
2.5753000000000004,0.14391,,
2.5766,0.14414,,
2.5779,0.14325,,
2.5791999999999997,0.14392,,
2.5805,0.14453,,
2.5816999999999997,0.14307,,
2.583,0.14258,,
2.5843000000000003,0.14284,,
2.5856,0.14407,,
2.5869,0.14545,,
2.5881999999999996,0.14474,,
2.5895,0.14419,,
2.5908,0.1439,,
2.5921,0.14389,,
2.5934,0.14431,,
2.5947,0.14378,,
2.596,0.1445,,
2.5973,0.14874,,
2.5986,0.14885,,
2.5999,0.14612,,
2.6012,0.14445,,
2.6025,0.14415,,
2.6038,0.14401,,
2.6050999999999997,0.14393,,
2.6064000000000003,0.14429,,
2.6077,0.14586,,
2.609,0.1455,,
2.6103,0.14472,,
2.6117,0.14522,,
2.613,0.14596,,
2.6143,0.14562,,
2.6155999999999997,0.14518,,
2.6169000000000002,0.14446,,
2.6182,0.14456,,
2.6195999999999997,0.14582,,
2.6209000000000002,0.14461,,
2.6222,0.14481,,
2.6235,0.14685,,
2.6249000000000002,0.14585,,
2.6262,0.14518,,
2.6275,0.14455,,
2.6289000000000002,0.14536,,
2.6302,0.14672,,
2.6315,0.14631,,
2.6329000000000002,0.14755,,
2.6342,0.14704,,
2.6355999999999997,0.14476,,
2.6369000000000002,0.144,,
2.6382,0.14303,,
2.6395999999999997,0.14372,,
2.6409000000000002,0.14432,,
2.6423,0.14353,,
2.6435999999999997,0.14325,,
2.645,0.143,,
2.6463,0.14327,,
2.6477,0.14407,,
2.649,0.14327,,
2.6504000000000003,0.1425,,
2.6517,0.14211,,
2.6531,0.14202,,
2.6544,0.14396,,
2.6558,0.14551,,
2.6572,0.14403,,
2.6585,0.14296,,
2.6599,0.14244,,
2.6613,0.143,,
2.6626,0.14381,,
2.664,0.1436,,
2.6654,0.14234,,
2.6666999999999996,0.14348,,
2.6681,0.1459,,
2.6695,0.14529,,
2.6709,0.14267,,
2.6721999999999997,0.14327,,
2.6736,0.14491,,
2.675,0.14187,,
2.6764,0.13938,,
2.6778000000000004,0.14011,,
2.6791,0.14155,,
2.6805,0.14073,,
2.6819,0.14063,,
2.6833,0.13978,,
2.6847,0.13816,,
2.6860999999999997,0.13782,,
2.6875,0.13713,,
2.6889000000000003,0.13717,,
2.6903,0.13739,,
2.6917,0.13654,,
2.6931,0.13559,,
2.6945,0.13553,,
2.6959,0.13622,,
2.6973000000000003,0.1369,,
2.6986999999999997,0.1364,,
2.7001,0.13452,,
2.7015,0.13228,,
2.7029,0.13195,,
2.7043000000000004,0.13277,,
2.7056999999999998,0.13275,,
2.7071,0.13139,,
2.7085,0.12969,,
2.71,0.12887,,
2.7114000000000003,0.12898,,
2.7128,0.12885,,
2.7142,0.12885,,
2.7156,0.12778,,
2.7171,0.12555,,
2.7185,0.12358,,
2.7199,0.12273,,
2.7213000000000003,0.12211,,
2.7228000000000003,0.1223,,
2.7241999999999997,0.12186,,
2.7256,0.12073,,
2.7271,0.12157,,
2.7285,0.12069,,
2.7299,0.11957,,
2.7314000000000003,0.11865,,
2.7328,0.11831,,
2.7342,0.11753,,
2.7357,0.11622,,
2.7371,0.11698,,
2.7386,0.11783,,
2.74,0.11717,,
2.7415,0.11817,,
2.7429,0.11899,,
2.7444,0.11769,,
2.7458,0.11603,,
2.7473,0.11472,,
2.7487,0.11377,,
2.7502,0.11343,,
2.7517,0.11314,,
2.7531,0.11186,,
2.7546,0.11097,,
2.7561,0.11124,,
2.7575,0.11346,,
2.759,0.11325,,
2.7605,0.11058,,
2.7619000000000002,0.10941,,
2.7634000000000003,0.10945,,
2.7649,0.10992,,
2.7663,0.11041,,
2.7678000000000003,0.1094,,
2.7693000000000003,0.1087,,
2.7708000000000004,0.10861,,
2.7723,0.10915,,
2.7737,0.10931,,
2.7752,0.10859,,
2.7767,0.10825,,
2.7782,0.10723,,
2.7796999999999996,0.1063,,
2.7811999999999997,0.10575,,
2.7826999999999997,0.10562,,
2.7842,0.10605,,
2.7857,0.10675,,
2.7872,0.10671,,
2.7887,0.10576,,
2.7902,0.10587,,
2.7916999999999996,0.10611,,
2.7931999999999997,0.10569,,
2.7946999999999997,0.10438,,
2.7962,0.10323,,
2.7977,0.10349,,
2.7992,0.10432,,
2.8007,0.10364,,
2.8022,0.10341,,
2.8038000000000003,0.10365,,
2.8053000000000003,0.10402,,
2.8068,0.10402,,
2.8083,0.10323,,
2.8098,0.1025,,
2.8114,0.10261,,
2.8129,0.10266,,
2.8144,0.10269,,
2.8159,0.10236,,
2.8175,0.10157,,
2.819,0.10166,,
2.8205,0.10144,,
2.8221,0.10138,,
2.8236,0.10163,,
2.8251,0.10125,,
2.8266999999999998,0.10125,,
2.8282,0.10198,,
2.8298,0.1016,,
2.8313,0.10112,,
2.8329,0.10087,,
2.8344,0.09975,,
2.836,0.099231,,
2.8375,0.099901,,
2.8390999999999997,0.10064,,
2.8406,0.10034,,
2.8421999999999996,0.099776,,
2.8436999999999997,0.10029,,
2.8453000000000004,0.10047,,
2.8469,0.10038,,
2.8484000000000003,0.10052,,
2.85,0.10043,,
2.8516,0.10008,,
2.8531,0.099931,,
2.8547,0.099625,,
2.8563,0.099201,,
2.8578,0.099995,,
2.8594,0.099955,,
2.861,0.099499,,
2.8626,0.099906,,
2.8642,0.10001,,
2.8657,0.10026,,
2.8673,0.10056,,
2.8689,0.10001,,
2.8705,0.09922,,
2.8721,0.098475,,
2.8737,0.098207,,
2.8753,0.098784,,
2.8769,0.099167,,
2.8785,0.099161,,
2.8801,0.099233,,
2.8817,0.099092,,
2.8833,0.098622,,
2.8849,0.098771,,
2.8865,0.09916,,
2.8881,0.098899,,
2.8897,0.099046,,
2.8913,0.099171,,
2.8929,0.099131,,
2.8945,0.098562,,
2.8962,0.098803,,
2.8978,0.099114,,
2.8994,0.098075,,
2.901,0.097628,,
2.9027,0.098524,,
2.9043,0.099026,,
