Wavelength (µm) raw,Pigeonite hs199 spliced raw,Wavelength (µm) bin avg,Pigeonite hs199 spliced bin avg,Wavelength (µm) cubic spline of bin avg,Pigeonite hs199 spliced cubic spline of bin avg
2.69027,0.201453,,,,
2.69167,0.201115,,,,
2.69307,0.202356,,,,
2.69447,0.201961,,,,
2.69587,0.199365,,,,
2.69727,0.196542,,,,
2.69867,0.19451,,,,
2.70008,0.193833,,,,
2.70149,0.192535,,,,
2.7029,0.189825,,,,
2.70431,0.187342,,,,
2.70572,0.185141,,,,
2.70713,0.182883,,,,
2.70854,0.181189,,,,
2.70996,0.179327,,,,
2.71138,0.17498,,,,
2.7128,0.168489,,,,
2.71422,0.163353,,,,
2.71564,0.157539,,,,
2.71706,0.150144,,,,
2.71849,0.143597,,,,
2.71991,0.141508,,,,
2.72134,0.138912,,,,
2.72277,0.13671,,,,
2.7242,0.136259,,,,
2.72563,0.133324,,,,
2.72707,0.127792,,,,
2.7285,0.12147,,,,
2.72994,0.116277,,,,
2.73138,0.114527,,,,
2.73282,0.115431,,,,
2.73426,0.116616,,,,
2.7357,0.116052,,,,
2.73715,0.115035,,,,
