Wavelength (µm),split 92 <125 µm,Wavelength (µm) target,split 92 <125 µm target
2.5143,0.34632,,
2.5145999999999997,0.34632,,
2.5149,0.34649,,
2.5151999999999997,0.34644,,
2.5155,0.34633,,
2.5158,0.34649,,
2.5161,0.34658,,
2.5164,0.34676,,
2.5166999999999997,0.34671,,
2.517,0.34649,,
2.5173,0.34668,,
2.5176,0.34698,,
2.5179,0.34696,,
2.5183,0.34675,,
2.5185999999999997,0.34666,,
2.5189,0.34694,,
2.5191999999999997,0.34729,,
2.5195,0.34738,,
2.5198,0.34753,,
2.5201,0.34769,,
2.5204,0.34739,,
2.5206999999999997,0.34721,,
2.521,0.34743,,
2.5213,0.34744,,
2.5216,0.3475,,
2.5219,0.34777,,
2.5221999999999998,0.34783,,
2.5225,0.348,,
2.5228,0.34817,,
2.5231999999999997,0.34807,,
2.5235,0.34816,,
2.5238,0.34822,,
2.5241,0.34833,,
2.5244,0.34841,,
2.5246999999999997,0.34816,,
2.525,0.3483,,
2.5253,0.34824,,
2.5256,0.34831,,
2.5259,0.34834,,
2.5262,0.34841,,
2.5265,0.34862,,
2.5268,0.34881,,
2.5271999999999997,0.34892,,
2.5275,0.34912,,
2.5278,0.34907,,
2.5281,0.34882,,
2.5284,0.3489,,
2.5286999999999997,0.34916,,
2.529,0.34931,,
2.5293,0.34911,,
2.5296,0.34922,,
2.5299,0.34941,,
2.5302,0.34931,,
2.5305,0.34921,,
2.5309,0.34952,,
2.5311999999999997,0.34968,,
2.5315,0.34967,,
2.5318,0.34981,,
2.5321,0.35,,
2.5324,0.35006,,
2.5326999999999997,0.35018,,
2.533,0.34999,,
2.5333,0.34987,,
2.5336,0.35027,,
2.5339,0.35026,,
2.5343,0.35008,,
2.5345999999999997,0.35024,,
2.5349,0.3506,,
2.5351999999999997,0.35075,,
2.5355,0.35057,,
2.5358,0.35064,,
2.5361,0.35088,,
2.5364,0.35077,,
2.5366999999999997,0.35086,,
2.537,0.35085,,
2.5374,0.35061,,
2.5376999999999996,0.35088,,
2.538,0.35086,,
2.5383,0.35073,,
2.5385999999999997,0.35093,,
2.5389,0.35123,,
2.5391999999999997,0.35111,,
2.5395,0.35107,,
2.5398,0.35115,,
2.5402,0.35129,,
2.5405,0.35134,,
