Wavelength (µm) raw,Mauna Iki HI basaltic glass JB388A <125 ¬µm raw,Wavelength (µm) bin avg,Mauna Iki HI basaltic glass JB388A <125 ¬µm bin avg,Wavelength (µm) cubic spline of bin avg,Mauna Iki HI basaltic glass JB388A <125 ¬µm cubic spline of bin avg
0.95896,0.086045,,,,
0.95931,0.086022,,,,
0.95967,0.086044,,,,
0.96003,0.08606,,,,
0.96038,0.086006,,,,
0.96074,0.085994,,,,
0.96109,0.086027,,,,
0.96145,0.086113,,,,
0.96181,0.086276,,,,
0.96216,0.086344,,,,
0.96252,0.086276,,,,
0.96288,0.086328,,,,
0.96324,0.086396,,,,
0.96359,0.086321,,,,
0.96395,0.086191,,,,
0.96431,0.086155,,,,
0.96467,0.08615,,,,
0.96503,0.08612,,,,
0.96539,0.086034,,,,
0.96575,0.085884,,,,
0.96611,0.085804,,,,
0.96647,0.085782,,,,
0.96683,0.085666,,,,
0.96719,0.085547,,,,
0.96755,0.085557,,,,
0.96791,0.085643,,,,
0.96827,0.085656,,,,
0.96864,0.085616,,,,
0.969,0.085487,,,,
0.96936,0.085373,,,,
0.96972,0.085299,,,,
0.97009,0.08524,,,,
0.97045,0.085241,,,,
0.97081,0.085269,,,,
0.97118,0.085229,,,,
0.97154,0.085219,,,,
0.9719,0.085183,,,,
0.97227,0.085007,,,,
0.97263,0.084808,,,,
0.973,0.084739,,,,
0.97336,0.084701,,,,
0.97373,0.084647,,,,
0.9741,0.084637,,,,
0.97446,0.084628,,,,
0.97483,0.084605,,,,
0.97519,0.084644,,,,
0.97556,0.084585,,,,
0.97593,0.084478,,,,
0.9763,0.084565,,,,
0.97666,0.084714,,,,
0.97703,0.084762,,,,
0.9774,0.084778,,,,
0.97777,0.084791,,,,
0.97814,0.084763,,,,
0.97851,0.084756,,,,
0.97888,0.084751,,,,
0.97925,0.084718,,,,
0.97962,0.084695,,,,
0.97999,0.084681,,,,
0.98036,0.084633,,,,
0.98073,0.084567,,,,
0.9811,0.084528,,,,
0.98147,0.08446,,,,
0.98184,0.084348,,,,
0.98222,0.084255,,,,
0.98259,0.084233,,,,
0.98296,0.084277,,,,
0.98333,0.084335,,,,
0.98371,0.084404,,,,
0.98408,0.084469,,,,
0.98445,0.084552,,,,
0.98483,0.084641,,,,
0.9852,0.084693,,,,
0.98558,0.084713,,,,
0.98595,0.084736,,,,
0.98633,0.084766,,,,
0.9867,0.084732,,,,
0.98708,0.08463,,,,
0.98745,0.084492,,,,
0.98783,0.084357,,,,
0.98821,0.084281,,,,
0.98858,0.084204,,,,
0.98896,0.084084,,,,
0.98934,0.083927,,,,
0.98972,0.083804,,,,
0.99009,0.08373,,,,
0.99047,0.083713,,,,
0.99085,0.083724,,,,
0.99123,0.083727,,,,
0.99161,0.083801,,,,
0.99199,0.083906,,,,
0.99237,0.083937,,,,
0.99275,0.083887,,,,
0.99313,0.083841,,,,
0.99351,0.083864,,,,
0.99389,0.083966,,,,
0.99427,0.084103,,,,
0.99465,0.084211,,,,
0.99504,0.084208,,,,
0.99542,0.084104,,,,
0.9958,0.083857,,,,
0.99618,0.083668,,,,
0.99657,0.083656,,,,
0.99695,0.083652,,,,
0.99733,0.083624,,,,
0.99772,0.083616,,,,
0.9981,0.083622,,,,
0.99849,0.08363,,,,
0.99887,0.083576,,,,
0.99926,0.083529,,,,
0.99964,0.083573,,,,
1.0,0.083725,,,,
1.0004,0.083801,,,,
1.0008,0.083774,,,,
1.0012,0.083812,,,,
1.0016,0.08384,,,,
1.002,0.083804,,,,
1.0023,0.083737,,,,
1.0027,0.083635,,,,
1.0031,0.083531,,,,
1.0035,0.083493,,,,
1.0039,0.083446,,,,
1.0043,0.083359,,,,
1.0047,0.083241,,,,
1.0051,0.083108,,,,
1.0055,0.083025,,,,
1.0058,0.083033,,,,
1.0062,0.083081,,,,
1.0066,0.083135,,,,
1.007,0.083132,,,,
