Wavelength (µm) raw,Vogelsberg basalt JB460 125-250 µm raw,Wavelength (µm) bin avg,Vogelsberg basalt JB460 125-250 µm bin avg,Wavelength (µm) cubic spline of bin avg,Vogelsberg basalt JB460 125-250 µm cubic spline of bin avg
1.3015,0.07339,2.48214,0.08471444444444444,2.48214,0.08471444444444444
1.3018,0.07334,2.49212,0.08508375,2.4921209803921567,0.0850837869053602
1.3021,0.07351,2.5021,0.08545749999999999,2.5021019607843136,0.08545757896365133
1.3025,0.07354,2.51208,0.0858975,2.5120829411764705,0.08589763496799586
1.3028,0.07345,2.52206,0.08634333333333334,2.5220639215686274,0.08634349982061285
1.3031,0.07345,2.53204,0.08677750000000001,2.5320449019607842,0.08677773932598062
1.3034,0.07354,2.54203,0.0873125,2.542025882352941,0.08731227996352675
1.3038,0.07365,2.55201,0.0877825,2.552006862745098,0.087782376449294
1.3041,0.07377,2.56199,0.08817142857142857,2.561987843137255,0.08817132668081114
1.3044,0.07363,2.57197,0.0887275,2.571968823529412,0.08872743445321223
1.3048,0.07334,2.58195,0.08921,2.5819498039215687,0.08920999174568948
1.3051,0.07333,2.59193,0.08958625,2.5919307843137256,0.08958627669784465
1.3054,0.07349,2.60191,0.08989142857142858,2.601911764705882,0.08989147547843414
1.3058,0.07357,2.61189,0.09016,2.611892745098039,0.09016008813678411
1.3061,0.07371,2.62187,0.09049285714285715,2.621873725490196,0.09049295320753059
1.3064,0.07387,2.63185,0.09063875,2.6318547058823527,0.09063879066206207
1.3067,0.07378,2.64183,0.09068571428571429,2.6418356862745096,0.09068570070196913
1.3071,0.07367,2.65182,0.09060874999999999,2.6518166666666665,0.09060877698353895
1.3074,0.07372,2.6618,0.09012142857142857,2.6617976470588234,0.09012174576928997
1.3077,0.07369,2.67178,0.08800999999999999,2.6717786274509803,0.08801032081702508
1.3081,0.07361,2.68176,0.0855,2.681759607843137,0.0855001252657436
1.3084,0.07362,2.69174,0.08135125000000001,2.691740588235294,0.08135096166555855
1.3087,0.07352,2.70172,0.07612571428571428,2.701721568627451,0.07612487063598843
1.3091,0.0736,2.7117,0.0699542857142857,2.711702549019608,0.06995228593180164
1.3094,0.07376,2.72168,0.06138142857142857,2.7216835294117647,0.061378759063895554
1.3097,0.07383,2.73166,0.05598714285714286,2.7316645098039216,0.055985392166082316
1.31,0.07388,2.74164,0.052770000000000004,2.7416454901960785,0.052768467201977594
1.3104,0.07391,2.75163,0.050241666666666664,2.7516264705882354,0.050242447850411424
1.3107,0.07377,2.76161,0.04851428571428572,2.7616074509803923,0.04851457631348531
1.311,0.07367,2.77159,0.04772714285714286,2.7715884313725487,0.04772726614425691
1.3114,0.07378,2.78157,0.046824285714285714,2.7815694117647056,0.046824332554110525
1.3117,0.07379,2.79155,0.04627666666666666,2.7915503921568625,0.046276651407553965
1.312,0.07387,2.80153,0.045982857142857145,2.8015313725490194,0.045982832899931415
1.3124,0.07395,2.81151,0.045941666666666665,2.8115123529411763,0.04594168753986661
1.3127,0.0739,2.82149,0.04620857142857143,2.821493333333333,0.04620873826697777
1.313,0.07386,2.83147,0.046860000000000006,2.83147431372549,0.04686028906762276
1.3134,0.07391,2.84145,0.04743428571428572,2.841455294117647,0.04743455222979241
1.3137,0.07385,2.85144,0.04799333333333333,2.851436274509804,0.04799306467258456
1.314,0.07378,2.86142,0.048761428571428574,2.8614172549019607,0.04876126395099626
1.3144,0.07378,2.8714,0.049161666666666666,2.8713982352941176,0.04916159741556977
1.3147,0.07382,2.88138,0.04965,2.8813792156862745,0.04964996065408576
1.315,0.07396,2.89136,0.05006833333333333,2.8913601960784314,0.050068339732842894
1.3154,0.07405,2.90134,0.05035,2.9013411764705883,0.05035003494756745
1.3157,0.07401,2.91132,0.05063666666666666,2.911322156862745,0.05063670847077952
1.316,0.07407,2.9213,0.05074,2.9213031372549016,0.050740031339891814
1.3164,0.07416,2.93128,0.05090600000000001,2.9312841176470585,0.05090608906323712
1.3167,0.07409,2.94126,0.05115833333333333,2.9412650980392154,0.05115848246959656
1.317,0.07399,2.95125,0.05147499999999999,2.9512460784313723,0.05147487329857281
1.3174,0.07396,2.96123,0.05178833333333333,2.961227058823529,0.05178824275294672
1.3177,0.0741,2.97121,0.05210000000000001,2.971208039215686,0.05209993651369988
1.318,0.07419,2.98119,0.052471666666666666,2.981189019607843,0.05247162245197163
1.3184,0.07403,2.99117,0.053059999999999996,2.99117,0.053059999999999996
1.3187,0.07387,,,,
1.319,0.07394,,,,
1.3194,0.07415,,,,
1.3197,0.07421,,,,
1.3201,0.07423,,,,
1.3204,0.07418,,,,
1.3207,0.07424,,,,
1.3211,0.07417,,,,
1.3214,0.0741,,,,
1.3217,0.07435,,,,
1.3221,0.07446,,,,
1.3224,0.07432,,,,
1.3227,0.07431,,,,
1.3231,0.07431,,,,
1.3234,0.07414,,,,
1.3238,0.07418,,,,
1.3241,0.07436,,,,
1.3244,0.0744,,,,
1.3248,0.07431,,,,
1.3251,0.0743,,,,
1.3254,0.07436,,,,
1.3258,0.07446,,,,
1.3261,0.07451,,,,
1.3265,0.07457,,,,
1.3268,0.07455,,,,
1.3271,0.07436,,,,
1.3275,0.07429,,,,
1.3278,0.07439,,,,
1.3282,0.07446,,,,
1.3285,0.07444,,,,
1.3288,0.07452,,,,
1.3292,0.07457,,,,
1.3295,0.07447,,,,
1.3299,0.07441,,,,
1.3302,0.07436,,,,
1.3306,0.0745,,,,
1.3309,0.07483,,,,
1.3312,0.07478,,,,
1.3316,0.07459,,,,
1.3319,0.07463,,,,
1.3323,0.07463,,,,
1.3326,0.07462,,,,
1.3329,0.07455,,,,
1.3333,0.07439,,,,
1.3336,0.07458,,,,
1.334,0.07476,,,,
1.3343,0.07473,,,,
1.3347,0.07468,,,,
1.335,0.07479,,,,
1.3353,0.07489,,,,
1.3357,0.07491,,,,
1.336,0.07487,,,,
1.3364,0.07493,,,,
1.3367,0.07498,,,,
1.3371,0.07491,,,,
1.3374,0.07489,,,,
1.3378,0.07491,,,,
1.3381,0.07492,,,,
1.3384,0.0749,,,,
1.3388,0.07486,,,,
1.3391,0.07496,,,,
1.3395,0.07505,,,,
1.3398,0.07511,,,,
1.3402,0.07506,,,,
1.3405,0.07494,,,,
1.3409,0.07491,,,,
1.3412,0.07501,,,,
1.3416,0.07513,,,,
1.3419,0.07511,,,,
1.3423,0.07503,,,,
