Wavelength (µm) raw,Icelandic tephra JB501C  45-125 µm raw,Wavelength (µm) bin avg,Icelandic tephra JB501C  45-125 µm bin avg,Wavelength (µm) cubic spline of bin avg,Icelandic tephra JB501C  45-125 µm cubic spline of bin avg
0.975,0.09927,1.75353,0.132358,1.7535284313725492,0.1323580140651807
0.98,0.09894,1.76351,0.1323375,1.763509411764706,0.1323374994979318
0.985,0.09875,1.77349,0.13230250000000002,1.7734903921568628,0.13230249563421073
0.99,0.09844,1.78347,0.1321775,1.7834713725490197,0.1321774939362377
0.995,0.09813,1.79345,0.1322225,1.7934523529411766,0.13222251120817127
1.0,0.09794,1.80343,0.132195,1.8034333333333334,0.1321949687236147
1.005,0.09778,1.81341,0.1321175,1.8134143137254903,0.13211750518714044
1.01,0.09757,1.8234,0.1321975,1.8233952941176472,0.13219747498289502
1.015,0.09752,1.83338,0.13216750000000002,1.8333762745098041,0.13216752772880674
1.02,0.09737,1.84336,0.13212333333333334,1.8433572549019608,0.13212332739007254
1.025,0.09718,1.85334,0.13223500000000002,1.8533382352941177,0.1322349663625372
1.03,0.09711,1.86332,0.13233999999999999,1.8633192156862746,0.13234001041896729
1.035,0.09709,1.8733,0.1318575,1.8733001960784315,0.13185748443315945
1.04,0.0971,1.88328,0.13093000000000002,1.8832811764705883,0.13092989059125118
1.045,0.09718,1.89326,0.12997750000000002,1.8932621568627452,0.1299772546542442
1.05,0.09728,1.90324,0.12878333333333333,1.9032431372549021,0.12878302807739017
1.055,0.09729,1.91322,0.1282925,1.913224117647059,0.12829248564413945
1.06,0.09723,1.92321,0.1285275,1.923205098039216,0.12852733177408157
1.065,0.09725,1.93319,0.12898,1.9331860784313726,0.1289797144609032
1.07,0.0972,1.94317,0.12988999999999998,1.9431670588235295,0.1298897531045761
1.075,0.09718,1.95315,0.1305775,1.9531480392156864,0.13057735953415384
1.08,0.09721,1.96313,0.13135,1.9631290196078433,0.1313499329619095
1.085,0.09728,1.97311,0.13196333333333332,1.9731100000000001,0.13196333333333335
1.09,0.09727,1.98309,0.13282500000000003,1.983090980392157,0.13282508751704358
1.095,0.09733,1.99307,0.13363666666666665,1.993071960784314,0.13363681273783962
1.1,0.09752,2.00305,0.13435666666666668,2.0030529411764704,0.13435688185540573
1.105,0.09768,2.01303,0.13514666666666666,2.0130339215686273,0.13514700691176412
1.11,0.09784,2.02301,0.1360325,2.023014901960784,0.13603290957358455
1.115,0.098,2.033,0.13680333333333333,2.032995882352941,0.13680301718509777
1.12,0.09823,2.04298,0.13757,2.042976862745098,0.13756977641497303
1.125,0.09837,2.05296,0.13822333333333334,2.052957843137255,0.1382231931058133
1.13,0.09857,2.06294,0.13890333333333335,2.0629388235294117,0.1389032515981735
1.135,0.09876,2.07292,0.13962666666666668,2.0729198039215686,0.13962665119048595
1.14,0.09896,2.0829,0.14037666666666668,2.0829007843137255,0.14037671191657025
1.145,0.09911,2.09288,0.1409,2.0928817647058824,0.1409001289307185
1.15,0.0994,2.10286,0.14178666666666667,2.1028627450980393,0.14178686960900916
1.155,0.09959,2.11284,0.14235333333333333,2.112843725490196,0.14235358692708452
1.16,0.09981,2.12282,0.14314333333333332,2.122824705882353,0.14314362336642147
1.165,0.10013,2.13281,0.143575,2.13280568627451,0.14357477368184432
1.17,0.1005,2.14279,0.14423666666666665,2.142786666666667,0.14423647667000916
1.175,0.10077,2.15277,0.14461333333333334,2.1527676470588237,0.14461325877032588
1.18,0.10115,2.16275,0.14492666666666668,2.16274862745098,0.14492663418542467
1.185,0.1015,2.17273,0.14495333333333335,2.172729607843137,0.14495334279864494
1.19,0.10185,2.18271,0.14465,2.182710588235294,0.14464999395582093
1.195,0.10223,2.19269,0.14491,2.192691568627451,0.1449100819226182
1.2,0.1026,2.20267,0.14556,2.2026725490196077,0.14556019100833353
1.205,0.10294,2.21265,0.14623,2.2126535294117646,0.14623015821686722
1.21,0.10343,2.22263,0.1466,2.2226345098039215,0.14660026315229088
1.215,0.10375,2.23262,0.147455,2.2326154901960784,0.14745459509879766
1.22,0.10404,2.2426,0.14825666666666668,2.2425964705882353,0.1482563832818313
1.225,0.1044,2.25258,0.14905666666666667,2.252577450980392,0.14905648693235965
1.23,0.10481,2.26256,0.14972,2.262558431372549,0.1497198783452061
1.235,0.10505,2.27254,0.15059333333333333,2.272539411764706,0.15059328557879578
1.24,0.10548,2.28252,0.151275,2.282520392156863,0.15127502554923478
1.245,0.10586,2.2925,0.15197000000000002,2.2925013725490198,0.15197009888550875
1.25,0.10624,2.30248,0.152645,2.3024823529411766,0.15264513762267748
1.255,0.10656,2.31246,0.153165,2.3124633333333335,0.1531651773485216
1.26,0.10702,2.32244,0.15374666666666667,2.32244431372549,0.15374692489414232
1.265,0.10743,2.33242,0.15425499999999998,2.332425294117647,0.15425518524558454
1.27,0.1079,2.34241,0.15453333333333333,2.3424062745098038,0.15453319724711267
1.275,0.10828,2.35239,0.154945,2.3523872549019607,0.15494492804544016
1.28,0.1087,2.36237,0.15501500000000001,2.3623682352941175,0.1550149939291896
1.285,0.10913,2.37235,0.15511,2.3723492156862744,0.15510999244847715
1.29,0.10957,2.38233,0.15522333333333335,2.3823301960784313,0.15522333738674562
1.295,0.10996,2.39231,0.15546500000000002,2.392311176470588,0.1554650169349193
1.3,0.11042,2.40229,0.15547499999999997,2.402292156862745,0.1554749943725531
1.305,0.11098,2.41227,0.155445,2.412273137254902,0.15544496871529168
1.31,0.11149,2.42225,0.15524666666666667,2.422254117647059,0.15524655896156128
1.315,0.11208,2.43223,0.15504,2.432235098039216,0.15503996359365713
1.32,0.11268,2.44222,0.15503,2.4422160784313727,0.15503004068272846
1.325,0.11327,2.4522,0.15484,2.452197058823529,0.1548400337099639
1.33,0.11372,2.46218,0.15483000000000002,2.462178039215686,0.15483000767782698
1.335,0.11431,2.47216,0.15461000000000003,2.472159019607843,0.154610041182551
1.34,0.11486,2.48214,0.15406,2.48214,0.15406
1.345,0.11543,2.49212,0.153555,2.4921209803921567,0.15355496364558197
1.35,0.11597,2.5021,0.15328,2.5021019607843136,0.1532799477909079
1.3525,0.11607,2.51208,0.152975,2.5120829411764705,0.15297490951809362
1.3539,0.11596,2.52206,0.15273,2.5220639215686274,0.1527299386610811
1.3554,0.11603,2.53204,0.152625,2.5320449019607842,0.15262494183599998
1.3568,0.11628,2.54203,0.152425,2.542025882352941,0.15242511743221948
1.3582,0.11648,2.55201,0.152115,2.552006862745098,0.15211508566346404
1.3596,0.1166,2.56199,0.15184,2.561987843137255,0.15184008221102685
1.361,0.11661,2.57197,0.15136,2.571968823529412,0.151360055495414
1.3625,0.11652,2.58195,0.150995,2.5819498039215687,0.15099500533506113
1.3639,0.11649,2.59193,0.15073999999999999,2.5919307843137256,0.15073997618092821
1.3654,0.11656,2.60191,0.15034,2.601911764705882,0.1503399149189808
1.3668,0.11686,2.61189,0.14976,2.611892745098039,0.149759804055882
1.3682,0.11703,2.62187,0.148795,2.621873725490196,0.1487945129551472
1.3697,0.11688,2.63185,0.14749,2.6318547058823527,0.1474895855017253
1.3711,0.1169,2.64183,0.145225,2.6418356862745096,0.1452216435095541
1.3726,0.11707,2.65182,0.13533166666666668,2.6518166666666665,0.1353356777840366
1.374,0.11715,2.6618,0.12202875,2.6617976470588234,0.12203243581121984
1.3755,0.11731,2.67178,0.10542,2.6717786274509803,0.10542208901182336
1.377,0.11747,2.68176,0.09352428571428571,2.681759607843137,0.0935246442118018
1.3784,0.11776,2.69174,0.08587142857142857,2.691740588235294,0.08587101813399042
1.3799,0.11798,2.70172,0.07876285714285715,2.701721568627451,0.07876170863315983
1.3814,0.11798,2.7117,0.07121999999999999,2.711702549019608,0.07121801733357182
1.3828,0.11801,2.72168,0.06353857142857143,2.7216835294117647,0.06353598435476007
1.3843,0.11803,2.73166,0.05668571428571429,2.7316645098039216,0.056682741871516014
1.3858,0.11821,2.74164,0.05052285714285714,2.7416454901960785,0.050519875773777666
1.3873,0.11855,2.75163,0.04585714285714286,2.7516264705882354,0.045858633359719805
1.3888,0.11867,2.76161,0.04194428571428572,2.7616074509803923,0.04194516516808441
1.3903,0.11845,2.77159,0.03917333333333333,2.7715884313725487,0.03917365783192208
1.3917,0.11849,2.78157,0.03759142857142857,2.7815694117647056,0.03759150860024799
1.3932,0.11853,2.79155,0.036315714285714285,2.7915503921568625,0.03631567195256905
1.3947,0.11857,2.80153,0.03542666666666667,2.8015313725490194,0.035426552911606644
1.3962,0.1188,2.81151,0.03477,2.8115123529411763,0.03476994078471754
1.3978,0.11916,2.82149,0.03470333333333333,2.821493333333333,0.03470322048363055
1.3993,0.11939,2.83147,0.03409714285714286,2.83147431372549,0.034096962847045845
1.4008,0.11945,2.84145,0.034028333333333334,2.841455294117647,0.03402832243826051
1.4023,0.11964,2.85144,0.033895714285714286,2.851436274509804,0.033895753607021586
1.4038,0.11953,2.86142,0.03390666666666667,2.8614172549019607,0.03390664547061259
1.4053,0.1195,2.8714,0.03397,2.8713982352941176,0.033969996483515605
1.4069,0.11971,2.88138,0.033951666666666665,2.8813792156862745,0.03395166836123005
1.4084,0.11976,2.89136,0.033940000000000005,2.8913601960784314,0.033939999535645624
1.4099,0.11988,2.90134,0.034015,2.9013411764705883,0.034015036088531056
1.4115,0.12019,2.91132,0.03439333333333333,2.911322156862745,0.03439336772624489
1.413,0.12033,2.9213,0.03435,2.9213031372549016,0.034350019501272616
1.4145,0.1205,2.93128,0.03464166666666666,2.9312841176470585,0.03464180615072819
1.4161,0.12063,2.94126,0.034956666666666664,2.9412650980392154,0.03495687390570896
1.4176,0.12087,2.95125,0.03533833333333334,2.9512460784313723,0.03533828289826511
1.4192,0.12133,2.96123,0.03539166666666667,2.961227058823529,0.03539155323050182
1.4207,0.12147,2.97121,0.036075,2.971208039215686,0.03607489362359822
1.4223,0.12152,2.98119,0.036258,2.981189019607843,0.036257995227603
1.4239,0.12168,2.99117,0.03662000000000001,2.99117,0.03662000000000001
1.4254,0.12186,,,,
1.427,0.12194,,,,
1.4286,0.12193,,,,
1.4302,0.1223,,,,
1.4317,0.1226,,,,
1.4333,0.12258,,,,
1.4349,0.12271,,,,
1.4365,0.12301,,,,
1.4381,0.1231,,,,
1.4397,0.12318,,,,
1.4413,0.12342,,,,
1.4429,0.12372,,,,
1.4445,0.12392,,,,
1.4461,0.12418,,,,
1.4477,0.12445,,,,
1.4493,0.12458,,,,
1.451,0.12464,,,,
1.4526,0.12465,,,,
1.4542,0.12472,,,,
1.4559,0.12497,,,,
1.4575,0.12519,,,,
1.4591,0.12519,,,,
1.4608,0.12532,,,,
1.4624,0.1254,,,,
1.4641,0.12548,,,,
1.4657,0.1258,,,,
1.4674,0.12613,,,,
1.4691,0.12619,,,,
1.4707,0.12635,,,,
1.4724,0.12648,,,,
1.4741,0.12652,,,,
1.4758,0.12659,,,,
1.4774,0.1268,,,,
1.4791,0.12696,,,,
1.4808,0.12702,,,,
1.4825,0.12727,,,,
1.4842,0.12769,,,,
1.4859,0.12782,,,,
1.4876,0.12776,,,,
1.4893,0.12788,,,,
1.491,0.12804,,,,
1.4928,0.12819,,,,
1.4945,0.12837,,,,
1.4962,0.12838,,,,
1.4979,0.12843,,,,
1.4997,0.1288,,,,
1.5014,0.12902,,,,
1.5032,0.12906,,,,
1.5049,0.12922,,,,
1.5066,0.12947,,,,
1.5084,0.1295,,,,
1.5102,0.12948,,,,
1.5119,0.12963,,,,
1.5137,0.12971,,,,
1.5155,0.12977,,,,
1.5172,0.12998,,,,
1.519,0.13023,,,,
1.5208,0.13028,,,,
1.5226,0.13024,,,,
1.5244,0.13036,,,,
1.5262,0.1306,,,,
1.528,0.13071,,,,
1.5298,0.13078,,,,
1.5316,0.13092,,,,
1.5334,0.13111,,,,
1.5352,0.13115,,,,
1.537,0.13105,,,,
1.5389,0.13114,,,,
1.5407,0.13137,,,,
1.5425,0.13157,,,,
1.5444,0.13155,,,,
1.5462,0.13149,,,,
1.548,0.13151,,,,
1.5499,0.13146,,,,
1.5518,0.13143,,,,
1.5536,0.13168,,,,
1.5555,0.13192,,,,
1.5574,0.13192,,,,
1.5592,0.13193,,,,
1.5611,0.13198,,,,
1.563,0.13197,,,,
1.5649,0.13193,,,,
1.5668,0.13201,,,,
1.5687,0.13211,,,,
1.5706,0.1323,,,,
1.5725,0.13245,,,,
1.5744,0.1325,,,,
1.5763,0.13249,,,,
1.5782,0.13254,,,,
1.5801,0.13279,,,,
1.5821,0.13293,,,,
1.584,0.1329,,,,
1.5859,0.13285,,,,
1.5879,0.13286,,,,
1.5898,0.13275,,,,
1.5918,0.13263,,,,
1.5937,0.13277,,,,
1.5957,0.13296,,,,
1.5977,0.133,,,,
1.5997,0.13304,,,,
1.6016,0.133,,,,
1.6036,0.13282,,,,
1.6056,0.13286,,,,
1.6076,0.13307,,,,
1.6096,0.13295,,,,
1.6116,0.13297,,,,
1.6136,0.13322,,,,
1.6156,0.13318,,,,
1.6176,0.13317,,,,
1.6196,0.13321,,,,
