Wavelength (µm) raw,ALH-271 spot f raw,Wavelength (µm) bin avg,ALH-271 spot f bin avg,Wavelength (µm) cubic spline of bin avg,ALH-271 spot f cubic spline of bin avg
2.13,0.090169,,,,
2.135,0.090311,,,,
2.14,0.091011,,,,
2.145,0.091282,,,,
2.15,0.091996,,,,
2.155,0.092343,,,,
2.16,0.092843,,,,
2.165,0.093148,,,,
2.17,0.093767,,,,
2.175,0.094315,,,,
2.18,0.095227,,,,
2.185,0.095656,,,,
2.19,0.096448,,,,
2.195,0.09676,,,,
2.2,0.097344,,,,
2.205,0.098143,,,,
2.21,0.09895,,,,
2.215,0.09953,,,,
2.22,0.10018,,,,
2.225,0.10079,,,,
2.23,0.10126,,,,
2.235,0.10222,,,,
2.24,0.10272,,,,
2.245,0.10354,,,,
2.25,0.10411,,,,
2.255,0.10503,,,,
2.26,0.10562,,,,
2.265,0.1062,,,,
2.27,0.10701,,,,
2.275,0.10799,,,,
2.28,0.10857,,,,
2.285,0.10909,,,,
2.29,0.10986,,,,
2.295,0.11075,,,,
2.3,0.11129,,,,
2.305,0.11211,,,,
2.31,0.11298,,,,
2.315,0.11368,,,,
2.32,0.11427,,,,
2.325,0.11489,,,,
2.33,0.11574,,,,
2.335,0.11643,,,,
2.34,0.11716,,,,
2.345,0.11799,,,,
2.35,0.11863,,,,
2.355,0.11929,,,,
2.36,0.12009,,,,
2.365,0.12084,,,,
2.37,0.12231,,,,
2.375,0.12299,,,,
2.38,0.124,,,,
2.385,0.12474,,,,
2.39,0.12553,,,,
2.395,0.12624,,,,
2.4,0.12693,,,,
2.405,0.12782,,,,
2.41,0.12861,,,,
2.415,0.12933,,,,
2.42,0.13019,,,,
2.425,0.13122,,,,
2.43,0.13194,,,,
2.435,0.13207,,,,
2.44,0.13311,,,,
2.445,0.13345,,,,
2.45,0.13402,,,,
2.455,0.13473,,,,
2.46,0.13527,,,,
2.465,0.13605,,,,
2.47,0.13642,,,,
2.475,0.13771,,,,
2.48,0.13792,,,,
