Wavelength (nm),Haleakala tephra JB395B 45-125
3773.0,0.13904
3775.8,0.13912
3778.5,0.13922
3781.3,0.13946
3784.0,0.13964
3786.8,0.14012
3789.6,0.14056
3792.3,0.14073
3795.1,0.14073
3797.9,0.14094
3800.7,0.14120
3803.5,0.14135
3806.3,0.14157
3809.1,0.14188
3811.9,0.14212
3814.7,0.14228
3817.5,0.14248
3820.3,0.14267
3823.1,0.14288
3825.9,0.14300
3828.8,0.14309
3831.6,0.14324
3834.4,0.14330
3837.3,0.14347
3840.1,0.14360
3842.9,0.14372
3845.8,0.14397
3848.7,0.14427
3851.5,0.14443
3854.4,0.14457
3857.2,0.14475
3860.1,0.14501
3863.0,0.14499
3865.9,0.14486
3868.8,0.14496
3871.6,0.14510
3874.5,0.14538
3877.4,0.14578
3880.3,0.14595
3883.2,0.14589
3886.2,0.14600
3889.1,0.14630
3892.0,0.14642
3894.9,0.14653
3897.8,0.14660
3900.8,0.14649
3903.7,0.14653
3906.7,0.14663
3909.6,0.14677
3912.6,0.14694
3915.5,0.14713
3918.5,0.14728
3921.4,0.14737
3924.4,0.14740
3927.4,0.14738
3930.4,0.14748
3933.3,0.14759
3936.3,0.14774
3939.3,0.14782
3942.3,0.14769
3945.3,0.14773
3948.3,0.14790
3951.3,0.14801
3954.3,0.14807
3957.4,0.14804
3960.4,0.14812
3963.4,0.14846
3966.4,0.14854
3969.5,0.14855
3972.5,0.14865
3975.6,0.14877
3978.6,0.14888
3981.7,0.14886
3984.7,0.14877
3987.8,0.14894
3990.9,0.14909
3993.9,0.14921
3997.0,0.14921
4000.1,0.14912
