Wavelength (nm),"Mauna Iki, HI basaltic glass JB388B 150-250 µm"
1670.1,0.046896
1671.2,0.046826
1672.3,0.046808
1673.4,0.046807
1674.5,0.046713
1675.5,0.046612
1676.6,0.046593
1677.7,0.046589
1678.8,0.046614
1679.9,0.046724
1681,0.046811
1682.1,0.046839
1683.2,0.046902
1684.3,0.04693
1685.3,0.046866
1686.4,0.046806
1687.5,0.046752
1688.6,0.046663
1689.7,0.046565
1690.8,0.046503
1692,0.04647
1693.1,0.046458
1694.2,0.046476
1695.3,0.046501
1696.4,0.046511
1697.5,0.046523
1698.6,0.04655
1699.7,0.046554
1700.8,0.046561
1701.9,0.046578
1703.1,0.046603
1704.2,0.046592
1705.3,0.046555
1706.4,0.046536
1707.6,0.046559
1708.7,0.046547
1709.8,0.046535
1710.9,0.046531
1712.1,0.0465
1713.2,0.04646
1714.3,0.046501
1715.5,0.046571
1716.6,0.04663
1717.7,0.046664
1718.9,0.046603
1720,0.04648
1721.2,0.046379
1722.3,0.046299
1723.4,0.04625
1724.6,0.046278
1725.7,0.046325
1726.9,0.046371
1728,0.046432
1729.2,0.04647
1730.4,0.046484
1731.5,0.046517
1732.7,0.046507
1733.8,0.046452
1735,0.046424
1736.1,0.046417
1737.3,0.046373
