Wavelength (nm),Icelandic tephra JB501C  45-125 µm
2865.7,0.03404
2867.3,0.03408
2868.9,0.03389
2870.5,0.03388
2872.1,0.03392
2873.7,0.03392
2875.3,0.03413
2876.9,0.03394
2878.5,0.03366
2880.1,0.03383
2881.7,0.03395
2883.3,0.03408
2884.9,0.03425
2886.5,0.03425
2888.1,0.03419
2889.7,0.03395
2891.3,0.03372
2892.9,0.03387
2894.5,0.03378
2896.2,0.03382
2897.8,0.03375
2899.4,0.03392
2901,0.03398
2902.7,0.03402
2904.3,0.03412
2905.9,0.0343
2907.5,0.03467
2909.2,0.03464
2910.8,0.03433
2912.4,0.03401
2914.1,0.03423
2915.7,0.03448
2917.4,0.03436
2919,0.03434
2920.6,0.0342
2922.3,0.03441
2923.9,0.03444
2925.6,0.03435
2927.2,0.03439
2928.9,0.03462
2930.5,0.03462
2932.2,0.03459
2933.9,0.03478
2935.5,0.03485
2937.2,0.03487
2938.9,0.03486
2940.5,0.03492
2942.2,0.035
2943.9,0.03488
2945.5,0.03521
2947.2,0.03551
2948.9,0.03532
2950.6,0.03518
2952.2,0.03535
2953.9,0.03542
2955.6,0.03525
2957.3,0.03519
2959,0.03514
2960.7,0.03507
2962.4,0.0352
2964.1,0.03561
2965.8,0.03614
2967.4,0.03631
2969.1,0.03614
2970.9,0.03594
2972.6,0.03616
2974.3,0.03603
2976,0.03587
2977.7,0.03607
2979.4,0.03616
2981.1,0.03647
2982.8,0.03648
2984.5,0.03611
2986.3,0.03619
2988,0.03653
2989.7,0.03667
2991.4,0.03666
2993.1,0.03675
2994.9,0.03692
2996.6,0.03691
2998.3,0.03689
3000.1,0.03707
3001.8,0.03722
3003.6,0.03746
3005.3,0.03731
3007,0.03726
3008.8,0.03732
3010.5,0.0372
3012.3,0.0375
3014,0.03787
3015.8,0.03788
3017.5,0.03774
3019.3,0.03772
3021.1,0.03814
3022.8,0.03859
3024.6,0.03874
3026.3,0.03877
3028.1,0.03863
3029.9,0.03841
3031.7,0.03851
3033.4,0.03871
3035.2,0.03888
3037,0.03894
3038.8,0.039
3040.5,0.03931
3042.3,0.03901
3044.1,0.03875
3045.9,0.03888
3047.7,0.03912
3049.5,0.03943
3051.3,0.03956
3053.1,0.03972
3054.9,0.0398
3056.7,0.03978
3058.5,0.03957
3060.3,0.03976
3062.1,0.0401
3063.9,0.04004
3065.7,0.04003
3067.5,0.03977
3069.4,0.03974
3071.2,0.04002
3073,0.04038
3074.8,0.04074
3076.6,0.0407
3078.5,0.04061
3080.3,0.04038
3082.1,0.04063
3084,0.04073
3085.8,0.04102
3087.6,0.04114
3089.5,0.0411
3091.3,0.04125
3093.2,0.04144
3095,0.04134
3096.9,0.04096
3098.7,0.04092
3100.6,0.04118
3102.4,0.04143
3104.3,0.04148
3106.1,0.04144
3108,0.04171
3109.9,0.04185
3111.7,0.04161
3113.6,0.04159
3115.5,0.04177
3117.3,0.04213
3119.2,0.04229
3121.1,0.04264
3123,0.04306
3124.9,0.04312
3126.7,0.04273
3128.6,0.04263
3130.5,0.04279
3132.4,0.0429
3134.3,0.04327
3136.2,0.04361
3138.1,0.04382
3140,0.04383
3141.9,0.04362
3143.8,0.04379
3145.7,0.04382
3147.6,0.04375
3149.5,0.04407
3151.4,0.04446
3153.4,0.0447
3155.3,0.04483
3157.2,0.04498
3159.1,0.0452
3161.1,0.04551
3163,0.04548
3164.9,0.0453
3166.9,0.04542
3168.8,0.0456
3170.7,0.04569
3172.7,0.04564
3174.6,0.04568
3176.6,0.04611
3178.5,0.04648
3180.5,0.04657
3182.4,0.04681
3184.4,0.04679
3186.3,0.04687
3188.3,0.04732
3190.2,0.04763
3192.2,0.04753
3194.2,0.04754
3196.1,0.04765
3198.1,0.04782
3200.1,0.04786
3202.1,0.04805
3204,0.04858
3206,0.04886
3208,0.04886
3210,0.04885
3212,0.04922
3214,0.04957
3216,0.04949
3218,0.04942
3220,0.04985
3222,0.05011
3224,0.04997
3226,0.04997
3228,0.05054
3230,0.05105
3232,0.0509
3234,0.05072
3236,0.05107
3238.1,0.0515
3240.1,0.05155
3242.1,0.0515
3244.1,0.05183
3246.2,0.0521
3248.2,0.05216
