Wavelength (nm),Vogelsberg basalt JB460 125-250 µm
1552.9,0.08368
1553.4,0.08368
1553.8,0.08379
1554.3,0.08392
1554.8,0.08393
1555.3,0.08392
1555.7,0.08394
1556.2,0.08398
1556.7,0.08396
1557.1,0.08399
1557.6,0.08397
1558.1,0.08396
1558.5,0.08393
1559,0.08387
1559.5,0.08392
1559.9,0.08402
1560.4,0.08401
1560.9,0.08399
1561.3,0.08404
1561.8,0.08398
1562.3,0.08391
1562.8,0.08408
1563.2,0.08415
1563.7,0.08416
1564.2,0.08423
1564.6,0.08426
1565.1,0.08433
1565.6,0.08434
1566.1,0.0842
1566.5,0.0841
1567,0.08412
1567.5,0.08429
1567.9,0.08435
1568.4,0.08432
1568.9,0.08434
1569.4,0.08431
1569.8,0.08422
1570.3,0.08427
1570.8,0.08438
1571.3,0.08439
1571.8,0.08427
1572.2,0.08418
1572.7,0.08429
1573.2,0.08433
1573.7,0.08435
1574.1,0.08444
1574.6,0.08449
1575.1,0.08444
1575.6,0.08448
1576.1,0.08452
1576.5,0.08448
1577,0.08449
1577.5,0.08447
1578,0.08444
1578.4,0.08448
1578.9,0.08447
1579.4,0.08445
1579.9,0.08455
1580.4,0.08459
1580.9,0.08447
1581.3,0.0845
1581.8,0.08449
1582.3,0.08447
1582.8,0.08454
1583.3,0.08461
1583.8,0.08462
1584.2,0.08454
1584.7,0.08452
1585.2,0.08458
1585.7,0.08469
1586.2,0.08475
1586.7,0.08462
1587.2,0.0845
1587.6,0.08457
1588.1,0.0846
1588.6,0.08465
1589.1,0.08467
1589.6,0.08479
1590.1,0.08478
1590.6,0.08459
1591,0.08462
1591.5,0.0848
1592,0.08485
1592.5,0.08485
1593,0.08483
1593.5,0.08477
1594,0.08465
1594.5,0.08465
1595,0.08473
1595.4,0.0847
1595.9,0.08471
1596.4,0.08474
1596.9,0.08472
1597.4,0.08473
1597.9,0.08478
1598.4,0.08479
1598.9,0.08489
1599.4,0.08493
1599.9,0.08491
1600.4,0.08493
1600.9,0.08494
1601.4,0.08484
1601.9,0.0848
1602.3,0.08491
1602.8,0.085
1603.3,0.08501
1603.8,0.08501
1604.3,0.08501
1604.8,0.08499
1605.3,0.085
1605.8,0.08497
1606.3,0.08492
1606.8,0.08491
1607.3,0.08488
1607.8,0.08487
1608.3,0.08488
1608.8,0.08494
1609.3,0.08499
1609.8,0.08507
1610.3,0.08515
1610.8,0.08508
1611.3,0.08502
1611.8,0.08503
1612.3,0.08495
1612.8,0.08505
1613.3,0.08523
1613.8,0.08527
1614.3,0.08523
1614.8,0.08515
1615.3,0.08503
1615.8,0.08508
1616.3,0.08521
1616.8,0.08522
1617.3,0.08521
1617.8,0.08518
1618.4,0.08515
1618.9,0.08519
1619.4,0.08516
1619.9,0.08519
1620.4,0.08532
1620.9,0.08534
1621.4,0.08526
1621.9,0.08525
1622.4,0.08533
1622.9,0.08528
1623.4,0.08519
1623.9,0.08527
1624.4,0.08522
1624.9,0.08512
1625.5,0.0851
1626,0.0853
1626.5,0.08543
1627,0.08531
1627.5,0.08524
1628,0.08525
1628.5,0.08527
1629,0.08526
1629.6,0.08522
1630.1,0.08524
1630.6,0.08527
1631.1,0.08525
1631.6,0.08531
1632.1,0.08535
1632.6,0.08529
1633.1,0.08538
1633.7,0.0855
1634.2,0.08548
1634.7,0.08539
1635.2,0.08539
1635.7,0.08543
1636.2,0.08543
1636.8,0.0854
1637.3,0.08531
1637.8,0.08538
1638.3,0.08539
1638.8,0.08529
1639.3,0.08542
1639.8,0.08555
1640.4,0.08552
1640.9,0.08545
1641.4,0.0853
1641.9,0.08533
1642.4,0.08549
1643,0.08551
1643.5,0.0855
1644,0.08552
1644.5,0.08551
1645.1,0.08547
1645.6,0.08551
1646.1,0.08557
1646.6,0.0856
1647.2,0.08552
1647.7,0.08537
1648.2,0.08544
1648.7,0.08552
1649.2,0.08557
1649.8,0.08564
1650.3,0.08571
1650.8,0.0857
1651.3,0.08568
1651.9,0.08563
1652.4,0.08555
1652.9,0.08556
1653.4,0.0857
1654,0.08571
1654.5,0.08559
1655,0.08551
1655.6,0.08563
1656.1,0.08573
1656.6,0.08566
1657.2,0.08562
1657.7,0.0856
1658.2,0.08551
1658.7,0.0855
1659.3,0.08554
1659.8,0.08554
1660.3,0.08554
1660.9,0.08559
1661.4,0.08563
1661.9,0.08562
1662.5,0.08558
1663,0.08554
1663.5,0.08554
1664.1,0.08557
1664.6,0.0856
1665.1,0.08554
1665.7,0.08559
1666.2,0.08571
1666.7,0.08571
1667.3,0.08576
1667.8,0.08576
1668.3,0.08574
1668.9,0.08563
1669.4,0.08558
1670,0.08564
1670.5,0.08563
1671,0.08562
1671.6,0.0856
1672.1,0.08563
1672.7,0.08569
1673.2,0.0857
1673.7,0.08571
1674.3,0.08566
1674.8,0.08573
1675.4,0.08578
1675.9,0.08565
1676.4,0.08566
1677,0.08579
1677.5,0.08578
1678.1,0.08569
1678.6,0.08569
1679.2,0.08572
1679.7,0.0858
1680.2,0.08583
1680.8,0.08577
1681.3,0.08571
1681.9,0.08576
1682.4,0.08579
1683,0.08571
1683.5,0.08583
1684.1,0.08599
1684.6,0.08594
1685.2,0.08582
1685.7,0.0857
1686.3,0.08563
1686.8,0.08562
1687.3,0.08559
1687.9,0.08559
1688.4,0.08567
1689,0.08573
1689.6,0.08575
1690.1,0.08571
1690.7,0.08567
1691.2,0.0857
1691.8,0.08574
1692.3,0.08568
1692.9,0.08559
1693.4,0.08552
1694,0.0855
1694.5,0.08561
1695.1,0.08568
1695.6,0.08566
1696.2,0.0858
1696.7,0.08583
1697.3,0.08577
1697.8,0.08578
1698.4,0.08573
1699,0.08575
1699.5,0.08576
1700.1,0.08567
1700.6,0.08564
1701.2,0.08561
1701.8,0.08559
1702.3,0.08561
1702.9,0.08568
1703.4,0.08571
1704,0.08563
1704.6,0.08555
1705.1,0.0856
1705.7,0.08566
1706.2,0.08571
1706.8,0.08568
1707.4,0.08568
1707.9,0.08581
1708.5,0.08588
1709,0.08577
1709.6,0.08566
1710.2,0.08573
1710.7,0.08585
1711.3,0.08578
1711.9,0.08571
1712.4,0.08565
1713,0.08562
1713.6,0.08562
1714.1,0.08561
1714.7,0.0856
1715.3,0.08574
1715.8,0.08578
1716.4,0.08563
1717,0.08556
1717.5,0.0856
1718.1,0.0857
1718.7,0.08575
1719.2,0.08574
1719.8,0.08571
1720.4,0.08569
1721,0.08563
1721.5,0.08567
1722.1,0.08576
1722.7,0.0856
1723.2,0.0855
1723.8,0.08557
1724.4,0.08558
1725,0.08564
1725.5,0.08571
1726.1,0.08567
1726.7,0.0856
1727.3,0.0856
1727.8,0.08567
1728.4,0.08566
1729,0.08566
1729.6,0.08565
1730.1,0.08563
1730.7,0.08564
1731.3,0.08562
1731.9,0.08562
1732.5,0.08568
1733,0.08557
1733.6,0.08546
1734.2,0.08559
1734.8,0.08564
1735.4,0.08565
1735.9,0.08567
1736.5,0.08563
1737.1,0.08557
1737.7,0.08562
1738.3,0.08559
1738.8,0.08559
1739.4,0.08565
1740,0.0856
1740.6,0.08557
1741.2,0.08571
1741.8,0.08577
1742.3,0.08563
1742.9,0.08552
1743.5,0.08554
1744.1,0.08558
1744.7,0.08563
1745.3,0.08564
1745.9,0.08563
1746.5,0.08561
1747.1,0.08555
1747.6,0.08553
1748.2,0.08554
1748.8,0.08546
1749.4,0.08545
1750,0.08549
1750.6,0.08553
1751.2,0.08557
1751.8,0.08557
1752.4,0.0855
1753,0.08541
1753.6,0.08544
1754.1,0.08548
1754.7,0.08551
1755.3,0.08546
1755.9,0.08546
1756.5,0.08542
1757.1,0.08535
1757.7,0.08535
1758.3,0.08542
1758.9,0.08545
1759.5,0.08548
1760.1,0.08547
1760.7,0.08544
1761.3,0.08537
1761.9,0.08521
1762.5,0.08526
1763.1,0.08534
1763.7,0.08534
1764.3,0.08536
1764.9,0.08542
1765.5,0.08536
1766.1,0.08523
1766.7,0.0852
1767.3,0.08533
1767.9,0.08532
1768.5,0.08529
1769.1,0.08529
1769.7,0.08538
1770.3,0.08539
1770.9,0.08533
1771.5,0.0853
1772.1,0.08534
1772.7,0.08538
1773.3,0.08524
1773.9,0.08521
1774.6,0.0852
1775.2,0.08523
1775.8,0.08525
1776.4,0.08521
1777,0.08521
1777.6,0.08531
1778.2,0.08525
1778.8,0.08512
1779.4,0.08506
1780,0.08513
1780.7,0.08518
1781.3,0.08518
1781.9,0.08516
1782.5,0.08519
1783.1,0.08524
1783.7,0.08522
1784.3,0.08522
1784.9,0.08513
1785.6,0.08506
1786.2,0.08516
1786.8,0.08516
1787.4,0.08511
1788,0.0851
1788.6,0.08506
1789.3,0.08509
1789.9,0.08507
1790.5,0.08506
1791.1,0.08503
1791.7,0.08495
1792.3,0.08498
1793,0.08501
1793.6,0.08501
1794.2,0.08495
1794.8,0.08497
1795.4,0.08503
1796.1,0.085
1796.7,0.085
1797.3,0.08509
1797.9,0.0851
1798.6,0.08499
1799.2,0.08485
1799.8,0.08485
1800.4,0.085
1801.1,0.08501
1801.7,0.08492
1802.3,0.08486
1802.9,0.08486
1803.6,0.08493
1804.2,0.08477
1804.8,0.08467
1805.4,0.08482
1806.1,0.08485
1806.7,0.08482
1807.3,0.08486
1808,0.08491
1808.6,0.08487
1809.2,0.08474
1809.9,0.08473
1810.5,0.08474
1811.1,0.08469
1811.8,0.08475
1812.4,0.0848
1813,0.08473
1813.7,0.08469
1814.3,0.08476
1814.9,0.08471
1815.6,0.08464
1816.2,0.08466
1816.8,0.08467
1817.5,0.08466
1818.1,0.08456
1818.8,0.08458
1819.4,0.08464
1820,0.08463
1820.7,0.0846
1821.3,0.0846
1821.9,0.08466
1822.6,0.08461
1823.2,0.08448
1823.9,0.08444
1824.5,0.08448
1825.2,0.08453
1825.8,0.08452
1826.4,0.08452
1827.1,0.08452
1827.7,0.08453
1828.4,0.08449
1829,0.08439
1829.7,0.08439
1830.3,0.08451
1831,0.08455
1831.6,0.08456
1832.3,0.08455
1832.9,0.08441
1833.6,0.08436
1834.2,0.08438
1834.8,0.08431
1835.5,0.08422
1836.1,0.08423
1836.8,0.08427
1837.4,0.08427
1838.1,0.08428
1838.8,0.08431
1839.4,0.08427
1840.1,0.08427
1840.7,0.08422
1841.4,0.08417
1842,0.08426
1842.7,0.08437
1843.3,0.0843
1844,0.08423
1844.6,0.08429
1845.3,0.08422
1845.9,0.0842
1846.6,0.08427
1847.3,0.08424
1847.9,0.08415
1848.6,0.08408
1849.2,0.08411
1849.9,0.08418
1850.6,0.08415
1851.2,0.08403
1851.9,0.08403
1852.6,0.08398
1853.2,0.084
1853.9,0.08411
1854.5,0.0841
1855.2,0.08408
1855.9,0.08406
1856.5,0.08395
1857.2,0.08401
1857.9,0.08398
1858.5,0.08393
1859.2,0.08402
1859.9,0.08396
1860.5,0.0839
1861.2,0.08383
1861.9,0.08378
1862.5,0.08384
1863.2,0.08393
1863.9,0.084
1864.5,0.08396
1865.2,0.0839
1865.9,0.08384
1866.6,0.08374
1867.2,0.08361
1867.9,0.08365
1868.6,0.08371
1869.2,0.0837
1869.9,0.08362
1870.6,0.08359
1871.3,0.08362
1871.9,0.08357
1872.6,0.08354
1873.3,0.08365
1874,0.08364
1874.7,0.08355
1875.3,0.08347
1876,0.08339
1876.7,0.08342
1877.4,0.08349
1878,0.08335
1878.7,0.08322
1879.4,0.0833
1880.1,0.08329
1880.8,0.08323
1881.4,0.08316
1882.1,0.08303
1882.8,0.08298
1883.5,0.08305
1884.2,0.08299
1884.9,0.08291
1885.6,0.08293
1886.2,0.08289
1886.9,0.0829
1887.6,0.08282
1888.3,0.08263
1889,0.08255
1889.7,0.08265
1890.4,0.0827
1891.1,0.0826
1891.8,0.0824
1892.4,0.08234
1893.1,0.08246
1893.8,0.08239
1894.5,0.08229
1895.2,0.08224
1895.9,0.08222
1896.6,0.08212
1897.3,0.08194
1898,0.08181
1898.7,0.08179
1899.4,0.0818
1900.1,0.08174
1900.8,0.08162
1901.5,0.08165
1902.2,0.08156
1902.9,0.08155
1903.6,0.08162
1904.3,0.08148
