Wavelength (nm),Icelandic pillow lava JB602F
1846.6,0.13319
1847.3,0.13313
1847.9,0.13315
1848.6,0.13314
1849.2,0.13313
1849.9,0.13307
1850.6,0.13299
1851.2,0.13293
1851.9,0.13292
1852.6,0.13285
1853.2,0.1328
1853.9,0.13272
1854.5,0.13272
1855.2,0.1327
1855.9,0.13259
1856.5,0.13252
1857.2,0.13256
1857.9,0.13253
1858.5,0.13246
1859.2,0.13236
1859.9,0.13227
1860.5,0.13224
1861.2,0.13224
1861.9,0.13221
1862.5,0.13214
1863.2,0.13209
1863.9,0.13201
1864.5,0.13194
1865.2,0.13189
1865.9,0.13182
1866.6,0.13177
1867.2,0.13175
1867.9,0.13166
1868.6,0.13155
1869.2,0.13149
1869.9,0.13143
1870.6,0.13132
1871.3,0.13127
1871.9,0.13124
1872.6,0.13113
1873.3,0.13104
1874,0.13101
1874.7,0.13091
1875.3,0.13081
1876,0.13074
1876.7,0.13057
1877.4,0.1304
1878,0.13031
1878.7,0.13025
1879.4,0.13011
1880.1,0.12999
1880.8,0.12989
1881.4,0.12977
1882.1,0.12968
1882.8,0.12959
1883.5,0.12945
1884.2,0.1293
1884.9,0.12918
1885.6,0.12912
1886.2,0.12906
1886.9,0.12895
1887.6,0.12883
1888.3,0.12876
1889,0.12869
1889.7,0.12857
1890.4,0.12845
1891.1,0.12833
1891.8,0.12817
1892.4,0.12808
1893.1,0.12795
1893.8,0.12782
1894.5,0.12773
1895.2,0.12767
1895.9,0.12754
1896.6,0.12743
1897.3,0.12733
1898,0.12721
1898.7,0.12707
1899.4,0.12687
1900.1,0.12677
1900.8,0.1267
1901.5,0.12654
1902.2,0.1264
1902.9,0.12635
1903.6,0.12627
1904.3,0.12611
1905,0.126
1905.7,0.12589
1906.4,0.12575
1907.1,0.12569
1907.8,0.12566
1908.5,0.12554
1909.2,0.12544
1909.9,0.12535
1910.6,0.12528
1911.3,0.1252
1912,0.1251
1912.7,0.12499
1913.4,0.12488
1914.1,0.12487
1914.8,0.12484
1915.5,0.1247
1916.2,0.12461
1916.9,0.12455
1917.6,0.12448
1918.3,0.12443
1919.1,0.12439
1919.8,0.12429
1920.5,0.12423
1921.2,0.12426
1921.9,0.12425
1922.6,0.12418
1923.3,0.12413
1924,0.12407
1924.8,0.124
1925.5,0.12398
1926.2,0.12396
1926.9,0.12389
1927.6,0.12384
1928.3,0.12381
1929.1,0.12379
1929.8,0.12379
1930.5,0.12377
1931.2,0.12373
1931.9,0.12365
1932.7,0.12361
1933.4,0.12366
1934.1,0.12362
1934.8,0.12356
1935.5,0.12355
1936.3,0.1235
1937,0.12338
1937.7,0.12336
