Wavelength (nm),"Mauna Iki, HI basaltic glass JB388A <125 µm"
1516.7,0.12039
1517.6,0.12045
1518.5,0.12051
1519.4,0.12054
1520.3,0.12059
1521.2,0.12064
1522.1,0.12066
1523,0.12069
1523.8,0.1207
1524.7,0.12072
1525.6,0.12075
1526.5,0.12078
1527.4,0.12081
1528.3,0.12084
1529.2,0.12089
1530.1,0.12094
1531,0.121
1532,0.12106
1532.9,0.12113
1533.8,0.12122
1534.7,0.12129
1535.6,0.12134
1536.5,0.1214
1537.4,0.12144
1538.3,0.12148
1539.2,0.12153
1540.1,0.12154
1541.1,0.12154
1542,0.12156
1542.9,0.1216
1543.8,0.12165
1544.7,0.1217
1545.7,0.12174
1546.6,0.12177
1547.5,0.12181
1548.4,0.12186
1549.4,0.12191
1550.3,0.12196
1551.2,0.12203
1552.1,0.12209
1553.1,0.12214
1554,0.12218
1554.9,0.1222
1555.9,0.12224
1556.8,0.12229
1557.7,0.12232
1558.7,0.12235
1559.6,0.12238
1560.5,0.12241
1561.5,0.12244
1562.4,0.12246
1563.4,0.12249
1564.3,0.1225
1565.3,0.12252
1566.2,0.12254
1567.2,0.12255
1568.1,0.12256
1569,0.12258
1570,0.1226
1570.9,0.12263
1571.9,0.12265
1572.9,0.12267
1573.8,0.12271
1574.8,0.12275
1575.7,0.12278
1576.7,0.12281
1577.6,0.12284
1578.6,0.12288
1579.6,0.12294
1580.5,0.12298
1581.5,0.123
1582.5,0.12302
1583.4,0.12304
1584.4,0.12305
1585.4,0.12307
1586.3,0.12311
1587.3,0.12314
1588.3,0.12317
1589.3,0.12322
1590.2,0.12324
1591.2,0.12324
1592.2,0.12325
1593.2,0.12325
1594.1,0.12325
1595.1,0.12324
1596.1,0.12324
1597.1,0.12324
1598.1,0.12325
1599.1,0.12327
1600,0.12329
1601,0.12329
1602,0.12328
1603,0.12327
1604,0.12327
1605,0.12328
1606,0.12329
1607,0.12328
1608,0.12329
1609,0.12331
1610,0.1233
1611,0.12328
1612,0.12328
1613,0.1233
1614,0.12332
1615,0.12335
1616,0.12336
1617,0.12339
1618,0.12341
1619,0.12344
1620,0.12344
1621.1,0.12343
1622.1,0.12343
1623.1,0.12343
1624.1,0.12344
1625.1,0.12347
1626.1,0.12347
1627.2,0.12346
1628.2,0.12344
1629.2,0.12342
1630.2,0.1234
1631.3,0.1234
1632.3,0.12341
1633.3,0.12341
1634.3,0.12342
1635.4,0.1234
1636.4,0.12336
1637.4,0.12335
1638.5,0.12337
1639.5,0.1234
1640.5,0.12342
1641.6,0.12341
1642.6,0.1234
1643.7,0.1234
1644.7,0.12341
1645.8,0.12342
1646.8,0.1234
1647.8,0.12339
1648.9,0.12338
1649.9,0.12336
1651,0.12332
1652.1,0.12328
1653.1,0.12326
1654.2,0.12326
1655.2,0.12325
1656.3,0.12323
1657.3,0.12322
1658.4,0.12324
1659.5,0.12325
1660.5,0.12324
1661.6,0.12323
1662.6,0.12324
1663.7,0.12326
1664.8,0.12327
1665.9,0.12329
1666.9,0.1233
1668,0.1233
1669.1,0.1233
1670.1,0.1233
1671.2,0.1233
1672.3,0.12331
1673.4,0.12333
1674.5,0.12335
1675.5,0.12338
