Wavelength (µm),Augite ws592 spliced
2.45114,0.384072
2.4523,0.384598
2.45346,0.384789
2.45462,0.384932
2.45578,0.384932
2.45695,0.385267
2.45811,0.385315
2.45928,0.38541
2.46044,0.385745
2.46161,0.385793
2.46278,0.385936
2.46395,0.386175
2.46512,0.386175
2.4663,0.386605
2.46747,0.386844
2.46864,0.387035
2.46982,0.387131
2.471,0.38737
2.47218,0.387895
2.47336,0.388182
2.47454,0.388564
2.47572,0.388994
2.4769,0.389138
2.47809,0.389185
2.47927,0.389233
2.48046,0.389424
2.48164,0.38952
2.48283,0.389807
2.48402,0.389998
2.48521,0.390141
2.4864,0.390476
2.4876,0.390954
2.48879,0.391097
2.48999,0.391384
2.49118,0.391336
2.49238,0.391336
2.49358,0.391623
2.49478,0.391909
2.49598,0.392196
2.49718,0.39277
2.49839,0.392913
2.49959,0.392961
2.5008,0.393009
2.50201,0.3932
2.50321,0.393486
2.50442,0.39363
2.50563,0.393916
2.50684,0.394155
2.50806,0.394251
2.50927,0.394538
2.51049,0.394824
2.5117,0.395016
2.51292,0.395207
2.51414,0.395493
2.51536,0.395828
2.51658,0.396115
2.5178,0.396401
2.51903,0.396497
2.52025,0.396784
2.52148,0.397214
2.5227,0.397405
2.52393,0.397644
2.52516,0.398217
2.52639,0.398409
2.52762,0.398695
2.52886,0.398886
2.53009,0.398791
2.53132,0.39903
2.53256,0.399412
2.5338,0.399938
2.53504,0.399842
2.53628,0.400129
2.53752,0.400798
2.53876,0.401037
2.54001,0.40118
2.54125,0.401563
2.5425,0.401754
2.54375,0.402136
2.54499,0.402614
2.54624,0.402614
2.5475,0.402423
2.54875,0.402805
2.55,0.402996
2.55126,0.403187
2.55251,0.40357
2.55377,0.404573
2.55503,0.405386
2.55629,0.405768
2.55755,0.406007
2.55881,0.405768
2.56008,0.404334
2.56134,0.403474
2.56261,0.404095
2.56387,0.404908
2.56514,0.406533
2.56641,0.407918
2.56768,0.407249
2.56896,0.406294
2.57023,0.407202
2.57151,0.407823
2.57278,0.406485
2.57406,0.407488
2.57534,0.408396
2.57662,0.408253
2.5779,0.409352
2.57918,0.410021
2.58047,0.4094
2.58175,0.409448
2.58304,0.408253
2.58432,0.408826
2.58561,0.410021
2.5869,0.409687
2.5882,0.410451
2.58949,0.411502
2.59078,0.412363
2.59208,0.411407
2.59337,0.407345
2.59467,0.405051
2.59597,0.409448
2.59727,0.413318
2.59857,0.414418
2.59988,0.414083
2.60118,0.413653
2.60249,0.413223
2.60379,0.412124
2.6051,0.411263
2.60641,0.412458
2.60772,0.414035
2.60903,0.414465
2.61035,0.415469
2.61166,0.416233
2.61298,0.416138
2.6143,0.416233
2.61562,0.414322
