Wavelength (nm),split 92 <125 µm
2552.3,0.35361
2552.7,0.35373
2553.0,0.35386
2553.3,0.35378
2553.6,0.35362
2553.9,0.35349
2554.2,0.35359
2554.5,0.35375
2554.9,0.3537
2555.2,0.35362
2555.5,0.35398
2555.8,0.35424
2556.1,0.35412
2556.4,0.35408
2556.7,0.35413
2557.1,0.35404
2557.4,0.3541
2557.7,0.35408
2558.0,0.35413
2558.3,0.3541
2558.6,0.35409
2559.0,0.35427
2559.3,0.35446
2559.6,0.35462
2559.9,0.35453
2560.2,0.35465
2560.5,0.35479
2560.9,0.35475
2561.2,0.35502
2561.5,0.35505
2561.8,0.3548
2562.1,0.35512
2562.4,0.35499
2562.8,0.35506
2563.1,0.35526
2563.4,0.35529
2563.7,0.35529
2564.0,0.35523
2564.3,0.3556
2564.7,0.35552
2565.0,0.35548
2565.3,0.35534
2565.6,0.35514
2565.9,0.35543
2566.2,0.35552
2566.6,0.35558
2566.9,0.35575
2567.2,0.35567
2567.5,0.35566
2567.8,0.35585
2568.1,0.35581
2568.5,0.35574
2568.8,0.35567
2569.1,0.35584
2569.4,0.35613
2569.7,0.35621
2570.1,0.35598
2570.4,0.35626
2570.7,0.35609
2571.0,0.35614
2571.3,0.3563
2571.6,0.3562
2572.0,0.35602
2572.3,0.35575
2572.6,0.35591
2572.9,0.35637
2573.2,0.35686
2573.6,0.35705
2573.9,0.35713
2574.2,0.35666
2574.5,0.3562
2574.8,0.3566
2575.2,0.3569
2575.5,0.35691
2575.8,0.35698
2576.1,0.357
2576.4,0.35706
2576.8,0.3572
2577.1,0.35731
2577.4,0.35683
2577.7,0.35682
2578.0,0.35704
2578.4,0.35717
2578.7,0.35729
2579.0,0.35717
2579.3,0.35728
2579.6,0.35727
2580.0,0.35741
2580.3,0.35761
2580.6,0.35752
2580.9,0.35775
2581.2,0.35793
2581.6,0.35783
2581.9,0.35775
2582.2,0.3576
2582.5,0.35759
2582.9,0.35773
2583.2,0.35814
2583.5,0.3582
2583.8,0.35836
2584.1,0.35828
2584.5,0.35854
2584.8,0.35802
2585.1,0.35796
2585.4,0.35829
2585.8,0.35839
2586.1,0.35833
2586.4,0.35809
2586.7,0.35822
2587.0,0.35835
2587.4,0.35824
2587.7,0.35873
2588.0,0.35886
2588.3,0.35834
2588.7,0.35837
2589.0,0.35877
2589.3,0.35895
2589.6,0.35873
2590.0,0.35882
2590.3,0.35872
2590.6,0.35866
2590.9,0.35881
2591.2,0.35897
2591.6,0.35905
2591.9,0.35905
2592.2,0.35913
2592.5,0.35904
2592.9,0.35886
2593.2,0.35869
2593.5,0.35827
2593.8,0.35878
2594.2,0.35977
2594.5,0.35989
2594.8,0.35929
2595.1,0.36002
2595.5,0.3599
2595.8,0.35942
2596.1,0.35947
2596.4,0.36011
2596.8,0.36023
2597.1,0.35938
2597.4,0.35933
2597.7,0.35961
2598.1,0.3598
2598.4,0.35966
2598.7,0.35959
2599.0,0.35965
2599.4,0.35989
2599.7,0.35953
2600.0,0.35953
2600.3,0.35968
2600.7,0.35957
2601.0,0.35961
2601.3,0.35993
2601.6,0.35995
2602.0,0.36003
2602.3,0.36018
2602.6,0.36015
2603.0,0.36026
2603.3,0.36025
2603.6,0.35998
2603.9,0.36005
2604.3,0.36005
2604.6,0.35997
2604.9,0.36016
2605.2,0.3604
2605.6,0.36061
2605.9,0.36038
2606.2,0.36098
2606.6,0.36062
2606.9,0.36044
2607.2,0.36072
2607.5,0.36064
2607.9,0.36058
2608.2,0.36076
2608.5,0.36055
2608.8,0.36045
2609.2,0.36079
2609.5,0.36088
2609.8,0.36099
2610.2,0.36095
2610.5,0.36095
2610.8,0.36088
2611.1,0.36086
2611.5,0.36096
2611.8,0.36092
2612.1,0.36089
2612.5,0.36103
2612.8,0.36094
2613.1,0.36095
2613.4,0.36119
2613.8,0.36123
2614.1,0.36095
2614.4,0.36108
2614.8,0.36133
2615.1,0.36125
2615.4,0.36117
2615.8,0.36118
2616.1,0.36113
2616.4,0.36135
2616.7,0.36149
2617.1,0.36182
2617.4,0.36177
2617.7,0.36157
2618.1,0.36157
2618.4,0.36145
2618.7,0.36133
2619.1,0.36136
2619.4,0.36161
2619.7,0.36166
2620.1,0.36194
2620.4,0.36244
2620.7,0.36228
2621.0,0.36223
2621.4,0.36211
2621.7,0.36165
2622.0,0.36157
2622.4,0.36184
2622.7,0.36213
2623.0,0.36228
2623.4,0.36209
2623.7,0.36186
2624.0,0.36209
2624.4,0.3621
2624.7,0.36185
2625.0,0.36177
2625.4,0.36197
2625.7,0.36199
2626.0,0.36194
2626.4,0.36201
2626.7,0.36236
2627.0,0.36262
2627.4,0.36273
2627.7,0.36236
2628.0,0.36193
2628.4,0.36211
2628.7,0.36238
2629.0,0.3624
2629.4,0.36202
2629.7,0.36207
2630.0,0.36255
2630.4,0.36273
2630.7,0.36263
2631.0,0.36302
2631.4,0.36318
2631.7,0.36249
2632.0,0.36264
2632.4,0.36293
2632.7,0.36284
2633.0,0.36259
2633.4,0.36252
2633.7,0.36258
2634.0,0.36242
2634.4,0.36247
2634.7,0.36277
2635.0,0.36266
2635.4,0.36259
2635.7,0.36263
2636.0,0.36273
2636.4,0.36279
2636.7,0.36282
2637.0,0.3628
2637.4,0.36264
2637.7,0.36241
2638.0,0.36239
2638.4,0.3626
2638.7,0.36258
2639.1,0.36265
2639.4,0.36284
2639.7,0.36277
2640.1,0.36281
2640.4,0.36311
2640.7,0.3631
2641.1,0.36299
2641.4,0.36277
2641.7,0.36256
2642.1,0.36282
2642.4,0.36311
2642.8,0.36311
2643.1,0.36319
2643.4,0.36309
2643.8,0.36311
2644.1,0.36298
2644.4,0.36287
2644.8,0.3631
2645.1,0.36316
2645.5,0.36318
2645.8,0.36332
2646.1,0.36341
2646.5,0.36308
2646.8,0.36272
2647.1,0.36284
2647.5,0.36322
2647.8,0.36299
2648.2,0.36291
2648.5,0.36314
2648.8,0.36302
2649.2,0.36298
2649.5,0.36323
2649.8,0.36339
2650.2,0.36331
2650.5,0.36313
2650.9,0.36307
2651.2,0.36321
2651.5,0.36327
2651.9,0.36344
2652.2,0.36334
2652.6,0.36334
2652.9,0.36329
2653.2,0.36313
2653.6,0.36309
2653.9,0.3631
2654.3,0.36309
2654.6,0.3633
2654.9,0.36321
2655.3,0.36309
2655.6,0.36319
2656.0,0.36328
2656.3,0.36328
2656.6,0.36322
2657.0,0.36317
2657.3,0.36299
2657.7,0.36306
2658.0,0.3633
2658.3,0.36334
2658.7,0.3632
2659.0,0.36321
2659.4,0.36319
2659.7,0.36327
2660.0,0.36337
2660.4,0.36316
2660.7,0.36308
2661.1,0.36307
2661.4,0.36314
2661.7,0.36328
2662.1,0.3632
2662.4,0.3631
2662.8,0.36296
2663.1,0.36289
2663.5,0.36297
2663.8,0.36295
2664.1,0.36288
2664.5,0.36292
2664.8,0.36343
2665.2,0.36371
2665.5,0.36333
2665.9,0.36291
2666.2,0.36229
2666.5,0.36263
2666.9,0.36347
2667.2,0.36345
2667.6,0.36327
2667.9,0.3633
2668.3,0.36257
2668.6,0.36236
2668.9,0.36221
2669.3,0.36208
2669.6,0.36201
2670.0,0.36218
2670.3,0.36269
2670.7,0.36312
2671.0,0.36288
2671.3,0.36215
2671.7,0.36157
2672.0,0.36167
2672.4,0.36154
2672.7,0.36144
2673.1,0.3613
2673.4,0.361
2673.8,0.36081
2674.1,0.3608
2674.4,0.36084
2674.8,0.36076
2675.1,0.36041
2675.5,0.36032
2675.8,0.36066
2676.2,0.36078
2676.5,0.36057
2676.9,0.36072
2677.2,0.36041
2677.6,0.36008
2677.9,0.36004
2678.2,0.35996
2678.6,0.35953
2678.9,0.35957
2679.3,0.35977
2679.6,0.3596
2680.0,0.35945
2680.3,0.35925
2680.7,0.35879
2681.0,0.35878
2681.4,0.35891
2681.7,0.35871
2682.1,0.35814
2682.4,0.35796
2682.7,0.35799
2683.1,0.35804
2683.4,0.35771
2683.8,0.35752
2684.1,0.35749
2684.5,0.35708
2684.8,0.35668
2685.2,0.35655
2685.5,0.35647
2685.9,0.35622
2686.2,0.35601
2686.6,0.35608
2686.9,0.35594
2687.3,0.3558
2687.6,0.35539
2688.0,0.35499
2688.3,0.35484
2688.7,0.35463
2689.0,0.35426
2689.4,0.35409
2689.7,0.35398
