Wavelength (µm)	Pigeonite hs199 spliced
3.060303	0.129147
3.062111	0.129429
3.063921	0.129485
3.065733	0.129711
3.067547	0.130106
3.069363	0.130276
3.071181	0.130501
3.073001	0.130897
3.074824	0.131292
3.076649	0.131630
3.078476	0.131800
3.080305	0.132026
3.082136	0.132364
3.083970	0.132590
3.085805	0.132929
3.087644	0.133324
3.089484	0.133719
3.091326	0.134001
3.093171	0.134340
3.095017	0.134566
3.096866	0.134904
3.098717	0.135412
3.100570	0.135694
3.102426	0.135977
3.104284	0.136541
3.106144	0.136936
3.108006	0.137218
3.109871	0.137444
3.111737	0.137783
3.113606	0.138234
3.115477	0.138630
3.117350	0.139025
3.119226	0.139476
3.121104	0.139984
3.122984	0.140492
3.124866	0.140775
3.126751	0.141283
3.128638	0.141847
3.130527	0.142242
3.132419	0.142694
3.134313	0.143089
3.136209	0.143540
3.138108	0.144105
3.140008	0.144613
3.141912	0.145121
3.143817	0.145572
3.145725	0.145855
3.147635	0.146306
3.149547	0.146927
3.151462	0.147379
3.153378	0.148000
3.155298	0.148508
3.157219	0.148903
3.159143	0.149354
3.161070	0.149693
3.162998	0.150144
3.164929	0.150878
3.166862	0.151443
3.168798	0.152007
3.170736	0.152346
3.172677	0.152854
3.174619	0.153305
3.176565	0.153813
3.178513	0.154265
3.180463	0.154717
3.182415	0.155225
3.184370	0.155620
3.186327	0.156184
3.188287	0.156805
3.190248	0.157426
3.192213	0.157765
3.194180	0.158160
3.196149	0.158668
3.198121	0.159345
3.200095	0.159797
3.202072	0.160248
3.204051	0.160756
3.206032	0.161208
3.208016	0.161603
3.210002	0.162054
3.211991	0.162675
3.213982	0.163183
3.215976	0.163804
3.217972	0.164312
3.219971	0.164651
3.221972	0.165272
3.223976	0.165780
3.225982	0.166175
3.227991	0.166626
3.230002	0.167078
3.232016	0.167642
3.234032	0.168150
3.236051	0.168489
3.238072	0.168771
3.240096	0.169223
3.242123	0.169731
3.244152	0.170183
3.246183	0.170521
3.248217	0.170860
3.250253	0.171311
3.252293	0.171763
3.254334	0.172102
3.256378	0.172384
3.258425	0.172723
3.260474	0.173287
3.262526	0.173682
3.264580	0.173908
3.266638	0.174303
3.268697	0.174698
3.270760	0.175037
3.272825	0.175432
3.274892	0.175714
3.276962	0.176053
3.279035	0.176392
3.281110	0.176617
3.283188	0.176900
3.285269	0.177351
3.287352	0.177690
3.289438	0.178028
3.291526	0.178367
3.293617	0.178819
3.295711	0.179044
3.297807	0.179214
3.299906	0.179496
3.302008	0.179948
3.304113	0.180343
3.306220	0.180512
3.308330	0.180681
3.310443	0.181020
3.312558	0.181246
3.314676	0.181528
3.316797	0.181810
3.318920	0.182036
3.321046	0.182262
3.323175	0.182657
3.325307	0.182996
3.327442	0.183334
3.329579	0.183617
3.331719	0.183842
3.333861	0.183899
3.336007	0.184068
3.338155	0.184350
3.340306	0.184802
3.342458	0.185028
3.344615	0.185141
3.346774	0.185366
3.348936	0.185479
3.351101	0.185705
3.353268	0.186100
3.355439	0.186269
3.357612	0.186439
3.359789	0.186552
3.361968	0.186721
3.364149	0.186890
3.366334	0.187003
3.368521	0.187285
3.370711	0.187568
3.372904	0.187793
3.375100	0.188019
3.377300	0.188301
3.379501	0.188527
3.381706	0.188697
3.383913	0.188753
3.386123	0.188979
3.388336	0.189261
3.390553	0.189600
3.392771	0.189995
3.394992	0.190277
3.397217	0.190446
3.399445	0.190616
3.401675	0.190842
3.403909	0.190898
3.406146	0.190954
3.408385	0.191011
3.410627	0.191293
3.412873	0.191575
3.415121	0.191858
3.417372	0.192083
3.419626	0.192366
3.421884	0.192591
3.424144	0.192986
3.426407	0.193325
3.428673	0.193664
3.430943	0.193946
3.433215	0.194059
3.435490	0.194228
3.437768	0.194398
3.440049	0.194623
3.442333	0.194849
3.444621	0.195188
3.446911	0.195583
3.449204	0.195752
3.451500	0.195978
3.453800	0.196260
3.456102	0.196373
3.458408	0.196373
3.460716	0.196599
3.463028	0.196938
3.465343	0.197163
3.467662	0.197220
3.469983	0.197389
3.472307	0.197558
3.474634	0.197671
3.476965	0.197784
3.479298	0.198010
3.481635	0.198236
3.483975	0.198292
3.486317	0.198292
3.488663	0.198349
3.491012	0.198405
3.493365	0.198462
3.495720	0.198631
3.498079	0.198857
3.500441	0.199026
3.502806	0.199252
3.505175	0.199478
3.507547	0.199647
3.509921	0.199703
3.512299	0.199816
3.514681	0.200099
3.517065	0.200381
3.519453	0.200663
3.521844	0.200832
3.524238	0.200945
3.526636	0.201115
3.529036	0.201284
3.531440	0.201510
3.533848	0.201735
3.536258	0.201735
3.538672	0.201792
3.541089	0.201848
3.543509	0.202131
3.545932	0.202413
3.548359	0.202526
3.550790	0.202582
3.553223	0.202639
3.555660	0.202639
3.558101	0.202751
3.560545	0.202921
3.562992	0.203034
3.565443	0.203147
3.567896	0.203147
3.570354	0.203259
3.572814	0.203316
3.575278	0.203429
3.577746	0.203429
3.580216	0.203542
3.582691	0.203655
3.585169	0.203655
3.587650	0.203711
3.590135	0.204050
3.592623	0.204219
3.595114	0.204275
3.597609	0.204106
3.600107	0.204163
3.602608	0.204219
3.605114	0.204275
3.607622	0.204332
