Wavelength (nm),"ALH-271, spot f"
3283.2,0.095126
3285.3,0.094941
3287.3,0.094805
3289.4,0.09499
3291.5,0.095316
3293.6,0.095452
3295.7,0.095408
3297.8,0.095282
3299.9,0.095199
3302.0,0.095218
3304.1,0.095316
3306.2,0.095559
3308.3,0.095312
3310.4,0.094931
3312.5,0.095067
3314.7,0.095175
3316.8,0.095188
3318.9,0.095459
3321.0,0.095378
3323.2,0.095559
3325.3,0.09545
3327.4,0.095222
3329.6,0.095346
3331.7,0.09522
3333.8,0.094922
3336.0,0.095031
3338.1,0.094986
3340.3,0.095056
3342.4,0.094958
3344.6,0.094584
3346.8,0.094916
3348.9,0.094948
3351.1,0.094377
3353.3,0.0943
3355.4,0.094967
3357.6,0.09515
3359.8,0.095137
3362.0,0.095469
3364.1,0.095752
3366.3,0.095814
3368.5,0.095405
3370.7,0.095078
3372.9,0.095044
3375.1,0.095452
3377.3,0.09538
3379.5,0.095143
3381.7,0.095197
3383.9,0.095314
3386.1,0.095307
3388.3,0.094967
3390.5,0.094877
3392.8,0.095425
3395.0,0.095437
3397.2,0.095241
3399.4,0.095299
3401.7,0.095369
3403.9,0.094697
3406.1,0.094575
3408.4,0.094952
3410.6,0.095171
3412.9,0.095473
3415.1,0.095175
3417.4,0.094584
3419.6,0.094377
3421.9,0.094647
3424.1,0.095107
3426.4,0.095146
3428.7,0.095052
3430.9,0.095429
3433.2,0.09541
3435.5,0.095129
3437.8,0.095005
3440.0,0.09496
3442.3,0.095039
3444.6,0.095297
3446.9,0.095569
3449.2,0.095522
3451.5,0.095259
3453.8,0.095143
3456.1,0.095186
3458.4,0.095384
3460.7,0.095093
3463.0,0.095141
3465.3,0.095363
3467.6,0.095503
3470.0,0.095258
3472.3,0.095224
3474.6,0.095473
3477.0,0.095525
3479.3,0.095207
3481.6,0.095014
3484.0,0.095112
3486.3,0.094935
3488.7,0.094643
3491.0,0.094731
3493.4,0.094939
3495.7,0.095003
3498.1,0.094986
3500.4,0.09495
3502.8,0.094765
3505.2,0.094905
3507.5,0.095016
3509.9,0.095016
3512.3,0.094846
3514.7,0.094743
3517.1,0.094978
3519.4,0.095043
3521.8,0.094899
3524.2,0.094888
3526.6,0.095078
3529.0,0.095254
3531.4,0.095523
3533.8,0.095567
3536.2,0.095623
3538.7,0.095718
3541.1,0.095716
3543.5,0.095804
3545.9,0.095633
3548.3,0.095804
3550.8,0.095876
3553.2,0.095622
3555.6,0.095814
3558.1,0.095461
3560.5,0.095197
3563.0,0.095512
3565.4,0.095378
3567.9,0.095135
3570.3,0.095337
3572.8,0.095399
3575.3,0.095341
3577.7,0.095727
3580.2,0.095761
3582.7,0.095789
3585.2,0.096114
3587.6,0.095927
3590.1,0.095697
3592.6,0.095761
3595.1,0.095927
3597.6,0.095889
3600.1,0.095622
3602.6,0.095614
3605.1,0.095967
3607.6,0.095948
3610.1,0.09564
3612.6,0.095584
3615.2,0.09601
3617.7,0.096285
3620.2,0.096393
3622.7,0.096312
3625.3,0.096302
3627.8,0.096529
3630.3,0.096365
3632.9,0.096065
3635.4,0.09625
3638.0,0.096402
3640.5,0.096278
3643.1,0.096261
3645.7,0.096206
3648.2,0.096246
3650.8,0.09625
3653.4,0.096265
3655.9,0.096363
3658.5,0.09654
3661.1,0.096355
3663.7,0.096168
3666.3,0.096206
3668.9,0.096681
3671.5,0.096851
3674.1,0.096944
3676.7,0.096815
3679.3,0.096691
3681.9,0.096776
3684.5,0.096642
3687.2,0.096572
3689.8,0.096457
3692.4,0.096548
3695.0,0.096608
3697.7,0.096536
3700.3,0.096476
3703.0,0.096091
3705.6,0.096123
3708.3,0.096278
3710.9,0.096091
3713.6,0.096257
