Wavelength (µm)	Augite ws592 spliced
1.988552	0.473873
1.989315	0.473679
1.990078	0.473292
1.990842	0.472953
1.991607	0.472760
1.992373	0.472421
1.993139	0.472228
1.993905	0.472179
1.994673	0.471841
1.995440	0.471550
1.996209	0.471308
1.996978	0.471018
1.997747	0.470921
1.998517	0.470873
1.999288	0.470534
2.000059	0.470098
2.000831	0.469905
2.001604	0.469615
2.002377	0.469227
2.003151	0.469082
2.003925	0.468986
2.004700	0.468647
2.005476	0.468453
2.006252	0.468260
2.007029	0.467921
2.007806	0.467776
2.008584	0.467921
2.009362	0.467727
2.010141	0.467340
2.010921	0.467050
2.011701	0.466856
2.012482	0.466663
2.013264	0.466324
2.014046	0.466082
2.014829	0.465840
2.015612	0.465889
2.016396	0.465695
2.017180	0.465405
2.017966	0.465163
2.018752	0.465066
2.019538	0.464872
2.020325	0.464582
2.021113	0.464340
2.021901	0.463905
2.022690	0.463711
2.023479	0.463566
2.024270	0.463518
2.025060	0.463227
2.025852	0.462889
2.026644	0.462695
2.027436	0.462501
2.028229	0.462211
2.029023	0.462066
2.029818	0.461776
2.030613	0.461340
2.031409	0.461001
2.032204	0.461001
2.033001	0.460808
2.033799	0.460614
2.034597	0.460421
2.035396	0.460130
2.036195	0.459840
2.036996	0.459695
2.037796	0.459405
2.038598	0.459163
2.039400	0.459114
2.040203	0.458872
2.041006	0.458388
2.041810	0.458098
2.042614	0.457904
2.043419	0.457566
2.044225	0.457469
2.045032	0.457324
2.045839	0.456888
2.046646	0.456598
2.047455	0.456453
2.048264	0.456114
2.049073	0.455872
2.049883	0.455630
2.050694	0.455437
2.051505	0.455291
2.052317	0.454856
2.053130	0.454421
2.053944	0.454275
2.054758	0.454179
2.055573	0.453791
2.056388	0.453404
2.057204	0.453211
2.058021	0.453017
2.058838	0.452775
2.059656	0.452291
2.060475	0.451904
2.061294	0.451566
2.062114	0.451324
2.062935	0.451130
2.063756	0.450743
2.064577	0.450404
2.065400	0.450162
2.066223	0.449775
2.067047	0.449582
2.067871	0.449291
2.068696	0.448952
2.069522	0.448614
2.070349	0.448275
2.071176	0.448033
2.072004	0.447791
2.072833	0.447404
2.073662	0.447065
2.074492	0.446920
2.075322	0.446485
2.076153	0.446243
2.076985	0.446001
2.077817	0.445614
2.078650	0.445275
2.079484	0.444936
2.080319	0.444598
2.081154	0.444501
2.081990	0.444210
2.082826	0.443968
2.083663	0.443630
2.084501	0.443291
2.085340	0.442904
2.086179	0.442517
2.087018	0.442130
2.087859	0.441743
2.088700	0.441452
2.089542	0.441259
2.090385	0.441017
2.091228	0.440823
2.092072	0.440678
2.092917	0.440388
2.093762	0.440001
2.094608	0.439710
2.095454	0.439323
2.096302	0.439130
2.097150	0.438742
2.097999	0.438259
2.098848	0.438017
2.099698	0.438065
2.100549	0.437726
2.101400	0.437339
2.102252	0.437049
2.103105	0.436904
2.103959	0.436710
2.104813	0.436226
2.105668	0.435839
2.106524	0.435839
2.107380	0.435646
2.108237	0.435355
2.109094	0.435065
2.109953	0.434823
2.110812	0.435588
2.111672	0.435731
2.112532	0.434823
2.113394	0.433915
2.114255	0.433485
2.115118	0.432768
2.115981	0.432242
2.116845	0.432195
2.117710	0.432147
2.118576	0.431860
2.119442	0.431526
2.120309	0.431000
2.121176	0.430379
2.122045	0.430379
2.122913	0.430426
2.123783	0.429996
2.124654	0.429423
2.125525	0.428945
2.126396	0.428802
2.127269	0.428467
2.128142	0.427942
2.129016	0.427607
2.129891	0.427559
2.130766	0.427464
2.131642	0.426842
2.132519	0.425887
2.133397	0.425648
2.134275	0.425934
2.135154	0.425457
2.136034	0.424931
2.136914	0.424166
2.137795	0.423736
2.138677	0.423927
2.139560	0.424071
2.140444	0.423736
2.141328	0.423067
2.142213	0.422207
2.143099	0.421729
2.143985	0.421777
2.144872	0.421586
2.145760	0.421538
2.146648	0.421442
2.147537	0.421012
2.148427	0.421012
2.149318	0.420964
2.150209	0.420295
2.151101	0.419674
2.151994	0.419770
2.152888	0.419579
2.153783	0.418910
2.154678	0.418575
2.155574	0.418718
2.156470	0.418241
2.157368	0.417715
2.158266	0.417428
2.159165	0.417189
2.160064	0.416902
2.160964	0.416186
2.161865	0.415708
2.162767	0.416042
2.163670	0.416233
2.164573	0.416042
2.165478	0.415517
2.166383	0.415087
2.167288	0.415230
2.168195	0.414752
2.169102	0.414035
2.170010	0.413366
2.170919	0.413414
2.171828	0.413414
2.172739	0.412602
2.173650	0.412267
2.174561	0.412315
2.175474	0.412219
2.176387	0.411741
2.177301	0.411359
2.178216	0.411263
2.179132	0.411025
2.180048	0.410881
2.180965	0.410499
2.181883	0.409734
2.182801	0.409639
2.183721	0.409495
2.184641	0.409065
2.185562	0.408779
2.186484	0.408635
2.187407	0.408492
2.188330	0.408110
2.189254	0.407871
2.190179	0.407775
2.191105	0.407488
2.192032	0.407154
2.192959	0.406771
2.193887	0.406294
2.194816	0.405672
2.195745	0.405481
2.196676	0.405481
2.197607	0.405099
2.198539	0.405386
2.199472	0.405386
2.200405	0.404908
2.201339	0.404382
2.202275	0.403952
2.203211	0.403809
2.204147	0.403761
