Wavelength (nm),Sanidine gds19.19863
2986.264,0.621233
2987.985,0.621233
2989.709,0.621233
2991.434,0.621345
2993.161,0.621457
2994.89,0.621737
2996.621,0.622128
2998.354,0.621904
3000.089,0.622016
3001.826,0.62224
3003.565,0.622407
3005.306,0.622463
3007.05,0.622519
3008.795,0.622743
3010.542,0.623022
3012.291,0.62319
3014.043,0.623302
3015.796,0.623469
3017.552,0.623693
3019.309,0.623805
3021.069,0.623917
3022.83,0.624084
3024.594,0.624252
3026.36,0.624532
3028.127,0.624811
3029.897,0.624587
3031.669,0.624643
3033.443,0.624979
3035.219,0.625202
3036.998,0.625482
3038.778,0.625761
3040.56,0.625873
3042.344,0.626153
3044.13,0.626432
3045.919,0.626544
3047.709,0.6266
3049.502,0.626768
3051.297,0.626991
3053.094,0.627327
3054.893,0.627662
3056.694,0.627774
3058.498,0.628165
3060.303,0.628668
3062.111,0.628668
3063.921,0.62878
3065.733,0.628948
3067.547,0.62906
3069.363,0.629283
3071.181,0.62973
3073.001,0.630066
3074.824,0.630345
3076.649,0.630513
3078.476,0.630737
3080.305,0.63124
3082.136,0.631687
3083.97,0.631799
3085.805,0.631855
3087.644,0.63219
3089.484,0.632749
3091.326,0.633029
3093.171,0.633476
3095.017,0.633699
3096.866,0.634147
3098.717,0.634426
3100.57,0.634706
3102.426,0.634985
3104.284,0.635376
3106.144,0.635768
3108.006,0.636215
3109.871,0.636718
3111.737,0.636998
3113.606,0.637333
3115.477,0.637613
3117.35,0.63778
3119.226,0.638283
3121.104,0.638731
3122.984,0.639234
3124.866,0.639681
3126.751,0.640072
3128.638,0.640408
3130.527,0.640687
3132.419,0.641134
3134.313,0.64147
3136.209,0.641693
3138.108,0.642141
3140.008,0.642644
3141.912,0.642923
3143.817,0.643315
3145.725,0.643874
3147.635,0.644153
3149.547,0.644488
3151.462,0.645047
3153.378,0.645383
3155.298,0.645774
3157.219,0.646277
3159.143,0.646613
3161.07,0.646836
3162.998,0.647228
3164.929,0.647731
3166.862,0.648122
3168.798,0.648178
3170.736,0.648513
3172.677,0.648961
3174.619,0.64952
3176.565,0.650023
3178.513,0.650135
3180.463,0.650526
3182.415,0.650917
3184.37,0.651197
3186.327,0.651532
3188.287,0.651979
3190.248,0.652371
3192.213,0.65265
3194.18,0.652985
3196.149,0.653265
3198.121,0.653544
3200.095,0.653824
3202.072,0.654159
3204.051,0.654383
3206.032,0.654718
3208.016,0.655054
3210.002,0.655333
3211.991,0.655669
3213.982,0.655836
3215.976,0.656116
3217.972,0.656507
3219.971,0.656843
3221.972,0.657234
3223.976,0.657402
3225.982,0.657625
3227.991,0.658017
3230.002,0.65852
3232.016,0.658632
3234.032,0.658687
3236.051,0.658911
3238.072,0.659191
3240.096,0.659358
3242.123,0.659861
3244.152,0.660197
3246.183,0.660476
3248.217,0.6607
3250.253,0.660923
3252.293,0.661315
3254.334,0.661594
3256.378,0.66193
3258.425,0.662265
3260.474,0.662601
3262.526,0.662936
3264.58,0.663048
3266.638,0.663495
3268.697,0.66383
3270.76,0.664166
3272.825,0.664445
3274.892,0.664613
3276.962,0.664892
3279.035,0.665284
3281.11,0.665563
3283.188,0.665843
3285.269,0.666178
3287.352,0.666402
3289.438,0.666737
3291.526,0.667129
3293.617,0.667408
3295.711,0.667799
3297.807,0.668191
3299.906,0.668302
3302.008,0.66847
3304.113,0.668694
3306.22,0.669085
3308.33,0.669421
3310.443,0.669588
3312.558,0.669644
3314.676,0.669868
3316.797,0.670315
3318.92,0.67065
3321.046,0.670706
3323.175,0.67093
3325.307,0.671265
3327.442,0.671545
3329.579,0.671601
3331.719,0.671712
3333.861,0.67188
3336.007,0.672216
3338.155,0.672551
3340.306,0.672551
3342.458,0.672551
3344.615,0.672719
3346.774,0.672551
3348.936,0.672495
3351.101,0.672327
3353.268,0.672104
3355.439,0.671824
3357.612,0.671489
3359.789,0.671042
3361.968,0.670594
3364.149,0.670091
3366.334,0.669421
3368.521,0.668806
3370.711,0.668414
3372.904,0.668135
3375.1,0.667911
3377.3,0.667911
3379.501,0.667967
3381.706,0.668358
3383.913,0.668694
3386.123,0.668806
3388.336,0.668973
3390.553,0.668862
3392.771,0.668582
3394.992,0.668135
3397.217,0.667408
3399.445,0.666625
3401.675,0.665843
3403.909,0.66506
3406.146,0.664166
3408.385,0.663327
3410.627,0.662656
3412.873,0.662042
3415.121,0.662042
3417.372,0.662489
3419.626,0.663495
3421.884,0.664892
3424.144,0.666234
3426.407,0.667799
3428.673,0.669476
3430.943,0.67093
3433.215,0.672216
3435.49,0.673389
3437.768,0.674508
3440.049,0.675346
3442.333,0.676073
3444.621,0.6768
3446.911,0.677526
3449.204,0.678085
3451.5,0.678644
3453.8,0.679427
3456.102,0.680154
3458.408,0.680545
3460.716,0.681048
3463.028,0.681663
3465.343,0.681775
3467.662,0.681775
3469.983,0.681998
3472.307,0.682054
3474.634,0.681998
3476.965,0.682054
3479.298,0.682222
3481.635,0.682222
3483.975,0.681998
3486.317,0.681775
3488.663,0.681495
3491.012,0.68116
3493.365,0.680657
3495.72,0.680154
3498.079,0.679818
3500.441,0.679874
3502.806,0.680545
3505.175,0.681607
3507.547,0.682893
3509.921,0.68429
3512.299,0.685911
3514.681,0.687309
3517.065,0.688651
3519.453,0.689601
3521.844,0.690384
3524.238,0.69111
3526.636,0.691725
3529.036,0.692116
3531.44,0.692452
3533.848,0.692843
3536.258,0.693179
3538.672,0.693458
3541.089,0.693794
3543.509,0.694073
3545.932,0.694297
3548.359,0.694464
3550.79,0.694688
3553.223,0.695023
3555.66,0.695191
3558.101,0.695191
3560.545,0.695471
3562.992,0.695582
3565.443,0.69575
3567.896,0.695918
3570.354,0.69603
3572.814,0.696197
3575.278,0.696365
3577.746,0.696533
3580.216,0.6967
3582.691,0.696812
3585.169,0.697036
3587.65,0.697259
3590.135,0.697427
3592.623,0.697483
3595.114,0.697595
3597.609,0.697595
3600.107,0.697651
3602.608,0.697707
3605.114,0.697819
3607.622,0.69793
3610.135,0.698098
3612.65,0.698154
3615.17,0.698322
3617.692,0.698322
3620.219,0.698377
3622.749,0.698545
3625.283,0.698657
3627.819,0.698713
3630.36,0.698881
3632.904,0.698881
3635.452,0.698825
3638.003,0.698881
3640.558,0.698881
3643.116,0.698825
3645.679,0.698825
3648.244,0.698936
3650.813,0.698992
3653.386,0.698881
3655.962,0.698936
3658.543,0.699104
3661.126,0.699104
3663.713,0.699216
3666.304,0.699216
3668.898,0.699104
3671.497,0.699104
3674.099,0.699104
3676.705,0.69916
3679.314,0.699328
3681.927,0.699495
3684.544,0.699607
3687.165,0.699663
3689.789,0.699607
3692.417,0.699663
3695.049,0.699663
3697.685,0.699663
3700.324,0.699831
3702.967,0.699999
3705.615,0.699943
3708.265,0.699999
3710.92,0.700055
3713.578,0.70011
3716.24,0.700055
3718.906,0.699999
3721.576,0.699943
3724.249,0.70011
3726.926,0.700055
3729.607,0.70011
3732.292,0.70011
3734.981,0.699999
3737.674,0.699943
3740.371,0.699999
3743.071,0.699943
3745.776,0.699943
3748.485,0.699831
3751.197,0.699775
3753.913,0.699831
3756.634,0.699775
3759.358,0.699607
3762.086,0.699495
3764.818,0.699384
3767.554,0.699328
3770.293,0.699272
3773.037,0.699104
3775.785,0.698936
