Wavelength (nm),<125 µm (357)
3236.0,0.49509
3238.1,0.49571
3240.1,0.49627
3242.1,0.49645
3244.1,0.49663
3246.2,0.49696
3248.2,0.49764
3250.2,0.49794
3252.3,0.49822
3254.3,0.49852
3256.4,0.49869
3258.4,0.49918
3260.5,0.49947
3262.5,0.49996
3264.6,0.50053
3266.6,0.50111
3268.7,0.50139
3270.7,0.50174
3272.8,0.50209
3274.9,0.50223
3277.0,0.50249
3279.0,0.50306
3281.1,0.50355
3283.2,0.50412
3285.3,0.50454
3287.3,0.50461
3289.4,0.50489
3291.5,0.50541
3293.6,0.50567
3295.7,0.506
3297.8,0.50647
3299.9,0.50669
3302.0,0.5068
3304.1,0.50718
3306.2,0.50764
3308.3,0.50785
3310.4,0.50796
3312.5,0.50808
3314.7,0.50836
3316.8,0.50808
3318.9,0.50825
3321.0,0.50876
3323.2,0.50887
3325.3,0.50898
3327.4,0.50915
3329.6,0.50954
3331.7,0.50951
3333.8,0.50945
3336.0,0.50932
3338.1,0.50929
3340.3,0.50941
3342.4,0.50912
3344.6,0.50879
3346.8,0.50872
3348.9,0.50858
3351.1,0.50836
3353.3,0.50823
3355.4,0.50805
3357.6,0.50791
3359.8,0.50791
3362.0,0.50805
3364.1,0.50813
3366.3,0.50828
3368.5,0.50835
3370.7,0.50832
3372.9,0.50807
3375.1,0.50826
3377.3,0.50846
3379.5,0.50872
3381.7,0.509
3383.9,0.50925
3386.1,0.50922
3388.3,0.50949
3390.5,0.5099
3392.8,0.5101
3395.0,0.51004
3397.2,0.51
3399.4,0.50972
3401.7,0.50942
3403.9,0.50947
3406.1,0.50963
3408.4,0.50974
3410.6,0.50949
3412.9,0.5092
3415.1,0.50932
3417.4,0.50975
3419.6,0.50995
3421.9,0.51011
3424.1,0.51098
3426.4,0.5117
3428.7,0.5122
3430.9,0.51296
3433.2,0.51345
3435.5,0.51394
3437.8,0.51452
3440.0,0.51481
3442.3,0.51502
3444.6,0.51527
3446.9,0.51557
3449.2,0.51593
3451.5,0.51644
3453.8,0.51643
3456.1,0.51634
3458.4,0.5167
3460.7,0.51687
3463.0,0.51684
3465.3,0.51659
3467.6,0.51642
3470.0,0.51656
3472.3,0.5166
3474.6,0.51637
3477.0,0.5163
3479.3,0.51599
3481.6,0.51593
3484.0,0.51621
3486.3,0.51661
3488.7,0.51681
3491.0,0.51708
3493.4,0.51732
3495.7,0.51755
3498.1,0.51763
3500.4,0.51773
3502.8,0.51824
3505.2,0.5187
3507.5,0.51924
3509.9,0.51991
3512.3,0.5208
3514.7,0.52153
3517.1,0.52228
3519.4,0.523
3521.8,0.52334
3524.2,0.52408
3526.6,0.52498
3529.0,0.52552
3531.4,0.52607
3533.8,0.52678
3536.2,0.52731
3538.7,0.52777
3541.1,0.52797
3543.5,0.52802
3545.9,0.52818
3548.3,0.52849
3550.8,0.52858
3553.2,0.5288
3555.6,0.52934
3558.1,0.52949
3560.5,0.52946
3563.0,0.52965
3565.4,0.52976
3567.9,0.52966
3570.3,0.52996
3572.8,0.53021
3575.3,0.53019
3577.7,0.53031
3580.2,0.53025
3582.7,0.5301
3585.2,0.53038
3587.6,0.53073
3590.1,0.53087
3592.6,0.53068
3595.1,0.53052
3597.6,0.53056
3600.1,0.53072
3602.6,0.53072
3605.1,0.53065
3607.6,0.53065
3610.1,0.53074
3612.6,0.53054
3615.2,0.53027
3617.7,0.53014
3620.2,0.53006
3622.7,0.5301
3625.3,0.53005
3627.8,0.5298
3630.3,0.52969
3632.9,0.5298
3635.4,0.52966
3638.0,0.52912
3640.5,0.52898
3643.1,0.52911
3645.7,0.52889
3648.2,0.52875
3650.8,0.52874
3653.4,0.52855
3655.9,0.52848
3658.5,0.52854
3661.1,0.52827
3663.7,0.52802
3666.3,0.52802
3668.9,0.5278
3671.5,0.52749
3674.1,0.52735
3676.7,0.52726
3679.3,0.52728
3681.9,0.52712
3684.5,0.52666
3687.2,0.52624
3689.8,0.52626
3692.4,0.52611
3695.0,0.52596
3697.7,0.52573
3700.3,0.5255
3703.0,0.5249
3705.6,0.52447
3708.3,0.52442
3710.9,0.52418
3713.6,0.5239
3716.2,0.52394
3718.9,0.52372
3721.6,0.5234
3724.2,0.52316
3726.9,0.52284
3729.6,0.52245
3732.3,0.5222
3735.0,0.52202
3737.7,0.52186
3740.4,0.52169
3743.1,0.52133
3745.8,0.52089
3748.5,0.52041
3751.2,0.52012
3753.9,0.51995
3756.6,0.51969
3759.3,0.51926
3762.1,0.51893
3764.8,0.51874
3767.5,0.51835
3770.3,0.51784
3773.0,0.51755
3775.8,0.51738
3778.5,0.51701
3781.3,0.51641
3784.0,0.51594
3786.8,0.51556
3789.6,0.51529
3792.3,0.51475
3795.1,0.51425
3797.9,0.51371
3800.7,0.51322
3803.5,0.51275
3806.3,0.51208
