Wavelength (nm),SynOl_Fo10
2391.8,0.34979
2392.9,0.34986
2394.0,0.34998
2395.1,0.34999
2396.2,0.34988
2397.3,0.3498
2398.4,0.34977
2399.6,0.34982
2400.7,0.3499
2401.8,0.3499
2402.9,0.34983
2404.0,0.34976
2405.1,0.3498
2406.2,0.3499
2407.4,0.34992
2408.5,0.34986
2409.6,0.34985
2410.7,0.34989
2411.8,0.3499
2412.9,0.34986
2414.1,0.34982
2415.2,0.34982
2416.3,0.34981
2417.4,0.34974
2418.6,0.34975
2419.7,0.34987
2420.8,0.34991
2422.0,0.34985
2423.1,0.34976
2424.2,0.34975
2425.4,0.34976
2426.5,0.34975
2427.6,0.3497
2428.8,0.34972
2429.9,0.34976
2431.1,0.34973
2432.2,0.34972
2433.3,0.34974
2434.5,0.34968
2435.6,0.34966
2436.8,0.34973
2437.9,0.34968
2439.1,0.3496
2440.2,0.34968
2441.4,0.34973
2442.5,0.34973
2443.6,0.34971
2444.8,0.34969
2446.0,0.34968
2447.1,0.34972
2448.3,0.34969
2449.4,0.34965
2450.6,0.3497
2451.7,0.34969
2452.9,0.34958
2454.1,0.34958
2455.2,0.34958
2456.4,0.34964
2457.6,0.34966
2458.7,0.34958
2459.9,0.34957
2461.1,0.34955
2462.2,0.34949
2463.4,0.34952
2464.6,0.34951
2465.7,0.34955
2466.9,0.34953
2468.1,0.34957
2469.3,0.3495
2470.4,0.34943
2471.6,0.34953
2472.8,0.34961
2474.0,0.34957
2475.1,0.34952
2476.3,0.34945
2477.5,0.34946
2478.7,0.34949
2479.9,0.34953
2481.1,0.34951
2482.3,0.34945
2483.4,0.34945
2484.6,0.34949
2485.8,0.34949
2487.0,0.34944
2488.2,0.34932
2489.4,0.34931
2490.6,0.34937
2491.8,0.34935
2493.0,0.34933
2494.2,0.34937
2495.4,0.34936
2496.6,0.34931
2497.8,0.34927
2499.0,0.34927
2500.2,0.34925
2501.4,0.34928
2502.6,0.34934
2503.8,0.34937
2505.0,0.34927
2506.3,0.34926
2507.5,0.34924
2508.7,0.3492
2509.9,0.34919
2511.1,0.34919
2512.3,0.34919
2513.5,0.34922
2514.8,0.34922
2516.0,0.34921
2517.2,0.34915
2518.4,0.34911
2519.6,0.34908
2520.9,0.34914
2522.1,0.34912
2523.3,0.34904
2524.6,0.34905
2525.8,0.34916
