Wavelength (µm) raw,Sanidine gds19.19863 raw,Wavelength (µm) bin avg,Sanidine gds19.19863 bin avg,Wavelength (µm) cubic spline of bin avg,Sanidine gds19.19863 cubic spline of bin avg
0.7655,0.742308,2.49212,0.830165,2.488175928853755,0.830390784810829
0.7685,0.743614,2.5021,0.8297647777777778,2.4982358102766797,0.8298726674672982
0.7715,0.744693,2.51208,0.8297248749999999,2.5082956916996046,0.82973554520073
0.7745,0.744321,2.52206,0.82967625,2.5183555731225296,0.8296452514398779
0.7775,0.744173,2.53204,0.8301861249999999,2.5284154545454545,0.8299923858367422
0.781,0.744334,2.54203,0.830465875,2.5384753359683794,0.8303603531763257
0.785,0.746883,2.55201,0.8309270000000001,2.5485352173913043,0.8308016198045333
0.789,0.745771,2.56199,0.83073,2.558595098814229,0.8308528718124983
0.793,0.746341,2.57197,0.830622,2.568654980237154,0.830564561666718
0.797,0.747061,2.58195,0.8310206000000001,2.578714861660079,0.830996040334892
0.8015,0.747999,2.59193,0.82969,2.588774743083004,0.8302696955251072
0.8065,0.748945,2.60191,0.8281920000000002,2.598834624505929,0.8284675614518663
0.8115,0.74986,2.61189,0.8280609999999999,2.6088945059288537,0.8282423132216828
0.8165,0.749163,2.62187,0.8262912,2.6189543873517787,0.8266359136388979
0.822,0.749866,2.63185,0.8263171666666667,2.6290142687747036,0.826659727729487
0.828,0.7486,2.64183,0.821745125,2.6390741501976285,0.8229122828597306
0.835,0.747569,2.65182,0.8216164285714286,2.6491340316205534,0.8213340883639132
0.843,0.748854,2.6618,0.8220128333333333,2.6591939130434783,0.8219856337402203
0.851,0.759279,2.67178,0.8200862000000001,2.669253794466403,0.8212178316627338
0.859,0.753145,2.68176,0.8117135714285714,2.679313675889328,0.8137894483573795
0.871,0.75766,2.69174,0.8045344285714287,2.689373557312253,0.8066035728097021
0.883,0.762542,2.70172,0.7926195714285714,2.699433438735178,0.795106530230236
0.894,0.762363,2.7117,0.7878918571428571,2.709493320158103,0.7883436990162647
0.904,0.763199,2.72168,0.7821738571428571,2.7195532015810278,0.7847711620273635
0.914,0.763871,2.73166,0.7604122857142857,2.7296130830039527,0.7649326082684259
0.924,0.769538,2.74164,0.7446240000000001,2.7396729644268776,0.7475754877181797
0.933,0.765942,2.75163,0.7251464285714285,2.7497328458498025,0.7293418781171038
0.941,0.770638,2.76161,0.704902,2.7597927272727274,0.707670678042501
0.949,0.768975,2.77159,0.6978650000000001,2.769852608695652,0.6988586386795343
0.957,0.773268,2.78157,0.6888899999999999,2.7799124901185768,0.6904707014077244
0.964,0.774175,2.79155,0.6813911428571429,2.7899723715415017,0.6823793170299584
0.97,0.774343,2.80153,0.6752621666666666,2.8000322529644266,0.6763187990507292
0.976,0.773595,2.81151,0.6672802857142858,2.8100921343873515,0.6682955875656378
0.982,0.776963,2.82149,0.6621531666666666,2.8201520158102764,0.6627983631377202
0.988,0.778099,2.83147,0.6564671428571428,2.8302118972332013,0.657210674579654
0.994,0.777315,2.84145,0.6509821666666668,2.8402717786561262,0.6515915635444223
1.0,0.782333,2.85144,0.6458141428571428,2.850331660079051,0.6464269545439048
1.006,0.780042,2.86142,0.6401281666666666,2.860391541501976,0.6406580414987486
1.012,0.780331,2.8714,0.6360661666666666,2.870451422924901,0.6364113480825494
1.018,0.783078,2.88138,0.6324041666666665,2.880511304347826,0.6327208677803637
1.0235,0.783386,2.89136,0.6290675714285714,2.890571185770751,0.6292960495131422
1.0285,0.783841,2.90134,0.6266746666666666,2.9006310671936757,0.6268315297041868
1.0335,0.785762,2.91132,0.6246623333333333,2.9106909486166006,0.6247616444642907
1.0385,0.787216,2.9213,0.6234788333333333,2.9207508300395255,0.6235467963782587
1.0435,0.788305,2.93128,0.6220906666666667,2.9308107114624504,0.6221456661595588
1.0485,0.78751,2.94126,0.6213638333333334,2.9408705928853753,0.621384081950057
1.0535,0.788361,2.95125,0.6208793333333333,2.9509304743083002,0.6208927873365454
1.0585,0.788806,2.96123,0.6205623333333333,2.960990355731225,0.6205675809704667
1.0635,0.788632,2.97121,0.6205161666666665,2.97105023715415,0.6205131719598705
1.0685,0.78991,2.98119,0.6209203999999999,2.981110118577075,0.620916219728973
1.0735,0.789753,2.99117,0.6213730000000001,2.99117,0.6213730000000001
1.0785,0.791365,,,,
1.0835,0.793426,,,,
1.0885,0.790624,,,,
1.0935,0.79297,,,,
1.0985,0.792492,,,,
1.1035,0.795403,,,,
1.1085,0.795534,,,,
1.1135,0.795358,,,,
1.1185,0.794622,,,,
1.1235,0.796287,,,,
1.1285,0.797064,,,,
1.1335,0.797768,,,,
1.1385,0.798311,,,,
1.1435,0.798268,,,,
1.1485,0.799103,,,,
1.1535,0.798131,,,,
1.1585,0.79899,,,,
1.1635,0.800374,,,,
1.1685,0.798631,,,,
1.1735,0.800783,,,,
1.1785,0.800598,,,,
1.1835,0.799694,,,,
1.1885,0.805043,,,,
1.1935,0.801122,,,,
1.1985,0.80398,,,,
1.2035,0.804754,,,,
1.2085,0.80225,,,,
1.2135,0.804029,,,,
1.2185,0.806066,,,,
1.2235,0.806908,,,,
1.2285,0.805506,,,,
1.2335,0.807889,,,,
1.2385,0.805506,,,,
1.2435,0.805215,,,,
1.2485,0.808393,,,,
1.2535,0.806002,,,,
1.2585,0.807376,,,,
1.2635,0.807944,,,,
1.2685,0.807888,,,,
1.2735,0.808772,,,,
1.2785,0.8055,,,,
1.2835,0.807801,,,,
1.2885,0.809794,,,,
1.2935,0.807392,,,,
1.2985,0.809,,,,
1.3035,0.809364,,,,
1.3085,0.810071,,,,
1.3135,0.812251,,,,
1.3185,0.809726,,,,
