Wavelength (µm),Pigeonite hs199.17856
1.987027,0.175203
1.987789,0.175264
1.988552,0.175324
1.989315,0.175264
1.990078,0.175203
1.990842,0.175264
1.991607,0.175324
1.992373,0.175324
1.993139,0.175143
1.993905,0.175083
1.994673,0.175023
1.99544,0.175083
1.996209,0.175203
1.996978,0.175264
1.997747,0.175083
1.998517,0.175083
1.999288,0.175143
2.000059,0.175264
2.000831,0.175384
2.001604,0.175384
2.002377,0.175384
2.003151,0.175324
2.003925,0.175264
2.0047,0.175505
2.005476,0.175384
2.006252,0.175203
2.007029,0.175203
2.007806,0.175324
2.008584,0.175384
2.009362,0.175384
2.010141,0.175264
2.010921,0.175143
2.011701,0.175324
2.012482,0.175625
2.013264,0.175926
2.014046,0.175746
2.014829,0.175444
2.015612,0.175505
2.016396,0.175625
2.01718,0.175625
2.017966,0.175565
2.018752,0.175505
2.019538,0.175324
2.020325,0.175384
2.021113,0.175384
2.021901,0.175505
2.02269,0.175746
2.023479,0.175806
2.02427,0.175746
2.02506,0.175565
2.025852,0.175625
2.026644,0.175806
2.027436,0.175806
2.028229,0.175866
2.029023,0.175866
2.029818,0.175926
2.030613,0.176047
2.031409,0.176107
2.032204,0.176107
2.033001,0.176107
2.033799,0.175866
2.034597,0.175866
2.035396,0.176047
2.036195,0.175986
2.036996,0.175746
2.037796,0.175806
2.038598,0.176167
2.0394,0.176107
2.040203,0.175926
2.041006,0.175926
2.04181,0.175986
2.042614,0.176167
2.043419,0.176348
2.044225,0.176288
2.045032,0.176107
2.045839,0.176107
2.046646,0.176047
2.047455,0.176047
2.048264,0.176047
2.049073,0.176227
2.049883,0.176227
2.050694,0.176348
2.051505,0.176288
2.052317,0.176047
2.05313,0.176167
2.053944,0.176468
2.054758,0.176589
2.055573,0.176769
2.056388,0.176769
2.057204,0.176709
2.058021,0.176589
2.058838,0.176528
2.059656,0.176468
2.060475,0.176348
2.061294,0.176408
2.062114,0.176769
2.062935,0.17689
2.063756,0.176589
2.064577,0.176589
2.0654,0.17683
2.066223,0.176709
2.067047,0.176649
2.067871,0.176709
2.068696,0.176769
2.069522,0.17683
2.070349,0.17695
2.071176,0.17683
2.072004,0.176528
2.072833,0.176468
2.073662,0.176769
2.074492,0.17683
2.075322,0.176528
2.076153,0.176227
2.076985,0.176468
2.077817,0.176769
2.07865,0.17695
2.079484,0.17695
2.080319,0.17695
2.081154,0.17683
2.08199,0.17683
2.082826,0.17689
2.083663,0.176649
2.084501,0.176769
2.08534,0.17683
2.086179,0.176649
2.087018,0.176709
2.087859,0.176769
2.0887,0.17695
2.089542,0.177131
2.090385,0.177191
2.091228,0.177071
2.092072,0.17701
2.092917,0.17683
2.093762,0.17683
2.094608,0.17689
2.095454,0.177071
2.096302,0.177311
2.09715,0.177131
2.097999,0.17683
2.098848,0.176769
2.099698,0.177071
2.100549,0.177492
2.1014,0.177432
2.102252,0.177131
2.103105,0.177191
2.103959,0.177492
2.104813,0.177552
