Wavelength (µm) raw,Pigeonite hs199.17843 raw,Wavelength (µm) bin avg,Pigeonite hs199.17843 bin avg,Wavelength (µm) cubic spline of bin avg,Pigeonite hs199.17843 cubic spline of bin avg
0.5653,0.172108,1.70362,0.19523200000000002,1.9230179245283021,0.17444447485617356
0.5673,0.174276,1.7136,0.194152,1.9349291981132077,0.17611258584529332
0.5693,0.173623,1.72359,0.192795,1.9468404716981136,0.17610857672938537
0.5713,0.174707,1.73357,0.18865,1.9587517452830192,0.17537520780803906
0.5733,0.176139,1.74355,0.190925,1.9706630188679248,0.17324100413896215
0.5753,0.173605,1.75353,0.189168,1.9825742924528305,0.1782304188073174
0.5773,0.175219,1.76351,0.189727,1.994485566037736,0.17428472124487235
0.5793,0.173548,1.77349,0.1888,2.0063968396226417,0.17591541688352166
0.5813,0.17303,1.78347,0.18861050000000001,2.0183081132075475,0.1766817465877562
0.5833,0.177534,1.79345,0.184113,2.030219386792453,0.17689786702542618
0.5853,0.176615,1.80343,0.185358,2.042130660377359,0.1761001224612604
0.5873,0.173193,1.81341,0.185084,2.054041933962264,0.17834540704916582
0.5893,0.176095,1.8234,0.185697,2.06595320754717,0.1744770169289721
0.5913,0.177501,1.83338,0.182893,2.077864481132076,0.17332141585432237
0.5933,0.176629,1.84336,0.180297,2.0897757547169813,0.17395067761738925
0.5953,0.173661,1.85334,0.182877,2.101687028301887,0.17673328453070203
0.5973,0.177578,1.86332,0.180461,2.1135983018867925,0.17645762542189894
0.5993,0.175684,1.8733,0.182114,2.1255095754716984,0.1779244680313209
0.6011,0.17488,1.88328,0.17958,2.137420849056604,0.18137914968085755
0.6027,0.176104,1.89326,0.177423,2.1493321226415096,0.17917240852574745
0.6043,0.175577,1.90324,0.174679,2.1612433962264155,0.17551948251088148
0.6059,0.176271,1.91322,0.179187,2.173154669811321,0.18043212100148992
0.6075,0.176608,1.92321,0.174379,2.1850659433962267,0.17779036217549432
0.6091,0.177811,1.93319,0.175723,2.196977216981132,0.17603764102179814
0.6107,0.176164,1.94317,0.176504,2.208888490566038,0.1787806415775806
0.6123,0.176896,1.95315,0.175437,2.220799764150944,0.1811697308713501
0.6139,0.176054,1.96313,0.174946,2.2327110377358492,0.17892127002618985
0.6155,0.178135,1.97311,0.173504,2.244622311320755,0.1816495482760353
0.6171,0.175013,1.98309,0.178306,2.2565335849056605,0.18251559067092865
0.6187,0.177828,1.99307,0.174645,2.2684448584905663,0.18027222348686017
0.6203,0.17921,2.00305,0.175088,2.2803561320754717,0.17965660806849157
0.6219,0.175524,2.01303,0.176954,2.2922674056603776,0.1817412861780574
0.6235,0.176647,2.02301,0.176379,2.3041786792452834,0.17937621071153312
0.6251,0.17953,2.033,0.176944,2.316089952830189,0.18353675103318823
0.6267,0.177202,2.04298,0.176157,2.3280012264150947,0.1816419048622771
0.6283,0.177005,2.05296,0.178327,2.3399125,0.17809201239103128
0.6299,0.176948,2.06294,0.175834,2.351823773584906,0.18499573393744612
0.6317,0.17847,2.07292,0.172553,2.3637350471698118,0.18433136825990284
0.6337,0.178286,2.0829,0.174366,2.375646320754717,0.18897289187173363
0.6357,0.177796,2.09288,0.174001,2.387557594339623,0.19540043655496395
0.6377,0.179267,2.10286,0.177019,2.3994688679245284,0.19253508492082338
0.6397,0.17835,2.11284,0.176583,2.4113801415094342,0.18996863719038645
0.6417,0.17708,2.12282,0.176666,2.42329141509434,0.19077703565739176
0.6437,0.175831,2.13281,0.181494,2.4352026886792455,0.1935454175532932
0.6457,0.180298,2.14279,0.180052,2.447113962264151,0.19515371452908936
0.6477,0.177393,2.15277,0.178399,2.4590252358490567,0.1953103827962505
0.6497,0.177962,2.16275,0.175584,2.4709365094339626,0.19730252027152506
