Wavelength (nm),Pigeonite hs199 spliced
3394.992,0.190277
3397.217,0.190446
3399.445,0.190616
3401.675,0.190842
3403.909,0.190898
3406.146,0.190954
3408.385,0.191011
3410.627,0.191293
3412.873,0.191575
3415.121,0.191858
3417.372,0.192083
3419.626,0.192366
3421.884,0.192591
3424.144,0.192986
3426.407,0.193325
3428.673,0.193664
3430.943,0.193946
3433.215,0.194059
3435.49,0.194228
3437.768,0.194398
3440.049,0.194623
3442.333,0.194849
3444.621,0.195188
3446.911,0.195583
3449.204,0.195752
3451.5,0.195978
3453.8,0.19626
3456.102,0.196373
3458.408,0.196373
3460.716,0.196599
3463.028,0.196938
3465.343,0.197163
3467.662,0.19722
3469.983,0.197389
3472.307,0.197558
3474.634,0.197671
3476.965,0.197784
3479.298,0.19801
3481.635,0.198236
3483.975,0.198292
3486.317,0.198292
3488.663,0.198349
3491.012,0.198405
3493.365,0.198462
3495.72,0.198631
3498.079,0.198857
3500.441,0.199026
3502.806,0.199252
3505.175,0.199478
3507.547,0.199647
3509.921,0.199703
3512.299,0.199816
3514.681,0.200099
3517.065,0.200381
3519.453,0.200663
3521.844,0.200832
3524.238,0.200945
3526.636,0.201115
3529.036,0.201284
3531.44,0.20151
3533.848,0.201735
3536.258,0.201735
3538.672,0.201792
3541.089,0.201848
3543.509,0.202131
3545.932,0.202413
3548.359,0.202526
3550.79,0.202582
3553.223,0.202639
3555.66,0.202639
3558.101,0.202751
3560.545,0.202921
3562.992,0.203034
3565.443,0.203147
3567.896,0.203147
3570.354,0.203259
3572.814,0.203316
3575.278,0.203429
3577.746,0.203429
3580.216,0.203542
3582.691,0.203655
3585.169,0.203655
3587.65,0.203711
3590.135,0.20405
3592.623,0.204219
3595.114,0.204275
3597.609,0.204106
3600.107,0.204163
3602.608,0.204219
3605.114,0.204275
3607.622,0.204332
3610.135,0.204501
3612.65,0.204501
3615.17,0.204501
3617.692,0.204614
3620.219,0.204614
3622.749,0.204671
3625.283,0.204783
3627.819,0.204896
3630.36,0.204896
3632.904,0.204896
