Wavelength (µm)	ALH-271, spot f
3.5753	0.095341
3.5777	0.095727
3.5802	0.095761
3.5827	0.095789
3.5852	0.096114
3.5876	0.095927
3.5901	0.095697
3.5926	0.095761
3.5951	0.095927
3.5976	0.095889
3.6001	0.095622
3.6026	0.095614
3.6051	0.095967
3.6076	0.095948
3.6101	0.095640
3.6126	0.095584
3.6152	0.096010
3.6177	0.096285
3.6202	0.096393
3.6227	0.096312
3.6253	0.096302
3.6278	0.096529
3.6303	0.096365
3.6329	0.096065
3.6354	0.096250
3.6380	0.096402
3.6405	0.096278
3.6431	0.096261
3.6457	0.096206
3.6482	0.096246
3.6508	0.096250
3.6534	0.096265
3.6559	0.096363
3.6585	0.096540
3.6611	0.096355
3.6637	0.096168
3.6663	0.096206
3.6689	0.096681
3.6715	0.096851
3.6741	0.096944
3.6767	0.096815
3.6793	0.096691
3.6819	0.096776
3.6845	0.096642
3.6872	0.096572
3.6898	0.096457
3.6924	0.096548
3.6950	0.096608
3.6977	0.096536
3.7003	0.096476
3.7030	0.096091
3.7056	0.096123
3.7083	0.096278
3.7109	0.096091
3.7136	0.096257
3.7162	0.096529
3.7189	0.096540
3.7216	0.096595
3.7242	0.096647
3.7269	0.096572
3.7296	0.096574
3.7323	0.096802
3.7350	0.096766
3.7377	0.096532
3.7404	0.096421
3.7431	0.096548
3.7458	0.096276
3.7485	0.096210
3.7512	0.096299
3.7539	0.096174
3.7566	0.096274
3.7593	0.096312
3.7621	0.096144
3.7648	0.096221
3.7675	0.096568
3.7703	0.096666
3.7730	0.096551
3.7758	0.096395
3.7785	0.096344
3.7813	0.096089
3.7840	0.095863
3.7868	0.096306
3.7896	0.096763
3.7923	0.096874
3.7951	0.096876
3.7979	0.096655
3.8007	0.096325
3.8035	0.096329
3.8063	0.096472
3.8091	0.096397
3.8119	0.096431
3.8147	0.096491
3.8175	0.096719
3.8203	0.097051
3.8231	0.096961
3.8259	0.096638
3.8288	0.096787
3.8316	0.097087
3.8344	0.097151
3.8373	0.096902
3.8401	0.096570
3.8429	0.096399
3.8458	0.096440
3.8487	0.096559
3.8515	0.096819
3.8544	0.097045
3.8572	0.096925
3.8601	0.096895
3.8630	0.096878
3.8659	0.096870
3.8688	0.096744
3.8716	0.096638
3.8745	0.097032
3.8774	0.097093
3.8803	0.097202
3.8832	0.097221
3.8862	0.097251
3.8891	0.097351
3.8920	0.097228
3.8949	0.097113
3.8978	0.097196
3.9008	0.097298
3.9037	0.097060
3.9067	0.096985
3.9096	0.097387
3.9126	0.097600
3.9155	0.097268
3.9185	0.097226
3.9214	0.097253
3.9244	0.097245
3.9274	0.096961
3.9304	0.096838
3.9333	0.096987
3.9363	0.096770
3.9393	0.096693
3.9423	0.096695
3.9453	0.096653
3.9483	0.096766
3.9513	0.096891
3.9543	0.097027
3.9574	0.096840
3.9604	0.096310
3.9634	0.096417
3.9664	0.096574
3.9695	0.096372
3.9725	0.096431
3.9756	0.096566
3.9786	0.096542
3.9817	0.096297
3.9847	0.096097
3.9878	0.096095
3.9909	0.096368
3.9939	0.096451
3.9970	0.096287
4.0001	0.096104
4.0032	0.096293
4.0063	0.096410
4.0094	0.096536
4.0125	0.096561
4.0156	0.096536
4.0187	0.096331
4.0218	0.096366
4.0249	0.096493
4.0281	0.096646
4.0312	0.096480
4.0343	0.096449
4.0375	0.096489
4.0406	0.096336
4.0438	0.096195
4.0469	0.095963
4.0501	0.096121
4.0533	0.096189
4.0564	0.096097
4.0596	0.096361
4.0628	0.096517
4.0660	0.096432
4.0692	0.096427
4.0724	0.096351
4.0756	0.096223
4.0788	0.096248
4.0820	0.096361
4.0852	0.096193
4.0884	0.096157
4.0917	0.096225
4.0949	0.096370
4.0981	0.096383
4.1014	0.096393
4.1046	0.096253
4.1079	0.096306
4.1111	0.096463
4.1144	0.096391
4.1177	0.096217
4.1209	0.095970
4.1242	0.095897
4.1275	0.096067
4.1308	0.096238
4.1341	0.096153
4.1374	0.096063
4.1407	0.095916
4.1440	0.095929
4.1473	0.096025
4.1506	0.096142
4.1540	0.096199
4.1573	0.096246
4.1606	0.096063
4.1640	0.095763
4.1673	0.095801
4.1707	0.095825
4.1740	0.095884
4.1774	0.096025
4.1808	0.096155
4.1841	0.096116
4.1875	0.096027
