M3 Wavelengths (µm)	M3t augite spliced	M3t Augite WS592 BECKb	M3t Augite WS592 NIC4cc	M3t Orthoclase spliced	M3t Orthoclase NMNH142137 BECKb	M3t Orthoclase NMNH142137 NIC4bb	M3t Pigeonite HS199.1B ASDFRb	M3t Pigeonite HS199.2B ASDFRc	M3t Pigeonite HS199.3B ASDFRc	M3t Pigeonite HS199.4B ASDFRd	M3t Pigeonite HS199.3B BECKc	M3t Pigeonite HS199.3B NIC4cc
2.8015		0.13384	0.17548		0.59803	0.68266					0.078543	0.10579
2.8115		0.13682	0.1776		0.59954	0.67802					0.075067	0.10582
2.8215		0.13769	0.17996		0.59165	0.67352					0.07349	0.10577
2.8315		0.13659	0.18259		0.57673	0.66933					0.07425	0.1059
2.8414		0.13453	0.18496		0.56383	0.66564					0.076822	0.10601
2.8514		0.13274	0.18689		0.56147	0.66241					0.080227	0.10582
2.8614		0.13133	0.18822		0.571	0.65981					0.084454	0.10543
2.8714		0.13029	0.18906		0.5846	0.6577					0.087911	0.10526
2.8814		0.12933	0.18954		0.59245	0.65621					0.08929	0.1055
2.8914		0.12839	0.18992		0.58851	0.65506					0.087804	0.10559
2.9013		0.12806	0.19074		0.57824	0.65438					0.084249	0.10572
2.9113		0.1291	0.19189		0.56927	0.65401					0.079717	0.10575
2.9213		0.13194	0.19315		0.56781	0.65375					0.075402	0.10603
2.9313		0.13541	0.1947		0.57236	0.6538					0.073053	0.10643
2.9413		0.13783	0.19625		0.5788	0.65395					0.074608	0.10723
2.9513		0.13763	0.19796		0.58333	0.65428					0.081782	0.10831
2.9612		0.13488	0.19976		0.58518	0.65474					0.09396	0.10957
2.9712		0.13059	0.20171		0.58541	0.65542					0.10915	0.11123
2.9812			0.20385			0.65604						0.11294
2.9912			0.20615			0.65682						0.11487
