Wavelength (µm)	<125 µm (357)
4.1440	0.46795
4.1473	0.46739
4.1506	0.46660
4.1540	0.46586
4.1573	0.46533
4.1606	0.46473
4.1640	0.46412
4.1673	0.46351
4.1707	0.46305
4.1740	0.46242
4.1774	0.46160
4.1808	0.46080
4.1841	0.46004
4.1875	0.45936
4.1909	0.45874
4.1943	0.45819
4.1977	0.45752
4.2011	0.45664
4.2045	0.45572
4.2079	0.45463
4.2113	0.45365
4.2147	0.45276
4.2182	0.45169
4.2216	0.45070
4.2250	0.44971
4.2285	0.44913
4.2319	0.44832
4.2354	0.44750
4.2389	0.44684
4.2423	0.44607
4.2458	0.44533
4.2493	0.44492
4.2528	0.44438
4.2563	0.44374
4.2598	0.44255
4.2633	0.44099
4.2668	0.43990
4.2703	0.43906
4.2738	0.43839
4.2773	0.43775
4.2809	0.43714
4.2844	0.43666
4.2880	0.43609
4.2915	0.43547
4.2951	0.43512
4.2986	0.43481
4.3022	0.43429
4.3058	0.43378
4.3093	0.43327
4.3129	0.43279
4.3165	0.43240
4.3201	0.43196
4.3237	0.43130
4.3273	0.43070
4.3309	0.43014
4.3346	0.42976
4.3382	0.42926
4.3418	0.42856
4.3455	0.42779
4.3491	0.42711
4.3528	0.42650
4.3564	0.42608
4.3601	0.42544
4.3637	0.42465
4.3674	0.42399
4.3711	0.42331
4.3748	0.42245
4.3785	0.42159
4.3822	0.42084
4.3859	0.42015
4.3896	0.41955
4.3933	0.41879
4.3971	0.41803
4.4008	0.41734
4.4045	0.41674
4.4083	0.41616
4.4120	0.41550
4.4158	0.41480
4.4196	0.41420
4.4233	0.41331
4.4271	0.41243
4.4309	0.41182
4.4347	0.41132
4.4385	0.41051
4.4423	0.40960
4.4461	0.40879
4.4499	0.40806
4.4537	0.40736
4.4576	0.40657
4.4614	0.40570
4.4652	0.40488
4.4691	0.40396
4.4729	0.40313
4.4768	0.40248
4.4807	0.40173
4.4845	0.40091
4.4884	0.40005
4.4923	0.39910
4.4962	0.39816
4.5001	0.39732
4.5040	0.39643
4.5079	0.39555
4.5119	0.39454
4.5158	0.39351
4.5197	0.39263
4.5237	0.39169
4.5276	0.39062
4.5316	0.38954
4.5356	0.38854
4.5395	0.38741
4.5435	0.38613
4.5475	0.38507
4.5515	0.38402
4.5555	0.38281
4.5595	0.38159
4.5635	0.38037
4.5675	0.37911
4.5715	0.37793
4.5756	0.37688
4.5796	0.37571
4.5837	0.37444
4.5877	0.37318
4.5918	0.37201
4.5959	0.37080
4.5999	0.36951
4.6040	0.36836
4.6081	0.36714
4.6122	0.36580
4.6163	0.36447
4.6204	0.36332
4.6246	0.36216
4.6287	0.36107
4.6328	0.35989
4.6370	0.35857
4.6411	0.35743
4.6453	0.35627
4.6494	0.35506
4.6536	0.35387
4.6578	0.35275
4.6620	0.35163
4.6662	0.35066
4.6704	0.34962
4.6746	0.34850
4.6788	0.34749
4.6830	0.34657
4.6873	0.34556
4.6915	0.34453
4.6958	0.34354
4.7000	0.34238
4.7043	0.34133
4.7086	0.34032
4.7129	0.33932
4.7171	0.33829
4.7214	0.33705
4.7257	0.33595
4.7301	0.33498
4.7344	0.33397
4.7387	0.33279
4.7430	0.33144
4.7474	0.33033
4.7517	0.32918
4.7561	0.32781
4.7605	0.32652
4.7648	0.32530
4.7692	0.32409
4.7736	0.32286
4.7780	0.32159
4.7824	0.32019
4.7868	0.31873
4.7913	0.31728
4.7957	0.31582
4.8001	0.31430
4.8046	0.31275
4.8090	0.31121
4.8135	0.30961
4.8180	0.30788
4.8225	0.30621
4.8269	0.30452
4.8314	0.30265
4.8359	0.30056
4.8405	0.29826
4.8450	0.29598
4.8495	0.29353
4.8541	0.29063
4.8586	0.28738
4.8632	0.28377
4.8677	0.27986
4.8723	0.27544
4.8769	0.27075
4.8815	0.26585
4.8861	0.26063
4.8907	0.25544
4.8953	0.25052
4.8999	0.24603
4.9046	0.24196
4.9092	0.23798
4.9139	0.23435
4.9185	0.23082
4.9232	0.22746
4.9279	0.22432
4.9326	0.22137
4.9373	0.21868
4.9420	0.21638
4.9467	0.21488
4.9514	0.21406
4.9562	0.21391
4.9609	0.21431
4.9656	0.21521
4.9704	0.21621
4.9752	0.21726
4.9800	0.21834
4.9847	0.21926
4.9895	0.21999
4.9943	0.22073
4.9992	0.22150
5.0040	0.22222
5.0088	0.22271
5.0137	0.22301
5.0185	0.22320
5.0234	0.22337
5.0283	0.22345
5.0331	0.22348
5.0380	0.22332
5.0429	0.22299
5.0478	0.22263
5.0528	0.22221
5.0577	0.22181
5.0626	0.22131
5.0676	0.22073
5.0725	0.21996
5.0775	0.21911
5.0825	0.21831
5.0875	0.21740
5.0925	0.21634
5.0975	0.21523
5.1025	0.21398
5.1075	0.21276
5.1126	0.21162
5.1176	0.21049
5.1227	0.20928
5.1277	0.20791
5.1328	0.20655
5.1379	0.20517
5.1430	0.20373
5.1481	0.20229
5.1532	0.20099
5.1583	0.19977
5.1635	0.19848
5.1686	0.19726
5.1738	0.19615
5.1790	0.19498
5.1841	0.19372
5.1893	0.19238
5.1945	0.19093
5.1997	0.18940
5.2050	0.18799
5.2102	0.18671
5.2154	0.18562
5.2207	0.18493
5.2259	0.18449
