Wavenumber (cm-1)	Wavelength (µm)	Wavelength (nm)	SynOl_Fo90
2426.0	4.1220	4122.0	0.66314
2424.1	4.1252	4125.2	0.66278
2422.2	4.1285	4128.5	0.66247
2420.3	4.1318	4131.8	0.66208
2418.3	4.1351	4135.1	0.66173
2416.4	4.1384	4138.4	0.66131
2414.5	4.1417	4141.7	0.66094
2412.5	4.1450	4145.0	0.66055
2410.6	4.1483	4148.3	0.66020
2408.7	4.1516	4151.6	0.65981
2406.7	4.1550	4155.0	0.65942
2404.8	4.1583	4158.3	0.65898
2402.9	4.1616	4161.6	0.65860
2401.0	4.1650	4165.0	0.65821
2399.1	4.1683	4168.3	0.65782
2397.1	4.1717	4171.7	0.65740
2395.2	4.1750	4175.0	0.65708
2393.3	4.1784	4178.4	0.65669
2391.3	4.1818	4181.8	0.65628
2389.4	4.1852	4185.2	0.65582
2387.5	4.1885	4188.5	0.65541
2385.6	4.1919	4191.9	0.65487
2383.6	4.1953	4195.3	0.65424
2381.7	4.1987	4198.7	0.65349
2379.8	4.2021	4202.1	0.65254
2377.8	4.2055	4205.5	0.65123
2375.9	4.2089	4208.9	0.64977
2373.9	4.2124	4212.4	0.64799
2372.0	4.2158	4215.8	0.64601
2370.1	4.2192	4219.2	0.64381
2368.2	4.2226	4222.6	0.64164
2366.2	4.2261	4226.1	0.63962
2364.3	4.2295	4229.5	0.63790
2362.4	4.2330	4233.0	0.63655
2360.4	4.2365	4236.5	0.63586
2358.5	4.2399	4239.9	0.63562
2356.6	4.2434	4243.4	0.63594
2354.7	4.2469	4246.9	0.63653
2352.8	4.2503	4250.3	0.63726
2350.8	4.2538	4253.8	0.63773
2348.9	4.2573	4257.3	0.63749
2347.0	4.2608	4260.8	0.63617
2345.1	4.2643	4264.3	0.63435
2343.1	4.2678	4267.8	0.63274
2341.2	4.2714	4271.4	0.63181
2339.2	4.2749	4274.9	0.63153
2337.3	4.2784	4278.4	0.63198
2335.4	4.2819	4281.9	0.63267
2333.4	4.2855	4285.5	0.63343
2331.5	4.2890	4289.0	0.63409
2329.6	4.2926	4292.6	0.63487
2327.7	4.2961	4296.1	0.63561
2325.7	4.2997	4299.7	0.63639
2323.8	4.3033	4303.3	0.63704
2321.9	4.3068	4306.8	0.63772
2320.0	4.3104	4310.4	0.63829
2318.0	4.3140	4314.0	0.63875
2316.1	4.3176	4317.6	0.63902
2314.2	4.3212	4321.2	0.63925
2312.2	4.3248	4324.8	0.63937
2310.3	4.3284	4328.4	0.63942
2308.4	4.3320	4332.0	0.63935
2306.5	4.3356	4335.6	0.63930
