Wavelength (nm),SynOl_Fo70
2261.4,0.86463
2262.4,0.86452
2263.4,0.86455
2264.4,0.86462
2265.4,0.86477
2266.3,0.86482
2267.3,0.86485
2268.3,0.86475
2269.3,0.86475
2270.3,0.86482
2271.3,0.86477
2272.3,0.8647
2273.3,0.86483
2274.3,0.86479
2275.3,0.86482
2276.3,0.86487
2277.3,0.86479
2278.3,0.86463
2279.3,0.86479
2280.3,0.86482
2281.3,0.8648
2282.3,0.86484
2283.3,0.86496
2284.3,0.86496
2285.3,0.86504
2286.3,0.86495
2287.3,0.86493
2288.4,0.865
2289.4,0.865
2290.4,0.86496
2291.4,0.86499
2292.4,0.86502
2293.4,0.86509
2294.4,0.86506
2295.4,0.865
2296.5,0.86494
2297.5,0.86506
2298.5,0.86502
2299.5,0.86487
2300.5,0.86484
2301.6,0.86484
2302.6,0.86477
2303.6,0.86485
2304.6,0.86477
2305.6,0.86473
2306.7,0.86475
2307.7,0.86472
2308.7,0.86463
2309.8,0.86467
2310.8,0.86473
2311.8,0.86488
2312.9,0.86503
2313.9,0.86513
2314.9,0.86512
2315.9,0.86516
2317.0,0.86518
2318.0,0.86529
2319.1,0.86538
2320.1,0.86549
2321.1,0.86551
2322.2,0.8655
2323.2,0.86545
2324.3,0.86564
2325.3,0.86569
2326.3,0.86565
2327.4,0.8657
2328.4,0.86573
2329.5,0.86558
2330.5,0.86552
2331.6,0.86558
2332.6,0.86558
2333.7,0.86554
2334.7,0.86566
2335.8,0.86552
2336.8,0.8655
2337.9,0.86561
2338.9,0.86571
2340.0,0.86555
2341.0,0.86556
2342.1,0.86546
2343.2,0.86535
2344.2,0.86539
2345.3,0.86546
2346.3,0.86538
2347.4,0.86539
2348.5,0.8653
2349.5,0.86536
2350.6,0.8654
2351.7,0.86541
2352.7,0.86543
2353.8,0.8656
2354.9,0.86567
2355.9,0.86563
2357.0,0.8656
2358.1,0.86577
2359.1,0.86591
2360.2,0.86593
2361.3,0.86587
2362.4,0.86586
2363.4,0.86589
2364.5,0.86587
2365.6,0.86579
2366.7,0.86583
2367.8,0.86593
2368.9,0.86599
2369.9,0.86588
2371.0,0.86593
2372.1,0.86598
2373.2,0.86604
2374.3,0.86607
2375.4,0.86607
2376.4,0.866
2377.5,0.86607
2378.6,0.86607
2379.7,0.8661
2380.8,0.8661
2381.9,0.86609
2383.0,0.86602
2384.1,0.86619
2385.2,0.86615
2386.3,0.86618
2387.4,0.86631
2388.5,0.86633
2389.6,0.86627
2390.7,0.86626
2391.8,0.86617
2392.9,0.86626
2394.0,0.86637
2395.1,0.86644
2396.2,0.86644
2397.3,0.86642
2398.4,0.86635
2399.6,0.86638
2400.7,0.86634
2401.8,0.86637
2402.9,0.86639
2404.0,0.86643
2405.1,0.86638
2406.2,0.86643
2407.4,0.8665
2408.5,0.86653
2409.6,0.86643
2410.7,0.86635
2411.8,0.86635
2412.9,0.86643
2414.1,0.86647
2415.2,0.86653
2416.3,0.86649
2417.4,0.86648
2418.6,0.86645
2419.7,0.86658
2420.8,0.86658
2422.0,0.8665
2423.1,0.86641
2424.2,0.8665
2425.4,0.86657
2426.5,0.86655
2427.6,0.86645
2428.8,0.86645
2429.9,0.86647
2431.1,0.86638
2432.2,0.86628
2433.3,0.86638
2434.5,0.8665
2435.6,0.86654
2436.8,0.86641
2437.9,0.86633
2439.1,0.86636
2440.2,0.86638
2441.4,0.86628
2442.5,0.86629
2443.6,0.86628
2444.8,0.86627
2446.0,0.8662
2447.1,0.86621
2448.3,0.86616
2449.4,0.86619
2450.6,0.8662
2451.7,0.86632
2452.9,0.86636
2454.1,0.86621
2455.2,0.86615
2456.4,0.8661
2457.6,0.86598
2458.7,0.86602
2459.9,0.86603
2461.1,0.86605
2462.2,0.86602
2463.4,0.86606
2464.6,0.86603
2465.7,0.86598
2466.9,0.86588
2468.1,0.86593
2469.3,0.86604
2470.4,0.86607
2471.6,0.86603
2472.8,0.86598
2474.0,0.86595
2475.1,0.86603
2476.3,0.86612
2477.5,0.86614
2478.7,0.86609
2479.9,0.86609
2481.1,0.86601
2482.3,0.86598
2483.4,0.86597
2484.6,0.86596
2485.8,0.86589
2487.0,0.86592
2488.2,0.8658
2489.4,0.86583
2490.6,0.86586
2491.8,0.86593
2493.0,0.8659
2494.2,0.86598
2495.4,0.86598
2496.6,0.86594
2497.8,0.8659
2499.0,0.86586
2500.2,0.86575
2501.4,0.86574
2502.6,0.86574
2503.8,0.86572
2505.0,0.86561
2506.3,0.86564
2507.5,0.86568
2508.7,0.8657
2509.9,0.86561
2511.1,0.86561
2512.3,0.8656
2513.5,0.86563
2514.8,0.86561
2516.0,0.86559
2517.2,0.86552
2518.4,0.86555
2519.6,0.86543
2520.9,0.86535
2522.1,0.86546
2523.3,0.86557
2524.6,0.86558
2525.8,0.86555
2527.0,0.86547
2528.3,0.86542
2529.5,0.8653
2530.7,0.86538
2531.9,0.86546
2533.2,0.86552
2534.4,0.86544
2535.7,0.86549
2536.9,0.86541
2538.1,0.86526
2539.4,0.8652
2540.6,0.86518
2541.9,0.86515
2543.1,0.86519
2544.4,0.86509
2545.6,0.86503
2546.9,0.86505
2548.1,0.86508
2549.4,0.86498
2550.6,0.86496
2551.9,0.86505
2553.1,0.86507
2554.4,0.8649
2555.7,0.86482
2556.9,0.86478
2558.2,0.86476
2559.4,0.86488
2560.7,0.86527
2562.0,0.86552
2563.2,0.86555
2564.5,0.86541
2565.8,0.86502
2567.1,0.86464
2568.3,0.86478
2569.6,0.86504
2570.9,0.86488
2572.1,0.86475
2573.4,0.86508
2574.7,0.86486
2576.0,0.86471
2577.3,0.8649
2578.5,0.86472
2579.8,0.86462
2581.1,0.86488
2582.4,0.8649
2583.7,0.86524
2585.0,0.86513
2586.3,0.86479
2587.5,0.86493
2588.8,0.86475
2590.1,0.86446
2591.4,0.86434
2592.7,0.86458
2594.0,0.8657
2595.3,0.86638
2596.6,0.86507
2597.9,0.86408
2599.2,0.86378
2600.5,0.86385
2601.8,0.8641
2603.1,0.8641
2604.4,0.86433
2605.8,0.86463
2607.1,0.86426
2608.4,0.86384
2609.7,0.86373
2611.0,0.86347
2612.3,0.86335
2613.6,0.86346
2614.9,0.86348
2616.3,0.86401
2617.6,0.86413
2618.9,0.86357
2620.2,0.86374
2621.6,0.86343
2622.9,0.86288
2624.2,0.86279
2625.5,0.86311
2626.9,0.86355
2628.2,0.86317
2629.5,0.86328
2630.9,0.86363
2632.2,0.86289
2633.5,0.86264
2634.9,0.86253
2636.2,0.8622
2637.6,0.86205
2638.9,0.86201
2640.2,0.86198
2641.6,0.86198
2642.9,0.86194
2644.3,0.86184
2645.6,0.86177
2647.0,0.86154
2648.3,0.86135
2649.7,0.86124
