Wavelength (µm) raw,BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum raw,Wavelength (µm) bin avg,BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum bin avg,Wavelength (µm) cubic spline of bin avg,BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum cubic spline of bin avg
0.97,0.880298,1.78347,0.914984,1.7834713725490197,0.9149840169841126
0.975,0.879515,1.79345,0.9151724999999999,1.7934523529411766,0.915172524907417
0.98,0.88011,1.80343,0.9152899999999999,1.8034333333333334,0.9152901242166129
0.985,0.87928,1.81341,0.915902,1.8134143137254903,0.9159022574958327
0.99,0.879979,1.8234,0.916274,1.8233952941176472,0.9162739075361699
0.995,0.879309,1.83338,0.916383,1.8333762745098041,0.9163829769374037
1.0,0.879368,1.84336,0.9164315000000001,1.8433572549019608,0.9164314919239915
1.005,0.879399,1.85334,0.9165179999999999,1.8533382352941177,0.9165179600790188
1.01,0.879899,1.86332,0.9164755,1.8633192156862746,0.9164755629084379
1.015,0.879421,1.8733,0.9154655,1.8733001960784315,0.9154654964445951
1.02,0.879817,1.88328,0.9161965,1.8832811764705883,0.9161965810394316
1.025,0.879096,1.89326,0.9160035,1.8932621568627452,0.9160032935116342
1.03,0.879728,1.90324,0.9150149999999999,1.9032431372549021,0.9150148709586696
1.035,0.879214,1.91322,0.914935,1.913224117647059,0.9149347494386133
1.04,0.879448,1.92321,0.9141245,1.923205098039216,0.9141244169891913
1.045,0.879013,1.93319,0.915224,1.9331860784313726,0.915223686171542
1.05,0.879322,1.94317,0.9153025,1.9431670588235295,0.9153024494788345
1.055,0.879145,1.95315,0.915881,1.9531480392156864,0.9158809044609382
1.06,0.879599,1.96313,0.9160699999999999,1.9631290196078433,0.91606998171422
1.065,0.879189,1.97311,0.9164055,1.9731100000000001,0.9164055
1.07,0.879664,1.98309,0.9166939999999999,1.983090980392157,0.9166940309641863
1.075,0.878779,1.99307,0.917104,1.993071960784314,0.9171040966805192
1.08,0.87922,2.00305,0.9176305,2.0030529411764704,0.917630655019908
1.085,0.879671,2.01303,0.917969,2.0130339215686273,0.9179689994655823
1.09,0.879951,2.02301,0.917915,2.023014901960784,0.9179151633406772
1.095,0.880528,2.033,0.9184295,2.032995882352941,0.9184294784721969
1.1,0.881027,2.04298,0.9180714999999999,2.042976862745098,0.9180715227874435
1.105,0.88059,2.05296,0.9182859999999999,2.052957843137255,0.918286041766617
1.11,0.881121,2.06294,0.9176930000000001,2.0629388235294117,0.9176930341214855
1.115,0.880801,2.07292,0.9180455000000001,2.0729198039215686,0.918045487635399
1.12,0.881659,2.0829,0.918491,2.0829007843137255,0.9184910130439274
1.125,0.880801,2.09288,0.918382,2.0928817647058824,0.9183819498044277
1.13,0.880934,2.10286,0.9182135,2.1028627450980393,0.9182135377017173
1.135,0.881408,2.11284,0.9185625,2.112843725490196,0.9185626035906538
1.14,0.881704,2.12282,0.9186350000000001,2.122824705882353,0.9186350080498151
1.145,0.881045,2.13281,0.9185795,2.13280568627451,0.9185796272924813
1.15,0.88177,2.14279,0.9180265000000001,2.142786666666667,0.9180267218070115
1.155,0.881077,2.15277,0.9175495,2.1527676470588237,0.9175495328021996
1.16,0.881635,2.16275,0.9175774999999999,2.16274862745098,0.9175775174381412
1.165,0.881735,2.17273,0.9174005000000001,2.172729607843137,0.9174004921636677
1.17,0.882111,2.18271,0.9180455000000001,2.182710588235294,0.9180455432047261
1.175,0.882053,2.19269,0.9185665000000001,2.192691568627451,0.9185665575924077
1.18,0.882477,2.20267,0.918751,2.2026725490196077,0.9187509789674497
1.185,0.881532,2.21265,0.9185765,2.2126535294117646,0.9185764974354278
1.19,0.882181,2.22263,0.9187635000000001,2.2226345098039215,0.9187635674418124
1.195,0.881839,2.23262,0.9186855,2.2326154901960784,0.9186856186193687
1.2,0.882418,2.2426,0.9186105,2.2425964705882353,0.9186103438006746
1.205,0.881849,2.25258,0.9193614999999999,2.252577450980392,0.9193613664590808
1.21,0.881998,2.26256,0.9196165,2.262558431372549,0.9196164237196431
1.215,0.881776,2.27254,0.9205135,2.272539411764706,0.9205134415508452
1.22,0.88199,2.28252,0.9213075,2.282520392156863,0.9213075244026857
1.225,0.882545,2.2925,0.9219284999999999,2.2925013725490198,0.9219286057999307
1.23,0.882542,2.30248,0.9228449999999999,2.3024823529411766,0.922845215596375
1.235,0.882403,2.31246,0.9236275,2.3124633333333335,0.9236277237048788
1.24,0.882845,2.32244,0.924203,2.32244431372549,0.9242032075845866
1.245,0.882847,2.33242,0.9247110000000001,2.332425294117647,0.924711349926745
1.25,0.882843,2.34241,0.9253765,2.3424062745098038,0.9253763506414465
1.255,0.88335,2.35239,0.925352,2.3523872549019607,0.9253520931398824
1.26,0.88298,2.36237,0.9246615,2.3623682352941175,0.9246617104390078
1.265,0.882684,2.37235,0.9232735000000001,2.3723492156862744,0.9232735892776442
1.27,0.883765,2.38233,0.922721,2.3823301960784313,0.9227209982819947
1.275,0.883685,2.39231,0.9228585,2.392311176470588,0.9228585283809305
1.28,0.883963,2.40229,0.9230430000000001,2.402292156862745,0.9230430195351483
1.285,0.884037,2.41227,0.9229445000000001,2.412273137254902,0.9229443916953984
1.29,0.884498,2.42225,0.9226080000000001,2.422254117647059,0.9226079928132701
1.295,0.884741,2.43223,0.9228305,2.432235098039216,0.9228305372255702
1.3,0.884962,2.44222,0.922554,2.4422160784313727,0.9225541711492438
1.305,0.885087,2.4522,0.9223574999999999,2.452197058823529,0.9223574261163527
1.31,0.885469,2.46218,0.9227810000000001,2.462178039215686,0.9227809777750227
1.315,0.885567,2.47216,0.9228434999999999,2.472159019607843,0.9228434258217784
1.32,0.886425,2.48214,0.9240124999999999,2.48214,0.9240124999999999
1.325,0.886586,2.49212,0.9239485000000001,2.4921209803921567,0.9239485312075703
1.33,0.886602,2.5021,0.9248321428571428,2.5021019607843136,0.9248322662386871
1.335,0.88705,2.51208,0.9248521249999999,2.5120829411764705,0.9248520898213825
1.34,0.8874,2.52206,0.9249275555555556,2.5220639215686274,0.924927608944916
1.345,0.887971,2.53204,0.9250313750000001,2.5320449019607842,0.9250314308184753
1.35,0.888048,2.54203,0.9251692499999999,2.542025882352941,0.9251691946038714
1.355,0.888406,2.55201,0.9252816250000001,2.552006862745098,0.9252815936642125
1.36,0.888436,2.56199,0.9253795714285715,2.561987843137255,0.9253795502523062
1.365,0.88855,2.57197,0.9254615,2.571968823529412,0.9254614943404967
1.37,0.888646,2.58195,0.925531125,2.5819498039215687,0.9255311217649286
1.375,0.888058,2.59193,0.925652125,2.5919307843137256,0.9256521144052329
1.38,0.888494,2.60191,0.9253034285714286,2.601911764705882,0.9253033740045493
1.385,0.889363,2.61189,0.9251735,2.611892745098039,0.925173481700423
1.39,0.889867,2.62187,0.92504825,2.621873725490196,0.925048178754182
1.395,0.889682,2.63185,0.9247378571428572,2.6318547058823527,0.9247376321294304
1.4,0.890121,2.64183,0.9241144285714286,2.6418356862745096,0.924114028449174
1.405,0.890287,2.65182,0.9230943750000001,2.6518166666666665,0.9230949230856151
1.41,0.890434,2.6618,0.9198940000000001,2.6617976470588234,0.919895271042001
1.415,0.890839,2.67178,0.9125015714285715,2.6717786274509803,0.9125027500497148
1.42,0.891128,2.68176,0.904687375,2.681759607843137,0.9046876087347527
1.425,0.892278,2.69174,0.9009355714285714,2.691740588235294,0.9009354337888267
1.43,0.893401,2.70172,0.89888,2.701721568627451,0.8988796647316959
1.435,0.893562,2.7117,0.8963978571428571,2.711702549019608,0.8963971557831495
1.44,0.894164,2.72168,0.8932325714285714,2.7216835294117647,0.8932312184211989
1.445,0.894388,2.73166,0.8886610000000001,2.7316645098039216,0.8886586670630032
1.45,0.894613,2.74164,0.8830762857142856,2.7416454901960785,0.883072988530055
1.455,0.895102,2.75163,0.8768731666666666,2.7516264705882354,0.8768753623357
1.46,0.89621,2.76161,0.8706455714285715,2.7616074509803923,0.8706472177286811
1.465,0.89646,2.77159,0.864098,2.7715884313725487,0.8640989955630544
1.47,0.896792,2.78157,0.8583331428571428,2.7815694117647056,0.8583334467485145
1.475,0.897389,2.79155,0.8536565,2.7915503921568625,0.8536563283851775
1.48,0.897745,2.80153,0.8494817142857143,2.8015313725490194,0.8494811739666078
1.485,0.897915,2.81151,0.8457263333333334,2.8115123529411763,0.8457254591206519
1.49,0.898274,2.82149,0.8420654285714286,2.821493333333333,0.842064263521113
1.495,0.898735,2.83147,0.8388028333333334,2.83147431372549,0.8388014893054381
1.5,0.899227,2.84145,0.8357468571428572,2.841455294117647,0.8357452501094479
1.505,0.899346,2.85144,0.8328465,2.851436274509804,0.8328474829575143
1.51,0.899614,2.86142,0.8303921666666666,2.8614172549019607,0.8303928524728718
1.515,0.900018,2.8714,0.827794857142857,2.8713982352941176,0.8277953077709373
1.52,0.90039,2.88138,0.8254315000000001,2.8813792156862745,0.8254316725001782
1.525,0.901744,2.89136,0.8234048333333334,2.8913601960784314,0.823404797147535
1.53,0.900742,2.90134,0.8216923333333334,2.9013411764705883,0.8216921381924299
1.535,0.901218,2.91132,0.8201498333333332,2.911322156862745,0.8201495520296859
1.54,0.901914,2.9213,0.8190006666666667,2.9213031372549016,0.8190002853800056
1.545,0.903021,2.93128,0.8177334285714286,2.9312841176470585,0.8177329763633534
1.55,0.901957,2.94126,0.8169399999999999,2.9412650980392154,0.816939701493181
1.555,0.903212,2.95125,0.8164676,2.9512460784313723,0.8164677423851869
1.56,0.903304,2.96123,0.8162111666666667,2.961227058823529,0.8162112112641657
1.565,0.903651,2.97121,0.8161553333333332,2.971208039215686,0.8161553273038644
1.57,0.903925,2.98119,0.8162568333333334,2.981189019607843,0.8162568170777145
1.575,0.9044,2.99117,0.8164726666666667,2.99117,0.8164726666666667
1.58,0.905118,,,,
