Wavelength (µm),Orthoclase nmnh142137.17360,Wavelength (µm) target,Orthoclase nmnh142137.17360 target
2.227827,0.813363,,
2.228785,0.813424,,
2.229744,0.813363,,
2.230703,0.813239,,
2.231663,0.813424,,
2.232625,0.813424,,
2.233587,0.813363,,
2.234549,0.813424,,
2.235513,0.81361,,
2.236477,0.813424,,
2.237442,0.813301,,
2.238408,0.813301,,
2.239375,0.813424,,
2.240343,0.81361,,
2.241312,0.813486,,
2.242281,0.813363,,
2.243252,0.813486,,
2.244223,0.813486,,
2.245195,0.813733,,
2.246168,0.813857,,
2.247141,0.813857,,
2.248116,0.813671,,
2.249091,0.813795,,
2.250067,0.81398,,
2.251044,0.81398,,
2.252022,0.813795,,
2.253,0.813918,,
2.25398,0.814042,,
2.254961,0.814289,,
2.255942,0.814412,,
2.256924,0.814351,,
2.257907,0.814289,,
2.258891,0.814412,,
2.259876,0.814351,,
2.260861,0.814351,,
2.261847,0.814536,,
2.262835,0.814844,,
2.263823,0.814844,,
2.264812,0.814783,,
2.265802,0.814721,,
2.266792,0.814783,,
2.267784,0.814906,,
2.268776,0.814906,,
2.26977,0.814968,,
2.270764,0.814844,,
2.271759,0.814844,,
2.272755,0.814968,,
2.273752,0.814968,,
2.27475,0.81503,,
2.275748,0.815091,,
2.276747,0.815215,,
2.277748,0.815215,,
2.278749,0.815153,,
2.279751,0.815153,,
2.280754,0.815215,,
2.281758,0.815215,,
2.282763,0.815338,,
2.283768,0.815462,,
2.284775,0.8154,,
2.285782,0.8154,,
2.286791,0.815338,,
2.2878,0.815277,,
2.28881,0.8154,,
2.289821,0.815277,,
2.290832,0.815277,,
2.291845,0.815215,,
2.292859,0.814968,,
2.293873,0.814906,,
2.294889,0.814906,,
2.295905,0.814783,,
2.296922,0.814721,,
2.29794,0.814659,,
2.29896,0.814721,,
2.299979,0.814597,,
2.301001,0.814412,,
2.302022,0.814351,,
2.303045,0.814351,,
2.304068,0.814165,,
2.305093,0.814165,,
2.306118,0.814227,,
2.307145,0.814289,,
2.308172,0.814289,,
2.309201,0.814351,,
2.31023,0.814289,,
2.31126,0.814412,,
2.31229,0.814289,,
2.313322,0.814289,,
2.314355,0.814165,,
2.315388,0.814165,,
2.316423,0.814289,,
2.317458,0.814351,,
2.318495,0.814351,,
2.319532,0.814289,,
2.32057,0.814042,,
2.321609,0.813918,,
2.32265,0.813918,,
2.323691,0.813857,,
2.324733,0.813671,,
2.325776,0.813857,,
2.32682,0.813733,,
2.327865,0.81361,,
2.32891,0.813486,,
2.329957,0.813424,,
2.331005,0.813671,,
2.332053,0.81361,,
2.333103,0.813424,,
2.334153,0.813177,,
2.335205,0.812931,,
2.336257,0.812869,,
2.33731,0.812931,,
2.338365,0.812807,,
2.33942,0.812807,,
2.340476,0.812622,,
2.341533,0.812622,,
2.342591,0.812684,,
2.34365,0.812375,,
2.34471,0.812313,,
2.345771,0.812437,,
2.346833,0.812313,,
2.347896,0.81219,,
2.34896,0.81219,,
2.350024,0.812313,,
2.35109,0.812128,,
2.352157,0.811943,,
2.353225,0.811943,,
2.354293,0.811943,,
2.355363,0.811943,,
2.356434,0.811881,,
2.357505,0.812004,,
2.358577,0.812066,,
2.359651,0.812251,,
2.360726,0.812066,,
2.361801,0.812251,,
2.362878,0.812313,,
2.363955,0.812251,,
2.365033,0.81219,,
2.366114,0.812128,,
2.367194,0.812066,,
2.368275,0.811881,,
2.369358,0.811943,,
2.370441,0.812004,,
2.371525,0.812128,,
2.372611,0.812004,,
2.373697,0.812128,,
2.374785,0.81256,,
2.375873,0.81256,,
2.376962,0.812498,,
2.378052,0.812745,,
2.379144,0.812807,,
2.380236,0.812807,,
2.38133,0.812869,,
2.382424,0.812931,,
2.383519,0.812807,,
2.384615,0.812807,,
2.385713,0.812807,,
2.386811,0.812931,,
2.387911,0.813054,,
2.389011,0.813116,,
2.390113,0.813177,,
2.391215,0.813301,,
2.392318,0.813486,,
2.393423,0.813486,,
2.394528,0.813486,,
2.395635,0.813424,,
2.396743,0.813548,,
2.397851,0.813733,,
2.398961,0.813795,,
2.400071,0.813857,,
2.401183,0.81398,,
2.402296,0.813857,,
2.40341,0.813918,,
2.404524,0.814104,,
2.40564,0.814351,,
2.406757,0.814351,,
2.407875,0.814412,,
2.408994,0.814412,,
2.410113,0.814597,,
2.411234,0.814597,,
2.412356,0.814412,,
2.413479,0.814474,,
2.414603,0.814474,,
2.415729,0.814536,,
2.416855,0.814536,,
2.417982,0.814597,,
2.419111,0.814597,,
2.42024,0.814659,,
2.421371,0.814536,,
2.422502,0.814597,,
2.423635,0.814536,,
2.424768,0.814289,,
2.425903,0.814165,,
2.427038,0.814227,,
2.428176,0.814289,,
2.429314,0.814227,,
2.430453,0.814104,,
2.431592,0.813918,,
2.432734,0.81398,,
2.433876,0.81398,,
2.435019,0.81398,,
2.436163,0.81398,,
2.437308,0.813857,,
2.438454,0.813918,,
2.439602,0.81398,,
2.44075,0.813733,,
2.4419,0.813486,,
2.443051,0.813424,,
2.444203,0.813486,,
2.445355,0.813424,,
2.44651,0.813363,,
2.447665,0.813116,,
2.448821,0.813054,,
2.449978,0.812931,,
2.451137,0.812992,,
2.452296,0.812869,,
2.453457,0.812622,,
2.454618,0.81256,,
2.455781,0.812437,,
2.456945,0.81219,,
2.45811,0.81219,,
2.459276,0.812066,,
