Wavelength (µm),Sanidine gds19.19863,Wavelength (µm) target,Sanidine gds19.19863 target
1.805,0.826087,,
1.815,0.826947,,
1.825,0.824762,,
1.835,0.82539,,
1.845,0.828799,,
1.855,0.825947,,
1.865,0.825653,,
1.875,0.826147,,
1.885,0.822694,,
1.895,0.82355,,
1.905,0.823145,,
1.915,0.818266,,
1.925,0.820498,,
1.935,0.82333,,
1.945,0.822477,,
1.955,0.823275,,
1.965,0.825512,,
1.975,0.827582,,
1.985,0.828957,,
1.995,0.831195,,
2.005,0.830904,,
2.015,0.825094,,
2.025,0.831737,,
2.035,0.83059,,
2.045,0.833427,,
2.055,0.831096,,
2.065,0.831186,,
2.075,0.828706,,
2.085,0.83334,,
2.095,0.838147,,
2.105,0.836369,,
2.115,0.838745,,
2.125,0.841353,,
2.135,0.841922,,
2.145,0.837873,,
2.155,0.836584,,
2.165,0.836215,,
2.175,0.832405,,
2.185,0.831486,,
2.195,0.832159,,
2.205,0.827313,,
2.215,0.833465,,
2.225,0.831547,,
2.235,0.830854,,
2.245,0.828049,,
2.255,0.824434,,
2.265,0.832178,,
2.275,0.831883,,
2.285,0.831221,,
2.295,0.839149,,
2.305,0.827434,,
2.315,0.83178,,
2.325,0.838777,,
2.335,0.83705,,
2.345,0.83761,,
2.355,0.836748,,
2.365,0.835707,,
2.375,0.842734,,
2.386,0.840589,,
2.4,0.835922,,
2.418,0.837383,,
2.44,0.830988,,
2.466,0.829341,,
2.496,0.830144,,
2.528,0.824532,,
2.56,0.823712,,
2.592,0.817899,,
2.624,0.826442,,
2.656,0.823047,,
2.688,0.793242,,
2.72,0.757355,,
2.752,0.652558,,
2.784,0.61199,,
2.816,0.589641,,
2.848,0.567325,,
2.88,0.586171,,
2.912,0.550562,,
2.944,0.546885,,
2.976,0.562335,,
