Wavelength (µm),Microcline hs108.13761,Wavelength (µm) target,Microcline hs108.13761 target
2.120309,0.762737,,
2.121176,0.762935,,
2.122045,0.762836,,
2.122913,0.762539,,
2.123783,0.762935,,
2.124654,0.763429,,
2.125525,0.763627,,
2.126396,0.763429,,
2.127269,0.763132,,
2.128142,0.76333,,
2.129016,0.763528,,
2.129891,0.763825,,
2.130766,0.763726,,
2.131642,0.763726,,
2.132519,0.763825,,
2.133397,0.764022,,
2.134275,0.763924,,
2.135154,0.763726,,
2.136034,0.763726,,
2.136914,0.76422,,
2.137795,0.764517,,
2.138677,0.76422,,
2.13956,0.764319,,
2.140444,0.764616,,
2.141328,0.764715,,
2.142213,0.764715,,
2.143099,0.765209,,
2.143985,0.765209,,
2.144872,0.76511,,
2.14576,0.76511,,
2.146648,0.765407,,
2.147537,0.765803,,
2.148427,0.765605,,
2.149318,0.765308,,
2.150209,0.765407,,
2.151101,0.765506,,
2.151994,0.765605,,
2.152888,0.765605,,
2.153783,0.765901,,
2.154678,0.766396,,
2.155574,0.766495,,
2.15647,0.766198,,
2.157368,0.766099,,
2.158266,0.766396,,
2.159165,0.766198,,
2.160064,0.766099,,
2.160964,0.766495,,
2.161865,0.767088,,
2.162767,0.767484,,
2.16367,0.766989,,
2.164573,0.766594,,
2.165478,0.766693,,
2.166383,0.766791,,
2.167288,0.766989,,
2.168195,0.766989,,
2.169102,0.767088,,
2.17001,0.767484,,
2.170919,0.767385,,
2.171828,0.767385,,
2.172739,0.767484,,
2.17365,0.767286,,
2.174561,0.767088,,
2.175474,0.766418,,
2.176387,0.766251,,
2.177301,0.766586,,
2.178216,0.767004,,
2.179132,0.766921,,
2.180048,0.766083,,
2.180965,0.766334,,
2.181883,0.766502,,
2.182801,0.766251,,
2.183721,0.765832,,
2.184641,0.765748,,
2.185562,0.766083,,
2.186484,0.766167,,
2.187407,0.765748,,
2.18833,0.765413,,
2.189254,0.765748,,
2.190179,0.765413,,
2.191105,0.765162,,
2.192032,0.765329,,
2.192959,0.765581,,
2.193887,0.765664,,
2.194816,0.765162,,
2.195745,0.764743,,
2.196676,0.764911,,
2.197607,0.765413,,
2.198539,0.765413,,
2.199472,0.765078,,
2.200405,0.764994,,
2.201339,0.765162,,
2.202275,0.764911,,
2.203211,0.764911,,
2.204147,0.765329,,
2.205085,0.765078,,
2.206023,0.765329,,
2.206962,0.765162,,
2.207902,0.765162,,
2.208843,0.765664,,
2.209784,0.765664,,
2.210727,0.765329,,
2.21167,0.765413,,
2.212614,0.765748,,
2.213559,0.765748,,
2.214504,0.765581,,
2.215451,0.765581,,
2.216398,0.765748,,
2.217346,0.765497,,
2.218295,0.765748,,
2.219244,0.765497,,
2.220195,0.765246,,
2.221146,0.764911,,
2.222098,0.764911,,
2.223051,0.765162,,
2.224005,0.764911,,
2.224959,0.765078,,
2.225914,0.765329,,
2.226871,0.765497,,
2.227827,0.765329,,
2.228785,0.765078,,
2.229744,0.765078,,
2.230703,0.764994,,
2.231663,0.764911,,
2.232625,0.765078,,
2.233587,0.765413,,
2.234549,0.765581,,
2.235513,0.765581,,
2.236477,0.765497,,
2.237442,0.765413,,
2.238408,0.765581,,
2.239375,0.765664,,
2.240343,0.765581,,
2.241312,0.765329,,
2.242281,0.765246,,
2.243252,0.764994,,
2.244223,0.764827,,
2.245195,0.764576,,
2.246168,0.764157,,
2.247141,0.764241,,
2.248116,0.764659,,
2.249091,0.764408,,
2.250067,0.764325,,
2.251044,0.764073,,
2.252022,0.764659,,
2.253,0.764911,,
2.25398,0.764492,,
2.254961,0.764157,,
2.255942,0.764073,,
2.256924,0.764241,,
2.257907,0.764492,,
2.258891,0.764576,,
2.259876,0.764325,,
2.260861,0.76399,,
2.261847,0.764241,,
2.262835,0.764576,,
2.263823,0.764325,,
2.264812,0.764241,,
2.265802,0.764408,,
2.266792,0.764325,,
2.267784,0.76399,,
2.268776,0.764241,,
2.26977,0.764325,,
2.270764,0.764157,,
2.271759,0.764157,,
2.272755,0.764492,,
2.273752,0.764576,,
2.27475,0.764492,,
2.275748,0.764157,,
2.276747,0.763906,,
2.277748,0.763487,,
2.278749,0.76332,,
2.279751,0.763403,,
2.280754,0.763236,,
2.281758,0.762901,,
2.282763,0.762901,,
2.283768,0.76332,,
2.284775,0.763403,,
2.285782,0.762901,,
2.286791,0.762315,,
2.2878,0.762482,,
2.28881,0.762482,,
2.289821,0.762733,,
2.290832,0.763068,,
2.291845,0.763068,,
2.292859,0.76265,,
