Wavelength (µm),Sanidine gds19.19876,Wavelength (µm) target,Sanidine gds19.19876 target
1.717745,0.835073,,
1.718314,0.835073,,
1.718884,0.83518,,
1.719454,0.835395,,
1.720024,0.835287,,
1.720595,0.835341,,
1.721167,0.835502,,
1.721738,0.835234,,
1.72231,0.835663,,
1.722883,0.83577,,
1.723455,0.835502,,
1.724029,0.835556,,
1.724602,0.835609,,
1.725176,0.835877,,
1.72575,0.836039,,
1.726325,0.836146,,
1.7269,0.836146,,
1.727476,0.835985,,
1.728051,0.836092,,
1.728628,0.836092,,
1.729204,0.83636,,
1.729781,0.83636,,
1.730358,0.83636,,
1.730936,0.836414,,
1.731514,0.836521,,
1.732093,0.836468,,
1.732672,0.836682,,
1.733251,0.836897,,
1.733831,0.837273,,
1.734411,0.83738,,
1.734991,0.837112,,
1.735572,0.837058,,
1.736153,0.837487,,
1.736735,0.837756,,
1.737317,0.83797,,
1.7379,0.838185,,
1.738482,0.83797,,
1.739066,0.838131,,
1.739649,0.8384,,
1.740233,0.838561,,
1.740817,0.838722,,
1.741402,0.83899,,
1.741987,0.838936,,
1.742573,0.83899,,
1.743159,0.839258,,
1.743745,0.839205,,
1.744332,0.839634,,
1.744919,0.840117,,
1.745506,0.840278,,
1.746094,0.840332,,
1.746683,0.840439,,
1.747271,0.840546,,
1.74786,0.8406,,
1.74845,0.840707,,
1.74904,0.840761,,
1.74963,0.840761,,
1.750221,0.840707,,
1.750812,0.841029,,
1.751403,0.841405,,
1.751995,0.841405,,
1.752588,0.841781,,
1.75318,0.841834,,
1.753773,0.841727,,
1.754367,0.841781,,
1.754961,0.841888,,
1.755555,0.842317,,
1.75615,0.842639,,
1.756745,0.8428,,
1.75734,0.842854,,
1.757936,0.8428,,
1.758533,0.842854,,
1.759129,0.843015,,
1.759726,0.843122,,
1.760324,0.843283,,
1.760922,0.843552,,
1.76152,0.843605,,
1.762119,0.843552,,
1.762718,0.843713,,
1.763318,0.843981,,
1.763918,0.843981,,
1.764518,0.844357,,
1.765119,0.844518,,
1.76572,0.844518,,
1.766322,0.844571,,
1.766924,0.844839,,
1.767526,0.844893,,
1.768129,0.845,,
1.768732,0.845269,,
1.769336,0.845322,,
1.76994,0.845108,,
1.770545,0.845161,,
1.771149,0.845215,,
1.771755,0.84543,,
1.77236,0.845537,,
1.772967,0.845537,,
1.773573,0.84543,,
1.77418,0.84543,,
1.774787,0.845644,,
1.775395,0.845859,,
1.776004,0.845966,,
1.776612,0.845966,,
1.777221,0.845913,,
1.777831,0.845859,,
1.778441,0.845805,,
1.779051,0.845859,,
1.779662,0.845805,,
1.780273,0.845913,,
1.780884,0.84602,,
1.781496,0.84602,,
1.782109,0.84602,,
1.782721,0.84602,,
1.783335,0.846074,,
1.783948,0.84602,,
1.784562,0.846127,,
1.785177,0.846342,,
1.785792,0.846342,,
1.786407,0.846181,,
1.787023,0.845966,,
1.787639,0.84602,,
1.788256,0.846181,,
1.788873,0.845859,,
1.789491,0.845859,,
1.790108,0.845913,,
1.790727,0.846074,,
1.791346,0.846074,,
1.791965,0.846074,,
1.792585,0.846181,,
1.793205,0.846181,,
1.793825,0.846127,,
1.794446,0.846074,,
1.795067,0.846235,,
1.795689,0.845966,,
1.796311,0.846127,,
1.796934,0.845966,,
1.797557,0.845913,,
1.79818,0.846074,,
1.798804,0.846235,,
1.799429,0.846127,,
1.800053,0.84602,,
1.800679,0.84602,,
1.801304,0.845859,,
1.801931,0.845913,,
1.802557,0.84602,,
1.803184,0.846181,,
1.803812,0.846181,,
1.804439,0.84602,,
1.805068,0.84602,,
1.805696,0.845913,,
1.806326,0.845966,,
1.806955,0.845966,,
1.807585,0.845966,,
1.808216,0.846127,,
1.808847,0.846342,,
1.809478,0.846235,,
1.81011,0.846181,,
1.810742,0.846235,,
1.811375,0.846127,,
1.812008,0.846127,,
1.812641,0.846503,,
1.813275,0.846718,,
