Wavelength (µm) raw,Icelandic pillow lava JB602F raw,Wavelength (µm) bin avg,Icelandic pillow lava JB602F bin avg,Wavelength (µm) cubic spline of bin avg,Icelandic pillow lava JB602F cubic spline of bin avg
1.3674,0.12512,2.98119,0.03385666666666667,2.981189019607843,0.03385663444732746
1.3678,0.12518,2.99117,0.03409333333333334,2.99117,0.03409333333333334
1.3681,0.1252,,,,
1.3685,0.12523,,,,
1.3688,0.12528,,,,
1.3692,0.12526,,,,
1.3696,0.12527,,,,
1.3699,0.12531,,,,
1.3703,0.1253,,,,
1.3707,0.12533,,,,
1.371,0.12541,,,,
1.3714,0.12542,,,,
1.3717,0.12542,,,,
1.3721,0.1255,,,,
1.3725,0.12552,,,,
1.3728,0.1255,,,,
1.3732,0.12552,,,,
1.3736,0.12554,,,,
1.3739,0.12564,,,,
1.3743,0.12567,,,,
1.3746,0.12561,,,,
1.375,0.1256,,,,
1.3754,0.1256,,,,
1.3757,0.12561,,,,
1.3761,0.1257,,,,
1.3765,0.12581,,,,
1.3768,0.12585,,,,
1.3772,0.12586,,,,
1.3776,0.12587,,,,
1.3779,0.12585,,,,
1.3783,0.12582,,,,
1.3787,0.12592,,,,
1.379,0.12597,,,,
1.3794,0.12593,,,,
1.3798,0.12599,,,,
1.3801,0.12605,,,,
1.3805,0.12602,,,,
1.3809,0.12597,,,,
1.3812,0.12596,,,,
1.3816,0.12602,,,,
1.382,0.12613,,,,
1.3823,0.12614,,,,
1.3827,0.12616,,,,
1.3831,0.12621,,,,
1.3834,0.12621,,,,
1.3838,0.12627,,,,
1.3842,0.12626,,,,
1.3846,0.12621,,,,
1.3849,0.12622,,,,
1.3853,0.12629,,,,
1.3857,0.12634,,,,
1.386,0.12643,,,,
1.3864,0.12642,,,,
1.3868,0.12641,,,,
1.3872,0.12651,,,,
1.3875,0.12649,,,,
1.3879,0.12645,,,,
1.3883,0.12658,,,,
1.3886,0.1266,,,,
1.389,0.12654,,,,
1.3894,0.12658,,,,
1.3898,0.12665,,,,
1.3901,0.1267,,,,
1.3905,0.12677,,,,
1.3909,0.12678,,,,
1.3912,0.12678,,,,
1.3916,0.12677,,,,
1.392,0.12677,,,,
1.3924,0.12681,,,,
1.3927,0.12688,,,,
1.3931,0.12696,,,,
1.3935,0.12702,,,,
1.3939,0.127,,,,
1.3942,0.12697,,,,
1.3946,0.12704,,,,
1.395,0.12712,,,,
1.3954,0.12709,,,,
1.3957,0.12703,,,,
1.3961,0.12705,,,,
1.3965,0.12708,,,,
1.3969,0.12716,,,,
1.3972,0.12724,,,,
1.3976,0.12724,,,,
1.398,0.12724,,,,
1.3984,0.12729,,,,
1.3988,0.12731,,,,
1.3991,0.12735,,,,
1.3995,0.12746,,,,
1.3999,0.12748,,,,
1.4003,0.12742,,,,
1.4006,0.12749,,,,
1.401,0.12763,,,,
1.4014,0.12768,,,,
1.4018,0.12765,,,,
1.4022,0.12761,,,,
1.4025,0.12756,,,,
1.4029,0.12759,,,,
1.4033,0.12769,,,,
1.4037,0.12779,,,,
1.4041,0.1278,,,,
1.4044,0.12777,,,,
1.4048,0.1277,,,,
1.4052,0.12773,,,,
1.4056,0.12789,,,,
1.406,0.12796,,,,
1.4063,0.12795,,,,
1.4067,0.12799,,,,
1.4071,0.12809,,,,
1.4075,0.12818,,,,
1.4079,0.12821,,,,
1.4083,0.12817,,,,
1.4086,0.12816,,,,
1.409,0.12822,,,,
1.4094,0.12826,,,,
1.4098,0.12823,,,,
1.4102,0.12818,,,,
1.4106,0.12828,,,,
1.4109,0.12847,,,,
1.4113,0.1285,,,,
1.4117,0.12838,,,,
1.4121,0.12835,,,,
1.4125,0.12846,,,,
1.4128,0.12855,,,,
1.4132,0.12856,,,,
1.4136,0.12855,,,,
1.414,0.12854,,,,
1.4144,0.12855,,,,
1.4148,0.1286,,,,
1.4152,0.12864,,,,
1.4156,0.12874,,,,
1.4159,0.12878,,,,
1.4163,0.12884,,,,
1.4167,0.12891,,,,
1.4171,0.12895,,,,
1.4175,0.12891,,,,
1.4179,0.12889,,,,
1.4183,0.12893,,,,
1.4187,0.12897,,,,
1.419,0.12905,,,,
1.4194,0.12909,,,,
1.4198,0.12908,,,,
1.4202,0.12915,,,,
1.4206,0.12923,,,,
1.421,0.12926,,,,
1.4214,0.12922,,,,
1.4218,0.12919,,,,
1.4222,0.12928,,,,
1.4225,0.12943,,,,
1.4229,0.12941,,,,
1.4233,0.1294,,,,
1.4237,0.12947,,,,
1.4241,0.12947,,,,
1.4245,0.1295,,,,
1.4249,0.12958,,,,
1.4253,0.12967,,,,
1.4257,0.12969,,,,
1.4261,0.1297,,,,
1.4265,0.1297,,,,
1.4268,0.12975,,,,
1.4272,0.12975,,,,
1.4276,0.1298,,,,
1.428,0.1299,,,,
1.4284,0.12998,,,,
1.4288,0.13,,,,
1.4292,0.13,,,,
1.4296,0.13002,,,,
1.43,0.13012,,,,
1.4304,0.13015,,,,
1.4308,0.1301,,,,
1.4312,0.13019,,,,
1.4316,0.13029,,,,
1.432,0.13033,,,,
1.4324,0.13032,,,,
1.4328,0.13029,,,,
1.4332,0.13032,,,,
1.4336,0.13041,,,,
1.4339,0.13047,,,,
1.4343,0.13054,,,,
1.4348,0.13058,,,,
1.4351,0.13059,,,,
1.4355,0.1306,,,,
1.4359,0.13066,,,,
1.4363,0.13063,,,,
1.4367,0.1307,,,,
1.4371,0.13082,,,,
1.4375,0.13086,,,,
1.4379,0.13085,,,,
1.4383,0.13088,,,,
1.4387,0.13092,,,,
1.4391,0.13097,,,,
1.4395,0.131,,,,
1.4399,0.13104,,,,
1.4403,0.13113,,,,
1.4407,0.13117,,,,
1.4411,0.13116,,,,
1.4415,0.13116,,,,
1.4419,0.13121,,,,
1.4423,0.13126,,,,
1.4427,0.1313,,,,
1.4431,0.13132,,,,
1.4435,0.13132,,,,
1.4439,0.13141,,,,
1.4443,0.13151,,,,
1.4447,0.13157,,,,
1.4451,0.13151,,,,
1.4456,0.13145,,,,
1.4459,0.13158,,,,
1.4463,0.1317,,,,
1.4468,0.13166,,,,
1.4472,0.13163,,,,
1.4476,0.13167,,,,
1.448,0.13173,,,,
1.4484,0.13185,,,,
1.4488,0.1319,,,,
1.4492,0.13193,,,,
1.4496,0.13197,,,,
1.45,0.132,,,,
1.4504,0.13203,,,,
1.4508,0.13209,,,,
1.4512,0.13215,,,,
1.4516,0.13222,,,,
1.452,0.13222,,,,
1.4524,0.13225,,,,
1.4528,0.13234,,,,
1.4532,0.13231,,,,
1.4537,0.13229,,,,
1.4541,0.13234,,,,
1.4545,0.13238,,,,
1.4549,0.1324,,,,
1.4553,0.13249,,,,
1.4557,0.13251,,,,
1.4561,0.13252,,,,
1.4565,0.13258,,,,
1.4569,0.13262,,,,
1.4573,0.13261,,,,
1.4577,0.1326,,,,
1.4582,0.13263,,,,
1.4586,0.13273,,,,
1.459,0.13277,,,,
1.4594,0.13275,,,,
1.4598,0.1328,,,,
1.4602,0.13285,,,,
1.4606,0.13293,,,,
1.461,0.13297,,,,
1.4614,0.13293,,,,
1.4618,0.13297,,,,
1.4623,0.13302,,,,
1.4627,0.1331,,,,
1.4631,0.13322,,,,
1.4635,0.13319,,,,
1.4639,0.13317,,,,
1.4643,0.13321,,,,
1.4647,0.13324,,,,
1.4652,0.13335,,,,
1.4656,0.13341,,,,
