Wavelength (µm) raw,Haleakala tephra JB395B 45-125 raw,Wavelength (µm) bin avg,Haleakala tephra JB395B 45-125 bin avg,Wavelength (µm) cubic spline of bin avg,Haleakala tephra JB395B 45-125 cubic spline of bin avg
1.4333,0.19877,,,,
1.4349,0.19906,,,,
1.4365,0.19913,,,,
1.4381,0.19915,,,,
1.4397,0.19908,,,,
1.4413,0.19908,,,,
1.4429,0.19929,,,,
1.4445,0.19946,,,,
1.4461,0.19933,,,,
1.4477,0.19907,,,,
1.4493,0.19923,,,,
1.451,0.1995,,,,
1.4526,0.19972,,,,
1.4542,0.19992,,,,
1.4559,0.19988,,,,
1.4575,0.1997,,,,
1.4591,0.19946,,,,
1.4608,0.19944,,,,
1.4624,0.19964,,,,
1.4641,0.19971,,,,
1.4657,0.19974,,,,
1.4674,0.19991,,,,
1.4691,0.19985,,,,
1.4707,0.19958,,,,
1.4724,0.19964,,,,
1.4741,0.2,,,,
1.4758,0.2002,,,,
1.4774,0.20038,,,,
1.4791,0.20045,,,,
1.4808,0.20062,,,,
1.4825,0.2006,,,,
1.4842,0.20048,,,,
1.4859,0.2005,,,,
1.4876,0.20034,,,,
1.4893,0.20026,,,,
1.491,0.20027,,,,
1.4928,0.20065,,,,
1.4945,0.20099,,,,
1.4962,0.20066,,,,
1.4979,0.2005,,,,
1.4997,0.20074,,,,
1.5014,0.20112,,,,
1.5032,0.20102,,,,
1.5049,0.20039,,,,
1.5066,0.20036,,,,
1.5084,0.20069,,,,
1.5102,0.20083,,,,
1.5119,0.20077,,,,
1.5137,0.20081,,,,
1.5155,0.2012,,,,
1.5172,0.20155,,,,
1.519,0.20154,,,,
1.5208,0.20133,,,,
1.5226,0.20136,,,,
1.5244,0.2013,,,,
1.5262,0.20149,,,,
1.528,0.20176,,,,
1.5298,0.20172,,,,
1.5316,0.20169,,,,
1.5334,0.20168,,,,
1.5352,0.20154,,,,
1.537,0.20145,,,,
1.5389,0.20155,,,,
1.5407,0.20179,,,,
1.5425,0.2022,,,,
1.5444,0.20238,,,,
1.5462,0.20239,,,,
1.548,0.20234,,,,
1.5499,0.20244,,,,
1.5518,0.2024,,,,
1.5536,0.2023,,,,
1.5555,0.20221,,,,
1.5574,0.20225,,,,
1.5592,0.20246,,,,
1.5611,0.20258,,,,
1.563,0.20249,,,,
1.5649,0.20231,,,,
1.5668,0.20227,,,,
1.5687,0.20232,,,,
1.5706,0.20251,,,,
1.5725,0.20251,,,,
1.5744,0.20258,,,,
1.5763,0.20249,,,,
1.5782,0.20237,,,,
1.5801,0.20246,,,,
1.5821,0.20288,,,,
1.584,0.20302,,,,
1.5859,0.20284,,,,
1.5879,0.20282,,,,
1.5898,0.2028,,,,
1.5918,0.20288,,,,
1.5937,0.20311,,,,
1.5957,0.20307,,,,
1.5977,0.20313,,,,
1.5997,0.20313,,,,
1.6016,0.20302,,,,
1.6036,0.20295,,,,
1.6056,0.20294,,,,
1.6076,0.20304,,,,
1.6096,0.20302,,,,
1.6116,0.20309,,,,
1.6136,0.20326,,,,
1.6156,0.20344,,,,
1.6176,0.20355,,,,
1.6196,0.20349,,,,
1.6217,0.20352,,,,
1.6237,0.20343,,,,
1.6257,0.20335,,,,
1.6278,0.20343,,,,
1.6298,0.2035,,,,
1.6319,0.20324,,,,
1.6339,0.20321,,,,
1.636,0.20352,,,,
1.6381,0.2038,,,,
1.6401,0.20382,,,,
1.6422,0.20368,,,,
1.6443,0.20363,,,,
1.6464,0.20394,,,,
1.6485,0.2039,,,,
1.6506,0.2038,,,,
1.6527,0.20386,,,,
1.6548,0.20396,,,,
1.6569,0.20395,,,,
1.659,0.20388,,,,
1.6612,0.20389,,,,
1.6633,0.20419,,,,
1.6654,0.20431,,,,
1.6676,0.20414,,,,
1.6697,0.20413,,,,
1.6719,0.20424,,,,
1.6741,0.2043,,,,
1.6762,0.20423,,,,
1.6784,0.20421,,,,
1.6806,0.20436,,,,
1.6827,0.20445,,,,
1.6849,0.20435,,,,
1.6871,0.20444,,,,
1.6893,0.20443,,,,
1.6915,0.20444,,,,
1.6937,0.20468,,,,
1.696,0.20471,,,,
1.6982,0.20459,,,,
1.7004,0.20481,,,,
1.7027,0.20496,,,,
1.7049,0.20485,,,,
1.7071,0.20471,,,,
1.7094,0.20471,,,,
1.7116,0.20489,,,,
1.7139,0.20479,,,,
1.7162,0.20462,,,,
1.7185,0.20482,,,,
1.7207,0.20484,,,,
1.723,0.20483,,,,
1.7253,0.20502,,,,
1.7276,0.20491,,,,
1.7299,0.20481,,,,
1.7322,0.2051,,,,
1.7346,0.20526,,,,
1.7369,0.205,,,,
1.7392,0.20491,,,,
1.7416,0.20509,,,,
1.7439,0.20494,,,,
1.7462,0.20498,,,,
1.7486,0.20512,,,,
1.751,0.20507,,,,
1.7533,0.20519,,,,
1.7557,0.20533,,,,
1.7581,0.2055,,,,
1.7605,0.20552,,,,
1.7629,0.20544,,,,
1.7653,0.20517,,,,
1.7677,0.20509,,,,
1.7701,0.2052,,,,
1.7725,0.20548,,,,
1.775,0.20553,,,,
1.7774,0.20551,,,,
1.7798,0.20567,,,,
1.7823,0.20559,,,,
1.7847,0.20561,,,,
1.7872,0.20569,,,,
1.7897,0.20576,,,,
1.7921,0.2057,,,,
1.7946,0.20546,,,,
1.7971,0.20567,,,,
1.7996,0.2058,,,,
1.8021,0.20565,,,,
1.8046,0.20576,,,,
1.8071,0.20598,,,,
1.8097,0.20613,,,,
1.8122,0.20609,,,,
1.8147,0.20595,,,,
1.8173,0.20576,,,,
1.8198,0.20581,,,,
1.8224,0.20603,,,,
1.825,0.20624,,,,
1.8275,0.20605,,,,
1.8301,0.2063,,,,
1.8327,0.2065,,,,
1.8353,0.20635,,,,
1.8379,0.20633,,,,
1.8405,0.20656,,,,
1.8431,0.20667,,,,
1.8458,0.20649,,,,
1.8484,0.20648,,,,
1.851,0.2063,,,,
1.8537,0.20618,,,,
1.8563,0.20634,,,,
1.859,0.20633,,,,
1.8617,0.20651,,,,
1.8643,0.20667,,,,
1.867,0.20644,,,,
1.8697,0.20637,,,,
1.8724,0.20661,,,,
1.8751,0.20655,,,,
1.8779,0.20641,,,,
1.8806,0.20628,,,,
1.8833,0.20615,,,,
1.8861,0.20595,,,,
1.8888,0.20569,,,,
1.8916,0.20551,,,,
1.8943,0.20526,,,,
1.8971,0.20475,,,,
1.8999,0.20433,,,,
1.9027,0.20393,,,,
1.9055,0.20367,,,,
1.9083,0.20357,,,,
1.9111,0.20323,,,,
1.9139,0.2031,,,,
1.9167,0.20326,,,,
1.9196,0.20339,,,,
1.9224,0.20351,,,,
1.9253,0.20371,,,,
1.9282,0.20388,,,,
1.931,0.20395,,,,
1.9339,0.20413,,,,
1.9368,0.2043,,,,
1.9397,0.20457,,,,
1.9426,0.20461,,,,
1.9455,0.20467,,,,
1.9484,0.20482,,,,
1.9514,0.20506,,,,
1.9543,0.20518,,,,
1.9573,0.20528,,,,
