Step Size,Wavelength (µm),"Strip 325 330, morning/midday, lat 30 - Back","Strip 325 330, morning/midday, lat 30","Strip 325 330, morning/midday, lat 0 - Back","Strip 325 330, morning/midday, lat 0","Strip 325 330, morning/midday, lat -30 - Back","Strip 325 330, morning/midday, lat -30","Strip 295 305, morning/midday, lat 60 - Back","Strip 295 305, morning/midday, lat 60","Strip 295 305, morning/midday, lat 30 - Back","Strip 295 305, morning/midday, lat 30","Strip 295 305, morning/midday, lat 0 - Back","Strip 295 305, morning/midday, lat 0","Strip 295 305, morning/midday, lat -30 - Back","Strip 295 305, morning/midday, lat -30","Strip 240 250, morning/midday, lat 60 - Back","Strip 240 250, morning/midday, lat 60","Strip 240 250, morning/midday, lat 30 - Back","Strip 240 250, morning/midday, lat 30","Back = Strip 240 250, morning/midday, lat -30"
0.0399,1.7785,-0.025433,0.97823,0.0017678,1.0054,0.010149,1.0138,0.0037867,1.0074,0.0024568,1.0061,-0.0019388,1.0017,0.0046465,1.0083,-0.019275,0.98439,0.0017973,1.0055,1.0037
0.0399,1.8184,-0.018134,0.98172,0.0057991,1.0057,0.014258,1.0141,0.0081815,1.008,0.0049393,1.0048,0.00084805,1.0007,0.0083728,1.0082,-0.014969,0.98488,0.0018157,1.0017,0.99985
0.0399,1.8583,-0.011853,0.98396,0.011911,1.0077,0.013336,1.0092,0.0048814,1.0007,0.0097598,1.0056,0.0015542,0.99737,0.007103,1.0029,-0.017079,0.97874,0.0025268,0.99834,0.99582
0.04,1.8982,-0.007243,0.98197,0.01805,1.0073,0.011189,1.0004,0.010893,1.0001,0.01503,1.0042,0.0083717,0.99758,0.0095589,0.99877,-0.0086409,0.98057,0.0049462,0.99416,0.98921
0.0399,1.9382,-0.0016774,0.99087,0.014686,1.0072,0.008481,1.001,0.010605,1.0032,0.015891,1.0084,0.0092912,1.0018,0.0081314,1.0007,0.0013994,0.99395,0.0047253,0.99728,0.99255
0.0399,1.9781,-0.0012555,0.98895,0.017519,1.0077,0.014922,1.0051,0.011187,1.0014,0.020116,1.0103,0.013883,1.0041,0.010534,1.0007,0.002215,0.99243,0.0049809,0.99519,0.99021
0.0399,2.018,-0.0004245,0.99473,0.017146,1.0123,0.010847,1.006,0.010739,1.0059,0.022828,1.018,0.014089,1.0092,0.0095986,1.0048,0.0043897,0.99955,0.005168,1.0003,0.99516
0.04,2.0579,0.0065039,0.99865,0.019114,1.0113,0.010249,1.0024,0.009938,1.0021,0.022905,1.015,0.014555,1.0067,0.012582,1.0047,0.0011132,0.99325,0.0052301,0.99737,0.99214
0.0399,2.0979,0.0036385,0.99821,0.017735,1.0123,0.014133,1.0087,0.0076078,1.0022,0.018106,1.0127,0.013697,1.0083,0.0095139,1.0041,0.0028876,0.99746,0.0051884,0.99976,0.99458
0.0399,2.1378,0.0051647,0.99516,0.016331,1.0063,0.012294,1.0023,0.0074969,0.99749,0.015523,1.0055,0.013422,1.0034,0.010297,1.0003,-0.00642,0.98357,0.0023994,0.99239,0.98999
0.0399,2.1777,0.0043448,1.0016,0.014458,1.0118,0.0046799,1.002,0.0059339,1.0032,0.012446,1.0098,0.016726,1.014,0.0080062,1.0053,-0.003867,0.99344,0.001951,0.99925,0.9973
